1,Шеффилд Юнайтед , Ливерпуль ,1,1
1,Арсенал , Астон Вилла ,1,1
1,Рединг , Мидлсбро ,3,2
1,Портсмут , Блэкберн Роверс ,3,0
1,Ньюкасл Юнайтед , Уиган Атлетик ,2,1
1,Эвертон , Уотфорд ,2,1
1,Вест Хэм Юнайтед , Чарльтон Атлетик ,3,1
1,Болтон Уондерерс , Тоттенхэм Хотспур ,2,0
1,Манчестер Юнайтед , Фулхэм ,5,1
1,Челси , Манчестер Сити ,3,0
2,Уотфорд , Вест Хэм Юнайтед ,1,1
2,Тоттенхэм Хотспур , Шеффилд Юнайтед ,2,0
2,Астон Вилла , Рединг ,2,1
2,Манчестер Сити , Портсмут ,0,0
2,Чарльтон Атлетик , Манчестер Юнайтед ,0,3
2,Мидлсбро , Челси ,2,1
2,Фулхэм , Болтон Уондерерс ,1,1
2,Блэкберн Роверс , Эвертон ,1,1
3,Ливерпуль , Вест Хэм Юнайтед ,2,1
3,Чарльтон Атлетик , Болтон Уондерерс ,2,0
3,Фулхэм , Шеффилд Юнайтед ,1,0
3,Тоттенхэм Хотспур , Эвертон ,0,2
3,Уотфорд , Манчестер Юнайтед ,1,2
3,Уиган Атлетик , Рединг ,1,0
3,Манчестер Сити , Арсенал ,1,0
3,Астон Вилла , Ньюкасл Юнайтед ,2,0
3,Блэкберн Роверс , Челси ,0,2
3,Мидлсбро , Портсмут ,0,4
4,Эвертон , Ливерпуль ,3,0
4,Арсенал , Мидлсбро ,1,1
4,Болтон Уондерерс , Уотфорд ,1,0
4,Челси , Чарльтон Атлетик ,2,1
4,Ньюкасл Юнайтед , Фулхэм ,1,2
4,Портсмут , Уиган Атлетик ,1,0
4,Шеффилд Юнайтед , Блэкберн Роверс ,0,0
4,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,0
4,Вест Хэм Юнайтед , Астон Вилла ,1,1
4,Рединг , Манчестер Сити ,1,0
5,Чарльтон Атлетик , Портсмут ,0,1
5,Болтон Уондерерс , Мидлсбро ,0,0
5,Эвертон , Уиган Атлетик ,2,2
5,Шеффилд Юнайтед , Рединг ,1,2
5,Уотфорд , Астон Вилла ,0,0
5,Челси , Ливерпуль ,1,0
5,Блэкберн Роверс , Манчестер Сити ,4,2
5,Тоттенхэм Хотспур , Фулхэм ,0,0
5,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,0,2
5,Манчестер Юнайтед , Арсенал ,0,1
2,Ливерпуль , Ньюкасл Юнайтед ,2,0
6,Ливерпуль , Тоттенхэм Хотспур ,3,0
6,Арсенал , Шеффилд Юнайтед ,3,0
6,Астон Вилла , Чарльтон Атлетик ,2,0
6,Фулхэм , Челси ,0,2
6,Манчестер Сити , Вест Хэм Юнайтед ,2,0
6,Мидлсбро , Блэкберн Роверс ,0,1
6,Уиган Атлетик , Уотфорд ,1,1
6,Рединг , Манчестер Юнайтед ,1,1
6,Ньюкасл Юнайтед , Эвертон ,1,1
6,Портсмут , Болтон Уондерерс ,0,1
7,Болтон Уондерерс , Ливерпуль ,2,0
7,Чарльтон Атлетик , Арсенал ,1,2
7,Челси , Астон Вилла ,1,1
7,Эвертон , Манчестер Сити ,1,1
7,Шеффилд Юнайтед , Мидлсбро ,2,1
7,Вест Хэм Юнайтед , Рединг ,0,1
7,Манчестер Юнайтед , Ньюкасл Юнайтед ,2,0
7,Блэкберн Роверс , Уиган Атлетик ,2,1
7,Тоттенхэм Хотспур , Портсмут ,2,1
7,Уотфорд , Фулхэм ,3,3
8,Уиган Атлетик , Манчестер Юнайтед ,1,3
8,Арсенал , Уотфорд ,3,0
8,Астон Вилла , Тоттенхэм Хотспур ,1,1
8,Ливерпуль , Блэкберн Роверс ,1,1
8,Манчестер Сити , Шеффилд Юнайтед ,0,0
8,Мидлсбро , Эвертон ,2,1
8,Портсмут , Вест Хэм Юнайтед ,2,0
8,Рединг , Челси ,0,1
8,Ньюкасл Юнайтед , Болтон Уондерерс ,1,2
8,Фулхэм , Чарльтон Атлетик ,2,1
9,Уиган Атлетик , Манчестер Сити ,4,0
9,Чарльтон Атлетик , Уотфорд ,0,0
9,Челси , Портсмут ,2,1
9,Эвертон , Шеффилд Юнайтед ,2,0
9,Астон Вилла , Фулхэм ,1,1
9,Манчестер Юнайтед , Ливерпуль ,2,0
9,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,1,0
9,Блэкберн Роверс , Болтон Уондерерс ,0,1
9,Мидлсбро , Ньюкасл Юнайтед ,1,0
9,Рединг , Арсенал ,0,4
10,Шеффилд Юнайтед , Челси ,0,2
10,Арсенал , Эвертон ,1,1
10,Болтон Уондерерс , Манчестер Юнайтед ,0,4
10,Фулхэм , Уиган Атлетик ,0,1
10,Ливерпуль , Астон Вилла ,3,1
10,Портсмут , Рединг ,3,1
10,Уотфорд , Тоттенхэм Хотспур ,0,0
10,Ньюкасл Юнайтед , Чарльтон Атлетик ,0,0
10,Вест Хэм Юнайтед , Блэкберн Роверс ,2,1
10,Манчестер Сити , Мидлсбро ,1,0
11,Фулхэм , Эвертон ,1,0
11,Болтон Уондерерс , Уиган Атлетик ,0,1
11,Чарльтон Атлетик , Манчестер Сити ,1,0
11,Ливерпуль , Рединг ,2,0
11,Манчестер Юнайтед , Портсмут ,3,0
11,Уотфорд , Мидлсбро ,2,0
11,Ньюкасл Юнайтед , Шеффилд Юнайтед ,0,1
11,Вест Хэм Юнайтед , Арсенал ,1,0
11,Астон Вилла , Блэкберн Роверс ,2,0
11,Тоттенхэм Хотспур , Челси ,2,1
12,Манчестер Сити , Ньюкасл Юнайтед ,0,0
12,Челси , Уотфорд ,4,0
12,Эвертон , Астон Вилла ,0,1
12,Мидлсбро , Вест Хэм Юнайтед ,1,0
12,Портсмут , Фулхэм ,1,1
12,Шеффилд Юнайтед , Болтон Уондерерс ,2,2
12,Уиган Атлетик , Чарльтон Атлетик ,3,2
12,Блэкберн Роверс , Манчестер Юнайтед ,0,1
12,Рединг , Тоттенхэм Хотспур ,3,1
12,Арсенал , Ливерпуль ,3,0
13,Манчестер Сити , Фулхэм ,3,1
13,Арсенал , Ньюкасл Юнайтед ,1,1
13,Челси , Вест Хэм Юнайтед ,1,0
