1,Сандерленд , Тоттенхэм Хотспур ,1,0
1,Мидлсбро , Блэкберн Роверс ,1,2
1,Эвертон , Уиган Атлетик ,2,1
1,Дерби Каунти , Портсмут ,2,2
1,Болтон Уондерерс , Ньюкасл Юнайтед ,1,3
1,Вест Хэм Юнайтед , Манчестер Сити ,0,2
1,Астон Вилла , Ливерпуль ,1,2
1,Арсенал , Фулхэм ,2,1
1,Челси , Бирмингем Сити ,3,2
1,Манчестер Юнайтед , Рединг ,0,0
2,Тоттенхэм Хотспур , Эвертон ,1,3
2,Бирмингем Сити , Сандерленд ,2,2
2,Манчестер Сити , Дерби Каунти ,1,0
2,Фулхэм , Болтон Уондерерс ,2,1
2,Портсмут , Манчестер Юнайтед ,1,1
2,Уиган Атлетик , Мидлсбро ,1,0
2,Рединг , Челси ,1,2
2,Блэкберн Роверс , Астон Вилла ,0,4
2,Ньюкасл Юнайтед , Арсенал ,1,1
2,Ливерпуль , Вест Хэм Юнайтед ,4,0
3,Портсмут , Болтон Уондерерс ,3,1
3,Уиган Атлетик , Сандерленд ,3,0
3,Тоттенхэм Хотспур , Дерби Каунти ,4,0
3,Рединг , Эвертон ,1,0
3,Фулхэм , Мидлсбро ,1,2
3,Бирмингем Сити , Вест Хэм Юнайтед ,0,1
3,Ньюкасл Юнайтед , Астон Вилла ,0,0
3,Манчестер Сити , Манчестер Юнайтед ,1,0
3,Блэкберн Роверс , Арсенал ,1,1
3,Ливерпуль , Челси ,1,1
4,Сандерленд , Ливерпуль ,0,2
4,Арсенал , Манчестер Сити ,1,0
4,Дерби Каунти , Бирмингем Сити ,1,2
4,Челси , Портсмут ,1,0
4,Болтон Уондерерс , Рединг ,3,0
4,Астон Вилла , Фулхэм ,2,1
4,Вест Хэм Юнайтед , Уиган Атлетик ,1,1
4,Эвертон , Блэкберн Роверс ,1,1
4,Мидлсбро , Ньюкасл Юнайтед ,2,2
4,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,0
5,Болтон Уондерерс , Эвертон ,1,2
5,Фулхэм , Тоттенхэм Хотспур ,3,3
