1,Арсенал , Вест Бромвич Альбион ,1,0
1,Болтон Уондерерс , Сток Сити ,3,1
1,Вест Хэм Юнайтед , Уиган Атлетик ,2,1
1,Халл Сити , Фулхэм ,2,1
1,Мидлсбро , Тоттенхэм Хотспур ,2,1
1,Эвертон , Блэкберн Роверс ,2,3
1,Сандерленд , Ливерпуль ,0,1
1,Челси , Портсмут ,4,0
1,Астон Вилла , Манчестер Сити ,4,2
1,Манчестер Юнайтед , Ньюкасл Юнайтед ,1,1
2,Ливерпуль , Мидлсбро ,2,1
2,Блэкберн Роверс , Халл Сити ,1,1
2,Ньюкасл Юнайтед , Болтон Уондерерс ,1,0
2,Вест Бромвич Альбион , Эвертон ,1,2
2,Тоттенхэм Хотспур , Сандерленд ,1,2
2,Сток Сити , Астон Вилла ,3,2
2,Фулхэм , Арсенал ,1,0
2,Уиган Атлетик , Челси ,0,1
2,Манчестер Сити , Вест Хэм Юнайтед ,3,0
2,Портсмут , Манчестер Юнайтед ,0,1
3,Болтон Уондерерс , Вест Бромвич Альбион ,0,0
3,Вест Хэм Юнайтед , Блэкберн Роверс ,4,1
3,Мидлсбро , Сток Сити ,2,1
3,Халл Сити , Уиган Атлетик ,0,5
3,Эвертон , Портсмут ,0,3
3,Арсенал , Ньюкасл Юнайтед ,3,0
3,Челси , Тоттенхэм Хотспур ,1,1
3,Сандерленд , Манчестер Сити ,0,3
3,Астон Вилла , Ливерпуль ,0,0
4,Ливерпуль , Манчестер Юнайтед ,2,1
4,Фулхэм , Болтон Уондерерс ,2,1
4,Блэкберн Роверс , Арсенал ,0,4
4,Уиган Атлетик , Сандерленд ,1,1
4,Портсмут , Мидлсбро ,2,1
4,Вест Бромвич Альбион , Вест Хэм Юнайтед ,3,2
4,Ньюкасл Юнайтед , Халл Сити ,1,2
4,Манчестер Сити , Челси ,1,3
4,Сток Сити , Эвертон ,2,3
4,Тоттенхэм Хотспур , Астон Вилла ,1,2
5,Сандерленд , Мидлсбро ,2,0
5,Блэкберн Роверс , Фулхэм ,1,0
5,Ливерпуль , Сток Сити ,0,0
5,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,3,1
5,Болтон Уондерерс , Арсенал ,1,3
5,Вест Бромвич Альбион , Астон Вилла ,1,2
5,Челси , Манчестер Юнайтед ,1,1
5,Халл Сити , Эвертон ,2,2
5,Манчестер Сити , Портсмут ,6,0
5,Тоттенхэм Хотспур , Уиган Атлетик ,0,0
6,Эвертон , Ливерпуль ,0,2
6,Астон Вилла , Сандерленд ,2,1
6,Фулхэм , Вест Хэм Юнайтед ,1,2
6,Ньюкасл Юнайтед , Блэкберн Роверс ,1,2
6,Мидлсбро , Вест Бромвич Альбион ,0,1
6,Сток Сити , Челси ,0,2
6,Манчестер Юнайтед , Болтон Уондерерс ,2,0
6,Арсенал , Халл Сити ,1,2
6,Портсмут , Тоттенхэм Хотспур ,2,0
6,Уиган Атлетик , Манчестер Сити ,2,1
7,Уиган Атлетик , Мидлсбро ,0,1
7,Вест Бромвич Альбион , Фулхэм ,1,0
7,Сандерленд , Арсенал ,1,1
7,Блэкберн Роверс , Манчестер Юнайтед ,0,2
7,Вест Хэм Юнайтед , Болтон Уондерерс ,1,3
7,Челси , Астон Вилла ,2,0
7,Портсмут , Сток Сити ,2,1
7,Манчестер Сити , Ливерпуль ,2,3
7,Тоттенхэм Хотспур , Халл Сити ,0,1
7,Эвертон , Ньюкасл Юнайтед ,2,2
8,Мидлсбро , Челси ,0,5
8,Ливерпуль , Уиган Атлетик ,3,2
8,Фулхэм , Сандерленд ,0,0
8,Болтон Уондерерс , Блэкберн Роверс ,0,0
8,Арсенал , Эвертон ,3,1
8,Астон Вилла , Портсмут ,0,0
8,Манчестер Юнайтед , Вест Бромвич Альбион ,4,0
8,Халл Сити , Вест Хэм Юнайтед ,1,0
8,Сток Сити , Тоттенхэм Хотспур ,2,1
8,Ньюкасл Юнайтед , Манчестер Сити ,2,2
9,Эвертон , Манчестер Юнайтед ,1,1
9,Сандерленд , Ньюкасл Юнайтед ,2,1
9,Вест Бромвич Альбион , Халл Сити ,0,3
9,Блэкберн Роверс , Мидлсбро ,1,1
9,Челси , Ливерпуль ,0,1
9,Уиган Атлетик , Астон Вилла ,0,4
9,Тоттенхэм Хотспур , Болтон Уондерерс ,2,0
9,Манчестер Сити , Сток Сити ,3,0
9,Вест Хэм Юнайтед , Арсенал ,0,2
9,Портсмут , Фулхэм ,1,1
10,Ньюкасл Юнайтед , Вест Бромвич Альбион ,2,1
10,Халл Сити , Челси ,0,3
10,Сток Сити , Сандерленд ,1,0
10,Астон Вилла , Блэкберн Роверс ,3,2
10,Фулхэм , Уиган Атлетик ,2,0
10,Арсенал , Тоттенхэм Хотспур ,4,4
10,Мидлсбро , Манчестер Сити ,2,0
10,Болтон Уондерерс , Эвертон ,0,1
10,Манчестер Юнайтед , Вест Хэм Юнайтед ,2,0
10,Ливерпуль , Портсмут ,1,0
11,Эвертон , Фулхэм ,1,0
11,Вест Бромвич Альбион , Блэкберн Роверс ,2,2
11,Сток Сити , Арсенал ,2,1
11,Челси , Сандерленд ,5,0
11,Мидлсбро , Вест Хэм Юнайтед ,1,1
11,Манчестер Юнайтед , Халл Сити ,4,3
11,Портсмут , Уиган Атлетик ,1,2
11,Тоттенхэм Хотспур , Ливерпуль ,2,1
11,Болтон Уондерерс , Манчестер Сити ,2,0
11,Ньюкасл Юнайтед , Астон Вилла ,2,0
12,Уиган Атлетик , Сток Сити ,0,0
12,Арсенал , Манчестер Юнайтед ,2,1
12,Вест Хэм Юнайтед , Эвертон ,1,3
12,Сандерленд , Портсмут ,1,2
12,Халл Сити , Болтон Уондерерс ,0,1
12,Ливерпуль , Вест Бромвич Альбион ,3,0
12,Блэкберн Роверс , Челси ,0,2
12,Манчестер Сити , Тоттенхэм Хотспур ,1,2
12,Астон Вилла , Мидлсбро ,1,2
12,Фулхэм , Ньюкасл Юнайтед ,2,1
13,Болтон Уондерерс , Ливерпуль ,0,2
13,Арсенал , Астон Вилла ,0,2
13,Вест Хэм Юнайтед , Портсмут ,0,0
13,Ньюкасл Юнайтед , Уиган Атлетик ,2,2
13,Блэкберн Роверс , Сандерленд ,1,2
13,Фулхэм , Тоттенхэм Хотспур ,2,1
13,Манчестер Юнайтед , Сток Сити ,5,0
13,Вест Бромвич Альбион , Челси ,0,3
13,Эвертон , Мидлсбро ,1,1
13,Халл Сити , Манчестер Сити ,2,2
14,Сток Сити , Вест Бромвич Альбион ,1,0
14,Портсмут , Халл Сити ,2,2
14,Мидлсбро , Болтон Уондерерс ,1,3
14,Манчестер Сити , Арсенал ,3,0
14,Ливерпуль , Фулхэм ,0,0
14,Челси , Ньюкасл Юнайтед ,0,0
14,Астон Вилла , Манчестер Юнайтед ,0,0
14,Тоттенхэм Хотспур , Блэкберн Роверс ,1,0
14,Сандерленд , Вест Хэм Юнайтед ,0,1
14,Уиган Атлетик , Эвертон ,1,0
15,Астон Вилла , Фулхэм ,0,0
15,Уиган Атлетик , Вест Бромвич Альбион ,2,1
15,Сток Сити , Халл Сити ,1,1
15,Сандерленд , Болтон Уондерерс ,1,4
15,Мидлсбро , Ньюкасл Юнайтед ,0,0
15,Манчестер Сити , Манчестер Юнайтед ,0,1
15,Портсмут , Блэкберн Роверс ,3,2
15,Тоттенхэм Хотспур , Эвертон ,0,1
15,Челси , Арсенал ,1,2
15,Ливерпуль , Вест Хэм Юнайтед ,0,0
16,Фулхэм , Манчестер Сити ,1,1
16,Болтон Уондерерс , Челси ,0,2
16,Ньюкасл Юнайтед , Сток Сити ,2,2
16,Халл Сити , Мидлсбро ,2,1
16,Арсенал , Уиган Атлетик ,1,0
16,Блэкберн Роверс , Ливерпуль ,1,3
16,Манчестер Юнайтед , Сандерленд ,1,0
16,Вест Бромвич Альбион , Портсмут ,1,1
16,Эвертон , Астон Вилла ,2,3
16,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,0,2
17,Мидлсбро , Арсенал ,1,1
17,Астон Вилла , Болтон Уондерерс ,4,2
17,Сандерленд , Вест Бромвич Альбион ,4,0
17,Сток Сити , Фулхэм ,0,0
17,Уиган Атлетик , Блэкберн Роверс ,3,0
17,Манчестер Сити , Эвертон ,0,1
17,Ливерпуль , Халл Сити ,2,2
17,Тоттенхэм Хотспур , Манчестер Юнайтед ,0,0
17,Портсмут , Ньюкасл Юнайтед ,0,3
17,Челси , Вест Хэм Юнайтед ,1,1
