1,Челси , Халл Сити ,2,1
1,Астон Вилла , Уиган Атлетик ,0,2
1,Блэкберн Роверс , Манчестер Сити ,0,2
1,Болтон Уондерерс , Сандерленд ,0,1
1,Портсмут , Фулхэм ,0,1
1,Сток Сити , Бёрнли ,2,0
1,Вулверхэмптон , Вест Хэм Юнайтед ,0,2
1,Эвертон , Арсенал ,1,6
1,Манчестер Юнайтед , Бирмингем Сити ,1,0
1,Тоттенхэм Хотспур , Ливерпуль ,2,1
2,Сандерленд , Челси ,1,3
2,Уиган Атлетик , Вулверхэмптон ,0,1
2,Бирмингем Сити , Портсмут ,1,0
2,Бёрнли , Манчестер Юнайтед ,1,0
2,Халл Сити , Тоттенхэм Хотспур ,1,5
2,Ливерпуль , Сток Сити ,4,0
3,Арсенал , Портсмут ,4,1
3,Бирмингем Сити , Сток Сити ,0,0
3,Халл Сити , Болтон Уондерерс ,1,0
3,Манчестер Сити , Вулверхэмптон ,1,0
3,Сандерленд , Блэкберн Роверс ,2,1
3,Уиган Атлетик , Манчестер Юнайтед ,0,5
3,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,1,2
3,Бёрнли , Эвертон ,1,0
3,Фулхэм , Челси ,0,2
3,Ливерпуль , Астон Вилла ,1,3
4,Челси , Бёрнли ,3,0
4,Блэкберн Роверс , Вест Хэм Юнайтед ,0,0
4,Болтон Уондерерс , Ливерпуль ,2,3
4,Сток Сити , Сандерленд ,1,0
4,Тоттенхэм Хотспур , Бирмингем Сити ,2,1
4,Вулверхэмптон , Халл Сити ,1,1
4,Манчестер Юнайтед , Арсенал ,2,1
4,Портсмут , Манчестер Сити ,0,1
4,Эвертон , Уиган Атлетик ,2,1
4,Астон Вилла , Фулхэм ,2,0
5,Блэкберн Роверс , Вулверхэмптон ,3,1
5,Ливерпуль , Бёрнли ,4,0
5,Манчестер Сити , Арсенал ,4,2
5,Портсмут , Болтон Уондерерс ,2,3
5,Сток Сити , Челси ,1,2
5,Сандерленд , Халл Сити ,4,1
5,Уиган Атлетик , Вест Хэм Юнайтед ,1,0
5,Тоттенхэм Хотспур , Манчестер Юнайтед ,1,3
5,Бирмингем Сити , Астон Вилла ,0,1
5,Фулхэм , Эвертон ,2,1
6,Бёрнли , Сандерленд ,3,1
6,Арсенал , Уиган Атлетик ,4,0
6,Астон Вилла , Портсмут ,2,0
6,Болтон Уондерерс , Сток Сити ,1,1
6,Халл Сити , Бирмингем Сити ,0,1
6,Вест Хэм Юнайтед , Ливерпуль ,2,3
6,Манчестер Юнайтед , Манчестер Сити ,4,3
6,Вулверхэмптон , Фулхэм ,2,1
6,Эвертон , Блэкберн Роверс ,3,0
6,Челси , Тоттенхэм Хотспур ,3,0
7,Портсмут , Эвертон ,0,1
7,Бирмингем Сити , Болтон Уондерерс ,1,2
7,Блэкберн Роверс , Астон Вилла ,2,1
7,Ливерпуль , Халл Сити ,6,1
7,Сток Сити , Манчестер Юнайтед ,0,2
7,Тоттенхэм Хотспур , Бёрнли ,5,0
7,Уиган Атлетик , Челси ,3,1
7,Фулхэм , Арсенал ,0,1
7,Сандерленд , Вулверхэмптон ,5,2
7,Манчестер Сити , Вест Хэм Юнайтед ,3,1
8,Болтон Уондерерс , Тоттенхэм Хотспур ,2,2
8,Бёрнли , Бирмингем Сити ,2,1
8,Халл Сити , Уиган Атлетик ,2,1
8,Вулверхэмптон , Портсмут ,0,1
8,Манчестер Юнайтед , Сандерленд ,2,2
8,Арсенал , Блэкберн Роверс ,6,2
8,Эвертон , Сток Сити ,1,1
8,Вест Хэм Юнайтед , Фулхэм ,2,2
8,Челси , Ливерпуль ,2,0
8,Астон Вилла , Манчестер Сити ,1,1
9,Астон Вилла , Челси ,2,1
9,Арсенал , Бирмингем Сити ,3,1
9,Эвертон , Вулверхэмптон ,1,1
9,Манчестер Юнайтед , Болтон Уондерерс ,2,1
9,Портсмут , Тоттенхэм Хотспур ,1,2
9,Сток Сити , Вест Хэм Юнайтед ,2,1
9,Сандерленд , Ливерпуль ,1,0
9,Блэкберн Роверс , Бёрнли ,3,2
9,Уиган Атлетик , Манчестер Сити ,1,1
9,Фулхэм , Халл Сити ,2,0
10,Вулверхэмптон , Астон Вилла ,1,1
10,Бирмингем Сити , Сандерленд ,2,1
10,Бёрнли , Уиган Атлетик ,1,3
10,Халл Сити , Портсмут ,0,0
10,Тоттенхэм Хотспур , Сток Сити ,0,1
10,Челси , Блэкберн Роверс ,5,0
10,Болтон Уондерерс , Эвертон ,3,2
10,Ливерпуль , Манчестер Юнайтед ,2,0
10,Манчестер Сити , Фулхэм ,2,2
10,Вест Хэм Юнайтед , Арсенал ,2,2
11,Арсенал , Тоттенхэм Хотспур ,3,0
11,Болтон Уондерерс , Челси ,0,4
11,Бёрнли , Халл Сити ,2,0
11,Эвертон , Астон Вилла ,1,1
11,Фулхэм , Ливерпуль ,3,1
11,Портсмут , Уиган Атлетик ,4,0
11,Сток Сити , Вулверхэмптон ,2,2
11,Сандерленд , Вест Хэм Юнайтед ,2,2
11,Манчестер Юнайтед , Блэкберн Роверс ,2,0
11,Бирмингем Сити , Манчестер Сити ,0,0
2,Вест Хэм Юнайтед , Астон Вилла ,2,1
12,Астон Вилла , Болтон Уондерерс ,5,1
12,Блэкберн Роверс , Портсмут ,3,1
12,Манчестер Сити , Бёрнли ,3,3
12,Тоттенхэм Хотспур , Сандерленд ,2,0
12,Вулверхэмптон , Арсенал ,1,4
12,Халл Сити , Сток Сити ,2,1
12,Вест Хэм Юнайтед , Эвертон ,1,2
12,Уиган Атлетик , Фулхэм ,1,1
12,Челси , Манчестер Юнайтед ,1,0
12,Ливерпуль , Бирмингем Сити ,2,2
13,Ливерпуль , Манчестер Сити ,2,2
13,Бирмингем Сити , Фулхэм ,1,0
13,Бёрнли , Астон Вилла ,1,1
13,Челси , Вулверхэмптон ,4,0
13,Халл Сити , Вест Хэм Юнайтед ,3,3
13,Сандерленд , Арсенал ,1,0
13,Манчестер Юнайтед , Эвертон ,3,0
13,Болтон Уондерерс , Блэкберн Роверс ,0,2
13,Тоттенхэм Хотспур , Уиган Атлетик ,9,1
13,Сток Сити , Портсмут ,1,0
17,Халл Сити , Эвертон ,3,2
2,Фулхэм , Блэкберн Роверс ,3,0
14,Блэкберн Роверс , Сток Сити ,0,0
14,Фулхэм , Болтон Уондерерс ,1,1
14,Манчестер Сити , Халл Сити ,1,1
14,Портсмут , Манчестер Юнайтед ,1,4
14,Вест Хэм Юнайтед , Бёрнли ,5,3
14,Уиган Атлетик , Сандерленд ,1,0
14,Астон Вилла , Тоттенхэм Хотспур ,1,1
14,Вулверхэмптон , Бирмингем Сити ,0,1
14,Эвертон , Ливерпуль ,0,2
14,Арсенал , Челси ,0,3
15,Портсмут , Бёрнли ,2,0
15,Арсенал , Сток Сити ,2,0
15,Астон Вилла , Халл Сити ,3,0
15,Блэкберн Роверс , Ливерпуль ,0,0
15,Вест Хэм Юнайтед , Манчестер Юнайтед ,0,4
15,Уиган Атлетик , Бирмингем Сити ,2,3
15,Вулверхэмптон , Болтон Уондерерс ,2,1
15,Манчестер Сити , Челси ,2,1
15,Фулхэм , Сандерленд ,1,0
15,Эвертон , Тоттенхэм Хотспур ,2,2
16,Сток Сити , Уиган Атлетик ,2,2
16,Бирмингем Сити , Вест Хэм Юнайтед ,1,0
16,Болтон Уондерерс , Манчестер Сити ,3,3
16,Бёрнли , Фулхэм ,1,1
16,Челси , Эвертон ,3,3
16,Халл Сити , Блэкберн Роверс ,0,0
16,Сандерленд , Портсмут ,1,1
16,Тоттенхэм Хотспур , Вулверхэмптон ,0,1
16,Манчестер Юнайтед , Астон Вилла ,0,1
16,Ливерпуль , Арсенал ,1,2
17,Сандерленд , Астон Вилла ,0,2
17,Бирмингем Сити , Блэкберн Роверс ,2,1
17,Болтон Уондерерс , Вест Хэм Юнайтед ,3,1
17,Манчестер Юнайтед , Вулверхэмптон ,3,0
17,Бёрнли , Арсенал ,1,1
17,Челси , Портсмут ,2,1
17,Тоттенхэм Хотспур , Манчестер Сити ,3,0
17,Ливерпуль , Уиган Атлетик ,2,1
18,Портсмут , Ливерпуль ,2,0
18,Астон Вилла , Сток Сити ,1,0
18,Блэкберн Роверс , Тоттенхэм Хотспур ,0,2
18,Фулхэм , Манчестер Юнайтед ,3,0
18,Манчестер Сити , Сандерленд ,4,3
18,Арсенал , Халл Сити ,3,0
18,Вулверхэмптон , Бёрнли ,2,0
18,Эвертон , Бирмингем Сити ,1,1
18,Вест Хэм Юнайтед , Челси ,1,1
19,Бирмингем Сити , Челси ,0,0
19,Фулхэм , Тоттенхэм Хотспур ,0,0
19,Вест Хэм Юнайтед , Портсмут ,2,0
19,Бёрнли , Болтон Уондерерс ,1,1
19,Манчестер Сити , Сток Сити ,2,0
19,Сандерленд , Эвертон ,1,1
19,Уиган Атлетик , Блэкберн Роверс ,1,1
19,Ливерпуль , Вулверхэмптон ,2,0
19,Арсенал , Астон Вилла ,3,0
19,Халл Сити , Манчестер Юнайтед ,1,3
20,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,2,0
20,Блэкберн Роверс , Сандерленд ,2,2
20,Челси , Фулхэм ,2,1
20,Эвертон , Бёрнли ,2,0
20,Сток Сити , Бирмингем Сити ,0,1
20,Вулверхэмптон , Манчестер Сити ,0,3
20,Астон Вилла , Ливерпуль ,0,1
20,Болтон Уондерерс , Халл Сити ,2,2
20,Портсмут , Арсенал ,1,4
20,Манчестер Юнайтед , Уиган Атлетик ,5,0
17,Сток Сити , Фулхэм ,3,2
21,Арсенал , Эвертон ,2,2
21,Бирмингем Сити , Манчестер Юнайтед ,1,1
21,Манчестер Сити , Блэкберн Роверс ,4,1
22,Сток Сити , Ливерпуль ,1,1
22,Челси , Сандерленд ,7,2
22,Манчестер Юнайтед , Бёрнли ,3,0
22,Тоттенхэм Хотспур , Халл Сити ,0,0
22,Вулверхэмптон , Уиган Атлетик ,0,2
22,Эвертон , Манчестер Сити ,2,0
22,Астон Вилла , Вест Хэм Юнайтед ,0,0
22,Блэкберн Роверс , Фулхэм ,2,0
22,Болтон Уондерерс , Арсенал ,0,2
2,Арсенал , Болтон Уондерерс ,4,2
21,Ливерпуль , Тоттенхэм Хотспур ,2,0
23,Манчестер Юнайтед , Халл Сити ,4,0
23,Портсмут , Вест Хэм Юнайтед ,1,1
23,Вулверхэмптон , Ливерпуль ,0,0
23,Болтон Уондерерс , Бёрнли ,1,0
23,Тоттенхэм Хотспур , Фулхэм ,2,0
23,Астон Вилла , Арсенал ,0,0
23,Челси , Бирмингем Сити ,3,0
23,Эвертон , Сандерленд ,2,0
23,Блэкберн Роверс , Уиган Атлетик ,2,1
24,Бирмингем Сити , Тоттенхэм Хотспур ,1,1
24,Фулхэм , Астон Вилла ,0,2
24,Халл Сити , Вулверхэмптон ,2,2
24,Ливерпуль , Болтон Уондерерс ,2,0
24,Вест Хэм Юнайтед , Блэкберн Роверс ,0,0
24,Уиган Атлетик , Эвертон ,0,1
24,Бёрнли , Челси ,1,2
24,Манчестер Сити , Портсмут ,2,0
24,Арсенал , Манчестер Юнайтед ,1,3
24,Сандерленд , Сток Сити ,0,0
21,Халл Сити , Челси ,1,1
21,Фулхэм , Портсмут ,1,0
25,Ливерпуль , Эвертон ,1,0
25,Болтон Уондерерс , Фулхэм ,0,0
25,Бёрнли , Вест Хэм Юнайтед ,2,1
25,Халл Сити , Манчестер Сити ,2,1
25,Манчестер Юнайтед , Портсмут ,5,0
25,Сток Сити , Блэкберн Роверс ,3,0
25,Сандерленд , Уиган Атлетик ,1,1
25,Тоттенхэм Хотспур , Астон Вилла ,0,0
25,Бирмингем Сити , Вулверхэмптон ,2,1
25,Челси , Арсенал ,2,0
26,Портсмут , Сандерленд ,1,1
26,Уиган Атлетик , Сток Сити ,1,1
26,Манчестер Сити , Болтон Уондерерс ,2,0
26,Фулхэм , Бёрнли ,3,0
26,Арсенал , Ливерпуль ,1,0
26,Вест Хэм Юнайтед , Бирмингем Сити ,2,0
26,Вулверхэмптон , Тоттенхэм Хотспур ,1,0
26,Астон Вилла , Манчестер Юнайтед ,1,1
26,Эвертон , Челси ,2,1
26,Блэкберн Роверс , Халл Сити ,1,0
23,Сток Сити , Манчестер Сити ,1,1
18,Уиган Атлетик , Болтон Уондерерс ,0,0
27,Эвертон , Манчестер Юнайтед ,3,1
27,Арсенал , Сандерленд ,2,0
27,Вест Хэм Юнайтед , Халл Сити ,3,0
27,Вулверхэмптон , Челси ,0,2
27,Портсмут , Сток Сити ,1,2
27,Блэкберн Роверс , Болтон Уондерерс ,3,0
27,Астон Вилла , Бёрнли ,5,2
27,Фулхэм , Бирмингем Сити ,2,1
