1,Арсенал , Сандерленд ,0,0
1,Фулхэм , Норвич Сити ,5,0
1,Куинз Парк Рейнджерс , Суонси Сити ,0,5
1,Рединг , Сток Сити ,1,1
1,Вест Бромвич Альбион , Ливерпуль ,3,0
1,Вест Хэм Юнайтед , Астон Вилла ,1,0
1,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,2,1
1,Уиган Атлетик , Челси ,0,2
1,Манчестер Сити , Саутгемптон ,3,2
1,Эвертон , Манчестер Юнайтед ,1,0
2,Суонси Сити , Вест Хэм Юнайтед ,3,0
2,Астон Вилла , Эвертон ,1,3
2,Манчестер Юнайтед , Фулхэм ,3,2
2,Норвич Сити , Куинз Парк Рейнджерс ,1,1
2,Саутгемптон , Уиган Атлетик ,0,2
2,Тоттенхэм Хотспур , Вест Бромвич Альбион ,1,1
2,Челси , Ньюкасл Юнайтед ,2,0
2,Сток Сити , Арсенал ,0,0
2,Ливерпуль , Манчестер Сити ,2,2
2,Сандерленд , Рединг ,3,0
3,Челси , Рединг ,4,2
3,Вест Хэм Юнайтед , Фулхэм ,3,0
3,Суонси Сити , Сандерленд ,2,2
3,Тоттенхэм Хотспур , Норвич Сити ,1,1
3,Вест Бромвич Альбион , Эвертон ,2,0
3,Уиган Атлетик , Сток Сити ,2,2
3,Манчестер Сити , Куинз Парк Рейнджерс ,3,1
3,Ливерпуль , Арсенал ,0,2
3,Ньюкасл Юнайтед , Астон Вилла ,1,1
3,Саутгемптон , Манчестер Юнайтед ,2,3
4,Норвич Сити , Вест Хэм Юнайтед ,0,0
4,Арсенал , Саутгемптон ,6,1
4,Астон Вилла , Суонси Сити ,2,0
4,Фулхэм , Вест Бромвич Альбион ,3,0
4,Манчестер Юнайтед , Уиган Атлетик ,4,0
4,Куинз Парк Рейнджерс , Челси ,0,0
4,Сток Сити , Манчестер Сити ,1,1
4,Сандерленд , Ливерпуль ,1,1
4,Рединг , Тоттенхэм Хотспур ,1,3
4,Эвертон , Ньюкасл Юнайтед ,2,2
5,Суонси Сити , Эвертон ,0,3
5,Челси , Сток Сити ,1,0
5,Саутгемптон , Астон Вилла ,4,1
5,Вест Бромвич Альбион , Рединг ,1,0
5,Вест Хэм Юнайтед , Сандерленд ,1,1
5,Уиган Атлетик , Фулхэм ,1,2
5,Ливерпуль , Манчестер Юнайтед ,1,2
5,Ньюкасл Юнайтед , Норвич Сити ,1,0
5,Манчестер Сити , Арсенал ,1,1
5,Тоттенхэм Хотспур , Куинз Парк Рейнджерс ,2,1
6,Арсенал , Челси ,1,2
6,Эвертон , Саутгемптон ,3,1
6,Фулхэм , Манчестер Сити ,1,2
6,Норвич Сити , Ливерпуль ,2,5
6,Рединг , Ньюкасл Юнайтед ,2,2
6,Сток Сити , Суонси Сити ,2,0
6,Сандерленд , Уиган Атлетик ,1,0
6,Манчестер Юнайтед , Тоттенхэм Хотспур ,2,3
6,Астон Вилла , Вест Бромвич Альбион ,1,1
6,Куинз Парк Рейнджерс , Вест Хэм Юнайтед ,1,2
7,Манчестер Сити , Сандерленд ,3,0
7,Челси , Норвич Сити ,4,1
7,Суонси Сити , Рединг ,2,2
7,Вест Бромвич Альбион , Куинз Парк Рейнджерс ,3,2
7,Уиган Атлетик , Эвертон ,2,2
7,Вест Хэм Юнайтед , Арсенал ,1,3
7,Саутгемптон , Фулхэм ,2,2
7,Ливерпуль , Сток Сити ,0,0
7,Тоттенхэм Хотспур , Астон Вилла ,2,0
7,Ньюкасл Юнайтед , Манчестер Юнайтед ,0,3
8,Тоттенхэм Хотспур , Челси ,2,4
8,Фулхэм , Астон Вилла ,1,0
8,Ливерпуль , Рединг ,1,0
8,Манчестер Юнайтед , Сток Сити ,4,2
8,Суонси Сити , Уиган Атлетик ,2,1
8,Вест Бромвич Альбион , Манчестер Сити ,1,2
8,Вест Хэм Юнайтед , Саутгемптон ,4,1
8,Норвич Сити , Арсенал ,1,0
8,Сандерленд , Ньюкасл Юнайтед ,1,1
8,Куинз Парк Рейнджерс , Эвертон ,1,1
