1,Манчестер Юнайтед , Суонси Сити ,1,2
1,Лестер Сити , Эвертон ,2,2
1,Куинз Парк Рейнджерс , Халл Сити ,0,1
1,Сток Сити , Астон Вилла ,0,1
1,Вест Бромвич Альбион , Сандерленд ,2,2
1,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,0,1
1,Арсенал , Кристал Пэлас ,2,1
1,Ливерпуль , Саутгемптон ,2,1
1,Ньюкасл Юнайтед , Манчестер Сити ,0,2
1,Бёрнли , Челси ,1,3
2,Астон Вилла , Ньюкасл Юнайтед ,0,0
2,Челси , Лестер Сити ,2,0
2,Кристал Пэлас , Вест Хэм Юнайтед ,1,3
2,Саутгемптон , Вест Бромвич Альбион ,0,0
2,Суонси Сити , Бёрнли ,1,0
2,Эвертон , Арсенал ,2,2
2,Халл Сити , Сток Сити ,1,1
2,Тоттенхэм Хотспур , Куинз Парк Рейнджерс ,4,0
2,Сандерленд , Манчестер Юнайтед ,1,1
2,Манчестер Сити , Ливерпуль ,3,1
3,Бёрнли , Манчестер Юнайтед ,0,0
3,Манчестер Сити , Сток Сити ,0,1
3,Ньюкасл Юнайтед , Кристал Пэлас ,3,3
3,Куинз Парк Рейнджерс , Сандерленд ,1,0
3,Суонси Сити , Вест Бромвич Альбион ,3,0
3,Вест Хэм Юнайтед , Саутгемптон ,1,3
3,Эвертон , Челси ,3,6
3,Астон Вилла , Халл Сити ,2,1
3,Тоттенхэм Хотспур , Ливерпуль ,0,3
3,Лестер Сити , Арсенал ,1,1
4,Арсенал , Манчестер Сити ,2,2
4,Челси , Суонси Сити ,4,2
4,Кристал Пэлас , Бёрнли ,0,0
4,Саутгемптон , Ньюкасл Юнайтед ,4,0
4,Сток Сити , Лестер Сити ,0,1
4,Сандерленд , Тоттенхэм Хотспур ,2,2
4,Вест Бромвич Альбион , Эвертон ,0,2
4,Ливерпуль , Астон Вилла ,0,1
4,Манчестер Юнайтед , Куинз Парк Рейнджерс ,4,0
4,Халл Сити , Вест Хэм Юнайтед ,2,2
