1,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,0,,
1,Борнмут , Астон Вилла ,0,1,,
1,Норвич Сити , Кристал Пэлас ,1,3,,
1,Лестер Сити , Сандерленд ,4,2,,
1,Эвертон , Уотфорд ,2,2,,
1,Челси , Суонси Сити ,2,2,,
1,Ньюкасл Юнайтед , Саутгемптон ,2,2,,
1,Арсенал , Вест Хэм Юнайтед ,0,2,,
1,Сток Сити , Ливерпуль ,0,1,,
1,Вест Бромвич Альбион , Манчестер Сити ,0,3,,
2,Астон Вилла , Манчестер Юнайтед ,0,1,,
2,Саутгемптон , Эвертон ,0,3,,
2,Вест Хэм Юнайтед , Лестер Сити ,1,2,,
2,Суонси Сити , Ньюкасл Юнайтед ,2,0,,
2,Сандерленд , Норвич Сити ,1,3,,
2,Тоттенхэм Хотспур , Сток Сити ,2,2,,
2,Уотфорд , Вест Бромвич Альбион ,0,0,,
2,Кристал Пэлас , Арсенал ,1,2,,
2,Манчестер Сити , Челси ,3,0,,
2,Ливерпуль , Борнмут ,1,0,,
3,Манчестер Юнайтед , Ньюкасл Юнайтед ,0,0,,
3,Кристал Пэлас , Астон Вилла ,2,1,,
3,Вест Хэм Юнайтед , Борнмут ,3,4,,
3,Норвич Сити , Сток Сити ,1,1,,
3,Сандерленд , Суонси Сити ,1,1,,
3,Лестер Сити , Тоттенхэм Хотспур ,1,1,,
3,Вест Бромвич Альбион , Челси ,2,3,,
3,Эвертон , Манчестер Сити ,0,2,,
3,Уотфорд , Саутгемптон ,0,0,,
3,Арсенал , Ливерпуль ,0,0,,
4,Ньюкасл Юнайтед , Арсенал ,0,1,,
4,Челси , Кристал Пэлас ,1,2,,
4,Борнмут , Лестер Сити ,1,1,,
4,Астон Вилла , Сандерленд ,2,2,,
4,Манчестер Сити , Уотфорд ,2,0,,
4,Сток Сити , Вест Бромвич Альбион ,0,1,,
4,Ливерпуль , Вест Хэм Юнайтед ,0,3,,
4,Тоттенхэм Хотспур , Эвертон ,0,0,,
4,Саутгемптон , Норвич Сити ,3,0,,
4,Суонси Сити , Манчестер Юнайтед ,2,1,,
5,Эвертон , Челси ,3,1,,
5,Норвич Сити , Борнмут ,3,1,,
5,Кристал Пэлас , Манчестер Сити ,0,1,,
5,Вест Бромвич Альбион , Саутгемптон ,0,0,,
5,Арсенал , Сток Сити ,2,0,,
5,Уотфорд , Суонси Сити ,1,0,,
5,Манчестер Юнайтед , Ливерпуль ,3,1,,
5,Сандерленд , Тоттенхэм Хотспур ,0,1,,
5,Лестер Сити , Астон Вилла ,3,2,,
5,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,2,0,,
6,Челси , Арсенал ,2,0,,
6,Суонси Сити , Эвертон ,0,0,,
6,Сток Сити , Лестер Сити ,2,2,,
6,Борнмут , Сандерленд ,2,0,,
6,Ньюкасл Юнайтед , Уотфорд ,1,2,,
6,Астон Вилла , Вест Бромвич Альбион ,0,1,,
6,Манчестер Сити , Вест Хэм Юнайтед ,1,2,,
6,Тоттенхэм Хотспур , Кристал Пэлас ,1,0,,
6,Саутгемптон , Манчестер Юнайтед ,2,3,,
6,Ливерпуль , Норвич Сити ,1,1,,
7,Тоттенхэм Хотспур , Манчестер Сити ,4,1,,
7,Лестер Сити , Арсенал ,2,5,,
7,Ливерпуль , Астон Вилла ,3,2,,
7,Сток Сити , Борнмут ,2,1,,
7,Вест Хэм Юнайтед , Норвич Сити ,2,2,,
7,Манчестер Юнайтед , Сандерленд ,3,0,,
7,Саутгемптон , Суонси Сити ,3,1,,
7,Ньюкасл Юнайтед , Челси ,2,2,,
7,Уотфорд , Кристал Пэлас ,0,1,,
7,Вест Бромвич Альбион , Эвертон ,2,3,,
8,Кристал Пэлас , Вест Бромвич Альбион ,2,0,,
8,Норвич Сити , Лестер Сити ,1,2,,
8,Манчестер Сити , Ньюкасл Юнайтед ,6,1,,
8,Астон Вилла , Сток Сити ,0,1,,
8,Борнмут , Уотфорд ,1,1,,
8,Сандерленд , Вест Хэм Юнайтед ,2,2,,
8,Челси , Саутгемптон ,1,3,,
8,Эвертон , Ливерпуль ,1,1,,
8,Арсенал , Манчестер Юнайтед ,3,0,,
8,Суонси Сити , Тоттенхэм Хотспур ,2,2,,
9,Тоттенхэм Хотспур , Ливерпуль ,-,- ,,  
9,Челси , Астон Вилла ,-,- ,,  
9,Манчестер Сити , Борнмут ,-,- ,,  
9,Саутгемптон , Лестер Сити ,-,- ,,
9,Эвертон , Манчестер Юнайтед ,-,- ,,  
9,Вест Бромвич Альбион , Сандерленд ,-,- ,,
9,Кристал Пэлас , Вест Хэм Юнайтед ,-,- ,,
9,Уотфорд , Арсенал ,-,- ,,  
9,Ньюкасл Юнайтед , Норвич Сити ,-,- ,,  
9,Суонси Сити , Сток Сити ,-,- ,,  
10,Вест Хэм Юнайтед , Челси ,-,- ,,
10,Лестер Сити , Кристал Пэлас ,-,- ,,
10,Астон Вилла , Суонси Сити ,-,- ,,
10,Сток Сити , Уотфорд ,-,- ,,
10,Норвич Сити , Вест Бромвич Альбион ,-,- ,,
10,Арсенал , Эвертон ,-,- ,,
10,Сандерленд , Ньюкасл Юнайтед ,-,- ,,
10,Манчестер Юнайтед , Манчестер Сити ,-,- ,,
10,Борнмут , Тоттенхэм Хотспур ,-,- ,,
10,Ливерпуль , Саутгемптон ,-,- ,,
11,Челси , Ливерпуль ,-,- ,,
11,Суонси Сити , Арсенал ,-,- ,,
11,Вест Бромвич Альбион , Лестер Сити ,-,- ,,
11,Кристал Пэлас , Манчестер Юнайтед ,-,- ,,
11,Манчестер Сити , Норвич Сити ,-,- ,,
11,Ньюкасл Юнайтед , Сток Сити ,-,- ,,
11,Уотфорд , Вест Хэм Юнайтед ,-,- ,,
11,Эвертон , Сандерленд ,-,- ,,
11,Саутгемптон , Борнмут ,-,- ,,
11,Тоттенхэм Хотспур , Астон Вилла ,-,- ,,
12,Борнмут , Ньюкасл Юнайтед ,-,- ,,
12,Вест Хэм Юнайтед , Эвертон ,-,- ,,
12,Сандерленд , Саутгемптон ,-,- ,,
12,Норвич Сити , Суонси Сити ,-,- ,,
12,Лестер Сити , Уотфорд ,-,- ,,
12,Манчестер Юнайтед , Вест Бромвич Альбион ,-,- ,,
12,Сток Сити , Челси ,-,- ,,
12,Астон Вилла , Манчестер Сити ,-,- ,,
12,Ливерпуль , Кристал Пэлас ,-,- ,,
12,Арсенал , Тоттенхэм Хотспур ,-,- ,,
13,Уотфорд , Манчестер Юнайтед ,-,- ,,
13,Вест Бромвич Альбион , Арсенал ,-,- ,,
13,Эвертон , Астон Вилла ,-,- ,,
13,Суонси Сити , Борнмут ,-,- ,,
13,Ньюкасл Юнайтед , Лестер Сити ,-,- ,,
13,Челси , Норвич Сити ,-,- ,,
13,Саутгемптон , Сток Сити ,-,- ,,
13,Манчестер Сити , Ливерпуль ,-,- ,,
13,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,-,- ,,
13,Кристал Пэлас , Сандерленд ,-,- ,,
14,Борнмут , Эвертон ,-,- ,,
14,Кристал Пэлас , Ньюкасл Юнайтед ,-,- ,,
14,Манчестер Сити , Саутгемптон ,-,- ,,
14,Сандерленд , Сток Сити ,-,- ,,
14,Астон Вилла , Уотфорд ,-,- ,,
14,Лестер Сити , Манчестер Юнайтед ,-,- ,,
14,Тоттенхэм Хотспур , Челси ,-,- ,,
14,Вест Хэм Юнайтед , Вест Бромвич Альбион ,-,- ,,
14,Норвич Сити , Арсенал ,-,- ,,
14,Ливерпуль , Суонси Сити ,-,- ,,
15,Сток Сити , Манчестер Сити ,-,- ,,
15,Саутгемптон , Астон Вилла ,-,- ,,
15,Суонси Сити , Лестер Сити ,-,- ,,
15,Уотфорд , Норвич Сити ,-,- ,,
15,Арсенал , Сандерленд ,-,- ,,
15,Вест Бромвич Альбион , Тоттенхэм Хотспур ,-,- ,,
15,Манчестер Юнайтед , Вест Хэм Юнайтед ,-,- ,,
15,Челси , Борнмут ,-,- ,,
15,Ньюкасл Юнайтед , Ливерпуль ,-,- ,,
15,Эвертон , Кристал Пэлас ,-,- ,,
16,Норвич Сити , Эвертон ,-,- ,,
16,Кристал Пэлас , Саутгемптон ,-,- ,,
16,Вест Хэм Юнайтед , Сток Сити ,-,- ,,
16,Манчестер Сити , Суонси Сити ,-,- ,,
16,Сандерленд , Уотфорд ,-,- ,,
16,Борнмут , Манчестер Юнайтед ,-,- ,,
16,Астон Вилла , Арсенал ,-,- ,,
16,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,-,- ,,
16,Ливерпуль , Вест Бромвич Альбион ,-,- ,,
16,Лестер Сити , Челси ,-,- ,,
17,Вест Бромвич Альбион , Борнмут ,-,- ,,
17,Сток Сити , Кристал Пэлас ,-,- ,,
17,Эвертон , Лестер Сити ,-,- ,,
17,Манчестер Юнайтед , Норвич Сити ,-,- ,,
17,Челси , Сандерленд ,-,- ,,
17,Саутгемптон , Тоттенхэм Хотспур ,-,- ,,
17,Ньюкасл Юнайтед , Астон Вилла ,-,- ,,
17,Уотфорд , Ливерпуль ,-,- ,,
17,Суонси Сити , Вест Хэм Юнайтед ,-,- ,,
17,Арсенал , Манчестер Сити ,-,- ,,
18,Сток Сити , Манчестер Юнайтед ,-,- ,,
18,Борнмут , Кристал Пэлас ,-,- ,,
18,Ливерпуль , Лестер Сити ,-,- ,,
18,Тоттенхэм Хотспур , Норвич Сити ,-,- ,,
18,Манчестер Сити , Сандерленд ,-,- ,,
18,Челси , Уотфорд ,-,- ,,
18,Суонси Сити , Вест Бромвич Альбион ,-,- ,,
18,Астон Вилла , Вест Хэм Юнайтед ,-,- ,,
18,Ньюкасл Юнайтед , Эвертон ,-,- ,,
18,Саутгемптон , Арсенал ,-,- ,,
19,Норвич Сити , Астон Вилла ,-,- ,,
19,Вест Бромвич Альбион , Ньюкасл Юнайтед ,-,- ,,
19,Эвертон , Сток Сити ,-,- ,,
19,Кристал Пэлас , Суонси Сити ,-,- ,,
19,Уотфорд , Тоттенхэм Хотспур ,-,- ,,
19,Арсенал , Борнмут ,-,- ,,
19,Манчестер Юнайтед , Челси ,-,- ,,
19,Вест Хэм Юнайтед , Саутгемптон ,-,- ,,
19,Лестер Сити , Манчестер Сити ,-,- ,,
19,Сандерленд , Ливерпуль ,-,- ,,
20,Вест Хэм Юнайтед , Ливерпуль ,-,- ,,
20,Сандерленд , Астон Вилла ,-,- ,,
20,Лестер Сити , Борнмут ,-,- ,,
20,Арсенал , Ньюкасл Юнайтед ,-,- ,,
20,Норвич Сити , Саутгемптон ,-,- ,,
20,Вест Бромвич Альбион , Сток Сити ,-,- ,,
20,Манчестер Юнайтед , Суонси Сити ,-,- ,,
20,Уотфорд , Манчестер Сити ,-,- ,,
20,Кристал Пэлас , Челси ,-,- ,,
20,Эвертон , Тоттенхэм Хотспур ,-,- ,,
21,Астон Вилла , Кристал Пэлас ,-,- ,,
21,Суонси Сити , Сандерленд ,-,- ,,
21,Борнмут , Вест Хэм Юнайтед ,-,- ,,
21,Ливерпуль , Арсенал ,-,- ,,
21,Манчестер Сити , Эвертон ,-,- ,,
21,Ньюкасл Юнайтед , Манчестер Юнайтед ,-,- ,,
21,Сток Сити , Норвич Сити ,-,- ,,
