1,Страсбург , Марсель ,0,0
1,Бордо , Ланс ,1,0
1,Кан , Ницца ,1,0
1,Лилль , Лорьян ,0,0
1,Монако , Сент-Этьен ,1,1
1,ПСЖ , Сошо ,0,0
1,Ренн , Нанси ,0,2
1,Валансьен , Тулуза ,3,1
1,Ле-Ман , Метц ,1,0
1,Лион , Осер ,2,0
2,Тулуза , Лион ,1,0
2,Осер , Бордо ,0,2
2,Лорьян , Монако ,2,1
2,Марсель , Ренн ,0,0
2,Нанси , Кан ,1,0
2,Ницца , Страсбург ,1,0
2,Сент-Этьен , Валансьен ,3,1
2,Сошо , Ле-Ман ,1,3
2,Метц , Лилль ,1,2
2,Ланс , ПСЖ ,0,0
3,Валансьен , Марсель ,2,1
3,Бордо , Ле-Ман ,1,2
3,Лилль , Сошо ,1,1
3,Монако , Метц ,2,0
3,ПСЖ , Лорьян ,1,3
3,Страсбург , Осер ,3,0
3,Ренн , Сент-Этьен ,1,0
3,Нанси , Ницца ,2,1
3,Лион , Ланс ,3,0
3,Кан , Тулуза ,2,1
4,Сошо , Монако ,0,3
4,Осер , Кан ,1,0
4,Ле-Ман , Лилль ,1,1
4,Лорьян , Лион ,2,1
4,Метц , ПСЖ ,0,0
4,Сент-Этьен , Бордо ,0,0
4,Тулуза , Страсбург ,1,3
4,Ланс , Валансьен ,0,0
4,Ницца , Ренн ,1,1
4,Марсель , Нанси ,2,2
5,Кан , Марсель ,1,2
5,Бордо , Лорьян ,2,2
5,Монако , Ле-Ман ,3,1
5,Нанси , Осер ,4,1
5,Ницца , Тулуза ,1,1
5,Ренн , Метц ,2,0
5,Страсбург , Ланс ,2,1
5,Валансьен , Сошо ,3,1
5,ПСЖ , Лилль ,1,1
5,Лион , Сент-Этьен ,1,0
6,Лорьян , Валансьен ,1,3
6,Марсель , Ницца ,0,2
6,Осер , Ренн ,0,2
6,Ле-Ман , ПСЖ ,0,2
6,Лилль , Монако ,0,1
6,Метц , Бордо ,0,1
6,Сент-Этьен , Страсбург ,2,0
6,Сошо , Лион ,1,2
6,Ланс , Кан ,1,1
6,Тулуза , Нанси ,1,1
7,Бордо , Монако ,2,1
7,Кан , Сошо ,2,2
7,Лион , Ле-Ман ,3,2
7,Нанси , Сент-Этьен ,2,0
7,Ренн , Лилль ,2,2
7,Страсбург , Лорьян ,0,0
7,Тулуза , Осер ,2,0
7,Валансьен , Метц ,0,0
7,ПСЖ , Марсель ,1,1
7,Ницца , Ланс ,1,0
8,Марсель , Тулуза ,1,2
8,Осер , Ницца ,2,0
8,Ле-Ман , Валансьен ,2,0
8,Ланс , Нанси ,1,0
8,Лилль , Бордо ,1,1
8,Метц , Лион ,1,5
8,Сент-Этьен , Кан ,3,0
8,Сошо , Страсбург ,0,0
8,Монако , ПСЖ ,1,2
8,Лорьян , Ренн ,0,1
9,Осер , Марсель ,2,0
9,Кан , Метц ,1,2
9,Нанси , Лорьян ,2,0
9,Ницца , Сент-Этьен ,3,0
9,Страсбург , Ле-Ман ,0,1
9,Тулуза , Ланс ,1,1
9,Валансьен , Монако ,1,0
9,ПСЖ , Бордо ,0,2
9,Ренн , Сошо ,0,2
9,Лион , Лилль ,1,1
10,Монако , Нанси ,1,3
10,Сент-Этьен , Марсель ,1,0
10,Ле-Ман , Ницца ,2,0
10,Ланс , Осер ,2,0
10,Лилль , Валансьен ,3,0
10,Лорьян , Кан ,0,0
10,Метц , Страсбург ,1,2
10,ПСЖ , Ренн ,1,3
10,Бордо , Лион ,1,3
10,Сошо , Тулуза ,0,1
11,Осер , Лорьян ,5,3
11,Кан , Лилль ,1,0
11,Ницца , Метц ,3,1
11,Ренн , Ле-Ман ,3,0
11,Страсбург , Бордо ,1,1
11,Тулуза , Сент-Этьен ,0,2
11,Валансьен , ПСЖ ,0,0
11,Лион , Монако ,3,1
11,Нанси , Сошо ,1,1
11,Марсель , Ланс ,1,0
12,Метц , Нанси ,0,0
12,Бордо , Валансьен ,2,1
12,Лилль , Страсбург ,0,3
12,Лорьян , Ницца ,0,0
12,Монако , Кан ,0,0
12,Сент-Этьен , Осер ,0,0
12,Сошо , Марсель ,2,1
12,Ле-Ман , Тулуза ,1,1
12,Ланс , Ренн ,1,2
12,ПСЖ , Лион ,2,3
13,Нанси , Бордо ,1,0
13,Осер , Лилль ,0,1
13,Лион , Валансьен ,2,0
13,Марсель , Лорьян ,0,0
13,Ницца , Сошо ,0,0
13,Ренн , Монако ,0,1
13,Страсбург , ПСЖ ,1,2
13,Кан , Ле-Ман ,3,2
13,Тулуза , Метц ,0,0
13,Ланс , Сент-Этьен ,3,2
14,Ле-Ман , Сент-Этьен ,3,2
14,Лилль , Ницца ,1,1
14,Метц , Ланс ,1,2
14,Монако , Страсбург ,3,0
14,ПСЖ , Нанси ,0,0
14,Сошо , Осер ,1,1
14,Валансьен , Кан ,3,0
14,Бордо , Ренн ,3,0
14,Лорьян , Тулуза ,1,0
14,Лион , Марсель ,1,2
15,Ренн , Лион ,0,2
15,Кан , Бордо ,5,0
15,Ланс , Лорьян ,1,1
15,Марсель , Метц ,3,1
15,Нанси , Лилль ,2,0
15,Сент-Этьен , Сошо ,1,0
15,Страсбург , Валансьен ,0,0
15,Тулуза , Монако ,0,0
15,Осер , Ле-Ман ,3,0
15,Ницца , ПСЖ ,2,1
16,Ле-Ман , Нанси ,2,1
16,Лилль , Марсель ,1,1
16,Лорьян , Сент-Этьен ,1,1
16,Метц , Осер ,0,1
16,Монако , Ницца ,1,1
16,ПСЖ , Кан ,0,1
16,Сошо , Ланс ,0,2
16,Бордо , Тулуза ,4,3
16,Валансьен , Ренн ,3,0
16,Лион , Страсбург ,5,0
17,Марсель , Монако ,2,0
17,Кан , Лион ,1,0
17,Ланс , Ле-Ман ,1,3
17,Лорьян , Сошо ,2,1
17,Нанси , Валансьен ,0,0
17,Сент-Этьен , Метц ,2,0
17,Страсбург , Ренн ,3,0
17,Тулуза , Лилль ,1,0
17,Ницца , Бордо ,1,1
17,Осер , ПСЖ ,0,1
18,ПСЖ , Тулуза ,1,2
18,Лион , Ницца ,0,0
18,Ле-Ман , Лорьян ,0,0
18,Лилль , Сент-Этьен ,3,0
18,Метц , Сошо ,1,2
18,Монако , Ланс ,2,0
18,Ренн , Кан ,1,2
18,Валансьен , Осер ,3,0
18,Страсбург , Нанси ,0,0
18,Бордо , Марсель ,2,2
19,Нанси , Лион ,1,1
19,Осер , Монако ,1,0
19,Кан , Страсбург ,2,0
19,Лорьян , Метц ,2,0
19,Марсель , Ле-Ман ,1,0
19,Ницца , Валансьен ,1,0
19,Сошо , Бордо ,0,1
19,Тулуза , Ренн ,0,0
19,Сент-Этьен , ПСЖ ,0,1
19,Ланс , Лилль ,1,2
20,Валансьен , Сент-Этьен ,2,0
20,Бордо , Осер ,4,1
20,Кан , Нанси ,0,0
20,Ле-Ман , Сошо ,0,2
20,Лилль , Метц ,1,1
20,Лион , Тулуза ,3,2
20,Монако , Лорьян ,1,0
20,Страсбург , Ницца ,0,1
20,ПСЖ , Ланс ,3,0
20,Ренн , Марсель ,3,1
21,Лорьян , ПСЖ ,1,0
21,Осер , Страсбург ,1,1
21,Ле-Ман , Бордо ,1,2
21,Марсель , Валансьен ,3,1
21,Метц , Монако ,1,4
