1,Осер , Лорьян ,2,2
1,Ланс , Нанси ,1,2
1,Лион , Монако ,0,0
1,Марсель , Кан ,1,2
1,Ницца , Валансьен ,0,0
1,ПСЖ , Сент-Этьен ,3,1
1,Ренн , Лилль ,1,1
1,Сошо , Арль-Авиньон ,2,1
1,Тулуза , Брест ,2,0
1,Монпелье , Бордо ,1,0
2,Брест , Осер ,1,1
2,Лорьян , Ницца ,1,2
2,Нанси , Ренн ,0,3
2,Сент-Этьен , Сошо ,3,2
2,Валансьен , Марсель ,3,2
2,Арль-Авиньон , Ланс ,0,1
2,Бордо , Тулуза ,1,2
2,Кан , Лион ,3,2
2,Лилль , ПСЖ ,0,0
2,Монако , Монпелье ,0,0
3,Ланс , Монако ,2,2
3,Лион , Брест ,1,0
3,Марсель , Лорьян ,2,0
3,Ницца , Нанси ,1,1
3,Ренн , Сент-Этьен ,0,0
3,Тулуза , Арль-Авиньон ,2,1
3,Осер , Валансьен ,1,1
3,Монпелье , Кан ,0,0
3,Сошо , Лилль ,0,0
3,ПСЖ , Бордо ,1,2
4,Арль-Авиньон , Ренн ,0,1
4,Лорьян , Лион ,2,0
4,Нанси , Тулуза ,0,2
4,Сент-Этьен , Ланс ,3,1
4,Валансьен , Монпелье ,0,1
4,Кан , Брест ,0,2
4,Лилль , Ницца ,1,1
4,Монако , Осер ,2,0
4,Сошо , ПСЖ ,3,1
4,Бордо , Марсель ,1,1
5,Осер , Кан ,1,1
5,Лион , Валансьен ,1,1
5,Монпелье , Нанси ,1,2
5,ПСЖ , Арль-Авиньон ,4,0
5,Ренн , Сошо ,2,1
5,Тулуза , Сент-Этьен ,0,1
5,Ланс , Лилль ,1,4
5,Брест , Лорьян ,0,0
5,Ницца , Бордо ,2,1
5,Марсель , Монако ,2,2
6,Лорьян , Кан ,0,1
6,Монако , Тулуза ,0,0
6,Нанси , Брест ,0,2
6,Сент-Этьен , Монпелье ,3,0
6,Сошо , Ницца ,4,0
6,Валансьен , Ланс ,1,1
6,Арль-Авиньон , Марсель ,0,3
6,Лилль , Осер ,1,0
6,ПСЖ , Ренн ,0,0
6,Бордо , Лион ,2,0
7,Осер , Нанси ,2,2
7,Кан , Бордо ,0,0
7,Лорьян , Монако ,2,1
7,Марсель , Сошо ,2,1
7,Монпелье , Арль-Авиньон ,3,1
7,Ницца , Ренн ,1,2
7,Лион , Сент-Этьен ,0,1
7,Брест , Валансьен ,1,0
7,Тулуза , Лилль ,1,1
7,Ланс , ПСЖ ,0,2
8,Арль-Авиньон , Осер ,0,4
8,Бордо , Лорьян ,1,0
8,Монако , Брест ,0,1
8,Нанси , Лион ,2,3
8,Сошо , Ланс ,3,0
8,Валансьен , Кан ,2,1
8,Сент-Этьен , Марсель ,1,1
8,Лилль , Монпелье ,3,1
8,ПСЖ , Ницца ,0,0
8,Ренн , Тулуза ,3,1
9,Осер , Бордо ,0,1
9,Брест , Арль-Авиньон ,0,0
9,Кан , Монако ,0,0
9,Марсель , Нанси ,1,0
9,Монпелье , Сошо ,2,0
9,Тулуза , ПСЖ ,0,2
9,Ланс , Ренн ,0,0
9,Лорьян , Валансьен ,2,1
9,Ницца , Сент-Этьен ,2,1
9,Лион , Лилль ,3,1
10,Бордо , Брест ,0,2
10,Ланс , Ницца ,1,0
10,Монако , Валансьен ,0,2
10,Нанси , Лорьян ,1,0
10,Ренн , Монпелье ,0,1
10,Сент-Этьен , Кан ,1,1
10,Сошо , Тулуза ,1,3
10,Арль-Авиньон , Лион ,1,1
10,ПСЖ , Осер ,2,3
10,Лилль , Марсель ,1,3
11,Осер , Ницца ,2,0
11,Брест , Сент-Этьен ,2,0
11,Кан , Нанси ,2,3
11,Лорьян , Арль-Авиньон ,2,0
11,Лион , Сошо ,2,1
11,Тулуза , Ланс ,1,1
11,Валансьен , Лилль ,1,1
11,Монпелье , ПСЖ ,1,1
11,Монако , Бордо ,2,2
11,Марсель , Ренн ,0,0
12,Арль-Авиньон , Кан ,3,2
12,Бордо , Валансьен ,1,1
12,Сент-Этьен , Лорьян ,1,2
12,Сошо , Осер ,1,1
12,Ренн , Лион ,1,1
12,Ланс , Монпелье ,2,0
12,Лилль , Брест ,3,1
12,Нанси , Монако ,0,4
12,Ницца , Тулуза ,2,0
12,ПСЖ , Марсель ,2,1
13,Бордо , Нанси ,2,1
13,Брест , Сошо ,1,1
13,Марсель , Ланс ,1,1
13,Монако , Арль-Авиньон ,0,0
13,Монпелье , Тулуза ,1,0
13,Кан , Лилль ,2,5
13,Осер , Ренн ,2,1
13,Лорьян , ПСЖ ,1,1
13,Лион , Ницца ,1,0
13,Валансьен , Сент-Этьен ,1,1
14,Нанси , Валансьен ,2,0
14,ПСЖ , Кан ,2,1
14,Ренн , Брест ,2,1
14,Сент-Этьен , Осер ,1,1
14,Сошо , Лорьян ,2,0
14,Тулуза , Марсель ,0,1
14,Ницца , Монпелье ,0,1
14,Арль-Авиньон , Бордо ,2,4
14,Лилль , Монако ,2,1
14,Ланс , Лион ,1,3
15,Лорьян , Ренн ,2,0
15,Марсель , Монпелье ,4,0
15,Монако , Ницца ,1,1
15,Нанси , Сент-Этьен ,1,1
15,Валансьен , Арль-Авиньон ,3,0
15,Бордо , Лилль ,1,1
