1,Монпелье , Тулуза ,1,1
1,Нанси , Брест ,1,0
1,Сент-Этьен , Лилль ,1,2
1,Труа , Валансьен ,0,1
1,Эвиан , Бордо ,2,3
1,Сошо , Бастия ,2,3
1,Ницца , Аяччо ,0,1
1,ПСЖ , Лорьян ,2,2
1,Ренн , Лион ,0,1
1,Реймс , Марсель ,0,1
2,Лилль , Нанси ,1,1
2,Лион , Труа ,4,1
2,Лорьян , Монпелье ,2,1
2,Бастия , Реймс ,2,1
2,Брест , Эвиан ,1,0
2,Тулуза , Сент-Этьен ,2,1
2,Валансьен , Ницца ,0,0
2,Бордо , Ренн ,1,0
2,Марсель , Сошо ,2,0
2,Аяччо , ПСЖ ,0,0
3,Эвиан , Лион ,1,1
3,Ницца , Лилль ,2,2
3,Нанси , Тулуза ,0,1
3,Труа , Лорьян ,2,2
3,Реймс , Сошо ,1,0
3,Ренн , Бастия ,3,2
3,Валансьен , Аяччо ,3,0
3,Сент-Этьен , Брест ,4,0
3,Монпелье , Марсель ,0,1
3,ПСЖ , Бордо ,0,0
4,Лион , Валансьен ,3,2
4,Аяччо , Эвиан ,2,0
4,Лорьян , Нанси ,3,0
4,Сошо , Монпелье ,1,3
4,Бастия , Сент-Этьен ,0,3
4,Брест , Труа ,2,1
4,Тулуза , Реймс ,1,1
4,Бордо , Ницца ,1,1
4,Марсель , Ренн ,3,1
4,Лилль , ПСЖ ,1,2
5,ПСЖ , Тулуза ,2,0
5,Реймс , Монпелье ,3,1
5,Труа , Лилль ,1,1
5,Сент-Этьен , Сошо ,0,1
5,Эвиан , Бастия ,3,0
5,Ницца , Брест ,4,2
5,Валансьен , Бордо ,0,0
5,Ренн , Лорьян ,1,2
5,Лион , Аяччо ,2,0
5,Нанси , Марсель ,0,1
6,Монпелье , Сент-Этьен ,1,1
6,Бастия , ПСЖ ,0,4
6,Лорьян , Ницца ,1,1
6,Сошо , Труа ,3,1
6,Брест , Валансьен ,2,1
6,Реймс , Нанси ,2,0
6,Тулуза , Ренн ,2,2
6,Бордо , Аяччо ,2,2
6,Марсель , Эвиан ,1,0
6,Лилль , Лион ,1,1
7,Ренн , Лилль ,2,0
7,ПСЖ , Сошо ,2,0
7,Аяччо , Брест ,1,0
7,Нанси , Монпелье ,0,2
7,Труа , Тулуза ,0,2
7,Эвиан , Лорьян ,1,1
7,Ницца , Бастия ,2,2
7,Валансьен , Марсель ,4,1
7,Сент-Этьен , Реймс ,0,0
7,Лион , Бордо ,0,2
8,Сент-Этьен , Нанси ,4,0
8,Монпелье , Эвиан ,2,3
8,Сошо , Ренн ,0,1
8,Лилль , Аяччо ,2,0
8,Бастия , Труа ,3,2
8,Реймс , Ницца ,3,1
8,Тулуза , Валансьен ,2,2
8,Брест , Бордо ,1,1
8,Лорьян , Лион ,1,1
8,Марсель , ПСЖ ,2,2
9,Бордо , Лилль ,1,1
9,ПСЖ , Реймс ,1,0
9,Нанси , Сошо ,1,1
9,Эвиан , Тулуза ,0,4
9,Ницца , Сент-Этьен ,1,1
9,Ренн , Монпелье ,2,1
9,Валансьен , Лорьян ,6,1
9,Аяччо , Бастия ,0,0
9,Лион , Брест ,1,0
9,Труа , Марсель ,1,0
10,Сент-Этьен , Ренн ,2,0
10,Лилль , Валансьен ,2,1
10,Нанси , ПСЖ ,0,1
10,Монпелье , Ницца ,3,1
10,Реймс , Труа ,1,1
10,Тулуза , Брест ,3,1
10,Лорьян , Аяччо ,4,4
10,Бастия , Бордо ,3,1
10,Сошо , Эвиан ,2,1
10,Марсель , Лион ,1,4
11,Брест , Лорьян ,2,0
11,ПСЖ , Сент-Этьен ,1,2
11,Труа , Монпелье ,1,1
11,Эвиан , Лилль ,0,2
11,Ницца , Нанси ,2,1
11,Ренн , Реймс ,1,0
11,Валансьен , Сошо ,3,1
11,Аяччо , Марсель ,0,2
11,Лион , Бастия ,5,2
11,Бордо , Тулуза ,1,0
12,Нанси , Ренн ,1,3
12,Лилль , Брест ,1,0
12,Сент-Этьен , Труа ,2,0
12,Бастия , Валансьен ,2,3
12,Реймс , Эвиан ,1,2
12,Тулуза , Аяччо ,2,4
12,Марсель , Ницца ,2,2
12,Лорьян , Бордо ,0,4
12,Сошо , Лион ,1,1
12,Монпелье , ПСЖ ,1,1
13,Лорьян , Лилль ,2,0
13,ПСЖ , Ренн ,1,2
13,Аяччо , Сошо ,0,1
13,Труа , Нанси ,3,3
13,Эвиан , Сент-Этьен ,2,2
13,Брест , Бастия ,3,0
13,Валансьен , Монпелье ,1,1
13,Лион , Реймс ,3,0
13,Ницца , Тулуза ,1,0
13,Бордо , Марсель ,1,0
14,Сент-Этьен , Валансьен ,1,0
14,ПСЖ , Труа ,4,0
14,Нанси , Аяччо ,1,1
14,Сошо , Ницца ,0,1
14,Бастия , Лорьян ,2,1
14,Реймс , Брест ,0,0
14,Ренн , Эвиан ,0,1
14,Монпелье , Бордо ,1,0
14,Тулуза , Лион ,3,0
14,Марсель , Лилль ,1,0
15,Аяччо , Сент-Этьен ,0,0
15,Лион , Монпелье ,1,0
15,Эвиан , Нанси ,1,1
15,Бордо , Сошо ,2,2
15,Лилль , Бастия ,0,0
15,Ницца , ПСЖ ,2,1
15,Валансьен , Реймс ,1,0
15,Брест , Марсель ,1,2
15,Труа , Ренн ,2,3
15,Лорьян , Тулуза ,1,0
16,Тулуза , Бастия ,0,0
16,ПСЖ , Эвиан ,4,0
16,Нанси , Валансьен ,1,1
16,Труа , Ницца ,1,1
16,Сошо , Лилль ,1,1
16,Монпелье , Аяччо ,3,0
16,Ренн , Брест ,2,2
16,Реймс , Бордо ,0,0
16,Марсель , Лорьян ,0,3
16,Сент-Этьен , Лион ,0,1
17,Ницца , Ренн ,1,0
17,Валансьен , ПСЖ ,0,4
17,Лилль , Тулуза ,2,0
17,Аяччо , Реймс ,2,0
17,Эвиан , Труа ,2,0
17,Лорьян , Сошо ,2,0
17,Лион , Нанси ,1,1
17,Брест , Монпелье ,1,2
17,Бастия , Марсель ,1,2
17,Бордо , Сент-Этьен ,0,0
18,Ренн , Валансьен ,2,0
18,Тулуза , Марсель ,0,1
18,Труа , Аяччо ,3,2
18,Сошо , Брест ,1,2
18,Монпелье , Бастия ,4,0
18,Ницца , Эвиан ,3,2
18,Реймс , Лилль ,1,1
18,Нанси , Бордо ,1,1
18,Сент-Этьен , Лорьян ,0,2
18,ПСЖ , Лион ,1,0
19,Брест , ПСЖ ,0,3
19,Лилль , Монпелье ,4,1
19,Аяччо , Ренн ,2,4
19,Лорьян , Реймс ,2,2
19,Бордо , Труа ,0,0
19,Лион , Ницца ,3,0
19,Бастия , Нанси ,4,2
19,Валансьен , Эвиан ,2,1
19,Тулуза , Сошо ,2,0
19,Марсель , Сент-Этьен ,1,0
20,Сент-Этьен , Тулуза ,2,2
