1,Бавария , Боруссия Д ,2,0
1,Гамбург , Арминия ,1,1
1,Шальке-04 , Айнтрахт ,1,1
1,Байер , Алемания ,3,0
1,Штутгарт , Нюрнберг ,0,3
1,Боруссия М , Энерги ,2,0
1,Майнц , Бохум ,2,1
1,Ганновер-96 , Вердер ,2,4
1,Вольфсбург , Герта ,0,0
2,Нюрнберг , Боруссия М ,1,0
2,Вердер , Байер ,2,1
2,Герта , Ганновер-96 ,4,0
2,Боруссия Д , Майнц ,1,1
2,Айнтрахт , Вольфсбург ,0,0
2,Алемания , Шальке-04 ,0,1
2,Энерги , Гамбург ,2,2
2,Арминия , Штутгарт ,2,3
2,Бохум , Бавария ,1,2
3,Шальке-04 , Вердер ,2,0
3,Бавария , Нюрнберг ,0,0
3,Байер , Вольфсбург ,1,1
3,Штутгарт , Боруссия Д ,1,3
3,Боруссия М , Арминия ,1,0
3,Ганновер-96 , Алемания ,0,3
3,Бохум , Энерги ,0,1
3,Гамбург , Герта ,1,1
3,Майнц , Айнтрахт ,1,1
4,Вольфсбург , Ганновер-96 ,1,2
4,Вердер , Штутгарт ,2,3
4,Боруссия Д , Гамбург ,1,0
4,Нюрнберг , Бохум ,1,1
4,Арминия , Бавария ,2,1
4,Алемания , Боруссия М ,4,2
4,Энерги , Майнц ,2,0
4,Герта , Шальке-04 ,2,0
4,Айнтрахт , Байер ,3,1
5,Боруссия М , Боруссия Д ,1,0
5,Бавария , Алемания ,2,1
5,Гамбург , Вердер ,1,1
5,Шальке-04 , Вольфсбург ,2,0
5,Штутгарт , Айнтрахт ,1,1
5,Майнц , Герта ,1,1
5,Ганновер-96 , Байер ,1,1
5,Бохум , Арминия ,2,1
5,Энерги , Нюрнберг ,1,1
6,Боруссия Д , Ганновер-96 ,2,2
6,Вердер , Боруссия М ,3,0
6,Нюрнберг , Майнц ,1,1
6,Арминия , Энерги ,3,1
6,Айнтрахт , Гамбург ,2,2
6,Вольфсбург , Бавария ,1,0
6,Алемания , Бохум ,2,1
6,Байер , Шальке-04 ,3,1
6,Герта , Штутгарт ,2,2
7,Майнц , Алемания ,1,3
7,Бавария , Герта ,4,2
7,Гамбург , Шальке-04 ,1,2
7,Штутгарт , Байер ,3,0
7,Боруссия М , Вольфсбург ,3,1
7,Ганновер-96 , Айнтрахт ,1,1
7,Бохум , Вердер ,0,6
7,Нюрнберг , Арминия ,1,1
7,Энерги , Боруссия Д ,2,3
8,Боруссия Д , Бохум ,1,1
8,Вердер , Бавария ,3,1
8,Шальке-04 , Ганновер-96 ,2,1
8,Герта , Боруссия М ,2,1
8,Арминия , Майнц ,1,0
8,Вольфсбург , Штутгарт ,1,1
8,Алемания , Энерги ,1,2
8,Байер , Гамбург ,1,2
8,Айнтрахт , Нюрнберг ,2,2
9,Майнц , Вердер ,1,6
9,Бавария , Айнтрахт ,2,0
9,Гамбург , Ганновер-96 ,0,0
9,Нюрнберг , Боруссия Д ,1,1
9,Боруссия М , Байер ,0,2
9,Бохум , Вольфсбург ,0,1
9,Энерги , Герта ,2,0
9,Штутгарт , Шальке-04 ,3,0
9,Арминия , Алемания ,5,1
10,Ганновер-96 , Бохум ,0,2
10,Вердер , Энерги ,1,1
10,Байер , Майнц ,1,1
10,Герта , Нюрнберг ,2,1
10,Боруссия Д , Арминия ,1,1
10,Вольфсбург , Гамбург ,1,0
10,Алемания , Штутгарт ,2,4
10,Шальке-04 , Бавария ,2,2
10,Айнтрахт , Боруссия М ,1,0
11,Боруссия Д , Алемания ,0,0
11,Нюрнберг , Вердер ,1,2
11,Штутгарт , Гамбург ,2,0
11,Майнц , Вольфсбург ,1,2
11,Бавария , Ганновер-96 ,0,1
11,Боруссия М , Шальке-04 ,0,2
11,Арминия , Герта ,2,2
11,Бохум , Байер ,1,3
11,Энерги , Айнтрахт ,0,1
12,Вердер , Боруссия Д ,1,3
12,Гамбург , Боруссия М ,1,1
12,Шальке-04 , Майнц ,4,0
12,Байер , Бавария ,2,3
12,Герта , Бохум ,3,3
12,Айнтрахт , Арминия ,0,3
12,Вольфсбург , Энерги ,0,0
12,Ганновер-96 , Штутгарт ,1,2
12,Алемания , Нюрнберг ,1,1
13,Бохум , Айнтрахт ,4,3
13,Бавария , Штутгарт ,2,1
13,Боруссия Д , Герта ,1,2
13,Нюрнберг , Байер ,3,2
13,Майнц , Гамбург ,0,0
13,Алемания , Вердер ,2,2
13,Энерги , Шальке-04 ,2,4
13,Боруссия М , Ганновер-96 ,0,1
13,Арминия , Вольфсбург ,0,0
14,Шальке-04 , Бохум ,2,1
14,Вердер , Арминия ,3,0
14,Гамбург , Бавария ,1,2
14,Герта , Алемания ,2,1
14,Ганновер-96 , Майнц ,1,0
14,Айнтрахт , Боруссия Д ,1,1
14,Вольфсбург , Нюрнберг ,1,1
14,Байер , Энерги ,3,1
14,Штутгарт , Боруссия М ,1,0
15,Майнц , Штутгарт ,0,0
15,Бавария , Боруссия М ,1,1
15,Вердер , Герта ,3,1
15,Боруссия Д , Вольфсбург ,1,0
15,Арминия , Байер ,0,0
15,Бохум , Гамбург ,2,1
15,Энерги , Ганновер-96 ,0,1
15,Нюрнберг , Шальке-04 ,0,0
15,Алемания , Айнтрахт ,2,3
16,Байер , Герта ,2,1
16,Бавария , Энерги ,2,1
16,Гамбург , Нюрнберг ,0,0
16,Штутгарт , Бохум ,1,0
16,Боруссия М , Майнц ,1,1
