1,Штутгарт , Шальке-04 ,2,2
1,Бавария , Ганза ,3,0
1,Байер , Энерги ,0,0
1,Бохум , Вердер ,2,2
1,Ганновер-96 , Гамбург ,0,1
1,Айнтрахт , Герта ,1,0
1,Вольфсбург , Арминия ,1,3
1,Нюрнберг , Карлсруэ ,0,2
1,Боруссия Д , Дуйсбург ,1,3
2,Карлсруэ , Ганновер-96 ,1,2
2,Шальке-04 , Боруссия Д ,4,1
2,Вердер , Бавария ,0,4
2,Герта , Штутгарт ,3,1
2,Арминия , Айнтрахт ,2,2
2,Ганза , Нюрнберг ,1,2
2,Дуйсбург , Вольфсбург ,1,3
2,Гамбург , Байер ,1,0
2,Энерги , Бохум ,1,2
3,Бохум , Гамбург ,2,1
3,Штутгарт , Дуйсбург ,1,0
3,Бавария , Ганновер-96 ,3,0
3,Байер , Карлсруэ ,3,0
3,Нюрнберг , Вердер ,0,1
3,Боруссия Д , Энерги ,3,0
3,Арминия , Герта ,2,0
3,Айнтрахт , Ганза ,1,0
3,Вольфсбург , Шальке-04 ,1,1
4,Шальке-04 , Байер ,1,1
4,Вердер , Айнтрахт ,2,1
4,Герта , Вольфсбург ,2,1
4,Ганновер-96 , Бохум ,3,2
4,Энерги , Нюрнберг ,1,1
4,Ганза , Боруссия Д ,0,1
4,Дуйсбург , Арминия ,3,0
4,Гамбург , Бавария ,1,1
4,Карлсруэ , Штутгарт ,1,0
5,Боруссия Д , Вердер ,3,0
5,Штутгарт , Энерги ,3,0
5,Бавария , Шальке-04 ,1,1
5,Байер , Бохум ,2,0
5,Нюрнберг , Ганновер-96 ,2,2
5,Айнтрахт , Гамбург ,2,1
5,Арминия , Ганза ,4,2
5,Вольфсбург , Карлсруэ ,1,2
5,Дуйсбург , Герта ,1,2
6,Бохум , Айнтрахт ,0,0
6,Шальке-04 , Арминия ,3,0
6,Вердер , Штутгарт ,4,1
6,Гамбург , Нюрнберг ,1,0
6,Герта , Боруссия Д ,3,2
6,Энерги , Вольфсбург ,1,2
6,Ганза , Дуйсбург ,2,0
6,Ганновер-96 , Байер ,0,3
6,Карлсруэ , Бавария ,1,4
7,Боруссия Д , Гамбург ,0,3
7,Герта , Ганза ,1,3
7,Вольфсбург , Вердер ,1,1
7,Дуйсбург , Шальке-04 ,0,2
7,Штутгарт , Бохум ,1,0
7,Бавария , Энерги ,5,0
7,Нюрнберг , Байер ,1,2
7,Арминия , Ганновер-96 ,0,2
7,Айнтрахт , Карлсруэ ,0,1
8,Шальке-04 , Герта ,1,0
8,Вердер , Арминия ,8,1
8,Байер , Бавария ,0,1
8,Гамбург , Вольфсбург ,2,2
8,Бохум , Нюрнберг ,3,3
8,Карлсруэ , Боруссия Д ,3,1
8,Ганза , Штутгарт ,2,1
8,Ганновер-96 , Дуйсбург ,2,1
8,Энерги , Айнтрахт ,2,2
9,Боруссия Д , Бохум ,2,1
9,Штутгарт , Ганновер-96 ,0,2
9,Шальке-04 , Карлсруэ ,0,2
9,Герта , Энерги ,0,0
9,Арминия , Гамбург ,0,1
9,Вольфсбург , Ганза ,1,0
9,Дуйсбург , Вердер ,1,3
9,Бавария , Нюрнберг ,3,0
9,Айнтрахт , Байер ,2,1
10,Энерги , Дуйсбург ,1,2
10,Вердер , Герта ,3,2
10,Байер , Боруссия Д ,2,2
10,Нюрнберг , Айнтрахт ,5,1
10,Гамбург , Штутгарт ,4,1
10,Бохум , Бавария ,1,2
10,Ганза , Шальке-04 ,1,1
10,Ганновер-96 , Вольфсбург ,2,2
10,Карлсруэ , Арминия ,0,0
11,Айнтрахт , Ганновер-96 ,0,0
11,Штутгарт , Байер ,1,0
11,Шальке-04 , Вердер ,1,1
11,Герта , Бохум ,2,0
11,Арминия , Энерги ,1,1
11,Вольфсбург , Нюрнберг ,3,1
11,Ганза , Карлсруэ ,0,0
11,Боруссия Д , Бавария ,0,0
11,Дуйсбург , Гамбург ,0,1
12,Энерги , Шальке-04 ,1,0
12,Вердер , Ганза ,1,0
12,Бавария , Айнтрахт ,0,0
12,Байер , Арминия ,4,0
12,Нюрнберг , Штутгарт ,0,1
12,Гамбург , Герта ,2,1
12,Ганновер-96 , Боруссия Д ,2,1
12,Бохум , Вольфсбург ,5,3
12,Карлсруэ , Дуйсбург ,1,0
13,Дуйсбург , Бохум ,0,2
13,Штутгарт , Бавария ,3,1
13,Шальке-04 , Гамбург ,1,1
13,Вердер , Карлсруэ ,4,0
13,Боруссия Д , Айнтрахт ,1,1
13,Герта , Ганновер-96 ,1,0
13,Ганза , Энерги ,3,2
13,Арминия , Нюрнберг ,3,1
13,Вольфсбург , Байер ,1,2
14,Карлсруэ , Герта ,2,1
14,Бавария , Вольфсбург ,2,1
14,Байер , Дуйсбург ,4,1
14,Бохум , Арминия ,3,0
14,Ганновер-96 , Шальке-04 ,2,3
14,Энерги , Вердер ,0,2
14,Айнтрахт , Штутгарт ,1,4
14,Нюрнберг , Боруссия Д ,2,0
14,Гамбург , Ганза ,2,0
15,Ганза , Ганновер-96 ,0,3
15,Штутгарт , Боруссия Д ,1,2
15,Шальке-04 , Бохум ,1,0
15,Вердер , Гамбург ,2,1
15,Герта , Байер ,0,3
15,Энерги , Карлсруэ ,2,0
15,Вольфсбург , Айнтрахт ,2,2
15,Арминия , Бавария ,0,1
15,Дуйсбург , Нюрнберг ,1,0
16,Боруссия Д , Арминия ,6,1
16,Штутгарт , Вольфсбург ,3,1
16,Бавария , Дуйсбург ,0,0
16,Гамбург , Энерги ,0,0
16,Бохум , Карлсруэ ,2,2
16,Ганновер-96 , Вердер ,4,3
16,Айнтрахт , Шальке-04 ,2,2
16,Байер , Ганза ,3,0
16,Нюрнберг , Герта ,2,1
17,Энерги , Ганновер-96 ,5,1
17,Шальке-04 , Нюрнберг ,2,1
17,Вердер , Байер ,5,2
17,Герта , Бавария ,0,0
17,Арминия , Штутгарт ,2,0
17,Вольфсбург , Боруссия Д ,4,0
17,Карлсруэ , Гамбург ,1,1
17,Ганза , Бохум ,2,0
17,Дуйсбург , Айнтрахт ,0,1
18,Ганза , Бавария ,1,2
18,Энерги , Байер ,2,3
18,Карлсруэ , Нюрнберг ,2,0
18,Дуйсбург , Боруссия Д ,3,3
18,Гамбург , Ганновер-96 ,1,1
18,Герта , Айнтрахт ,0,3
18,Арминия , Вольфсбург ,0,1
18,Шальке-04 , Штутгарт ,4,1
18,Вердер , Бохум ,1,2
19,Айнтрахт , Арминия ,2,1
19,Байер , Гамбург ,1,1
19,Штутгарт , Герта ,1,3
19,Бохум , Энерги ,3,3
