1,Бавария , Гамбург ,2,2
1,Шальке-04 , Ганновер-96 ,3,0
1,Вольфсбург , Кёльн ,2,1
1,Байер , Боруссия Д ,2,3
1,Карлсруэ , Бохум ,1,0
1,Энерги , Хоффенхайм ,0,3
1,Арминия , Вердер ,2,2
1,Айнтрахт , Герта ,0,2
1,Боруссия М , Штутгарт ,1,3
2,Ганновер-96 , Энерги ,0,0
2,Вердер , Шальке-04 ,1,1
2,Гамбург , Карлсруэ ,2,1
2,Штутгарт , Байер ,0,2
2,Герта , Арминия ,1,1
2,Боруссия Д , Бавария ,1,1
2,Хоффенхайм , Боруссия М ,1,0
2,Бохум , Вольфсбург ,2,2
2,Кёльн , Айнтрахт ,1,1
3,Карлсруэ , Кёльн ,0,2
3,Шальке-04 , Бохум ,1,0
3,Вольфсбург , Айнтрахт ,2,2
3,Байер , Хоффенхайм ,5,2
3,Энерги , Боруссия Д ,0,1
3,Арминия , Гамбург ,2,4
3,Боруссия М , Вердер ,3,2
3,Бавария , Герта ,4,1
3,Штутгарт , Ганновер-96 ,2,0
4,Вердер , Энерги ,3,0
4,Гамбург , Байер ,3,2
4,Герта , Вольфсбург ,2,2
4,Боруссия Д , Шальке-04 ,3,3
4,Хоффенхайм , Штутгарт ,0,0
4,Кёльн , Бавария ,0,3
4,Ганновер-96 , Боруссия М ,5,1
4,Бохум , Арминия ,2,0
4,Айнтрахт , Карлсруэ ,2,1
5,Байер , Ганновер-96 ,4,0
5,Бавария , Вердер ,2,5
5,Шальке-04 , Айнтрахт ,1,0
5,Энерги , Бохум ,1,1
5,Арминия , Кёльн ,2,0
5,Боруссия М , Герта ,0,1
5,Вольфсбург , Гамбург ,3,0
5,Штутгарт , Карлсруэ ,3,1
5,Хоффенхайм , Боруссия Д ,4,1
6,Кёльн , Шальке-04 ,1,0
6,Вердер , Хоффенхайм ,5,4
6,Гамбург , Боруссия М ,1,0
6,Ганновер-96 , Бавария ,1,0
6,Герта , Энерги ,0,1
6,Бохум , Байер ,2,3
6,Боруссия Д , Штутгарт ,3,0
6,Айнтрахт , Арминия ,1,1
6,Карлсруэ , Вольфсбург ,2,1
7,Арминия , Карлсруэ ,1,2
7,Бавария , Бохум ,3,3
7,Штутгарт , Вердер ,4,1
7,Байер , Герта ,0,1
7,Боруссия М , Кёльн ,1,2
7,Хоффенхайм , Айнтрахт ,2,1
7,Шальке-04 , Вольфсбург ,2,2
7,Боруссия Д , Ганновер-96 ,1,1
7,Энерги , Гамбург ,1,2
