1,Вольфсбург , Штутгарт ,2,0
1,Боруссия Д , Кёльн ,1,0
1,Нюрнберг , Шальке-04 ,1,2
1,Вердер , Айнтрахт ,2,3
1,Герта , Ганновер-96 ,1,0
1,Майнц , Байер ,2,2
1,Хоффенхайм , Бавария ,1,1
1,Бохум , Боруссия М ,3,3
1,Фрайбург , Гамбург ,1,1
2,Бавария , Вердер ,1,1
2,Штутгарт , Фрайбург ,4,2
2,Гамбург , Боруссия Д ,4,1
2,Байер , Хоффенхайм ,1,0
2,Ганновер-96 , Майнц ,1,1
2,Айнтрахт , Нюрнберг ,1,1
2,Кёльн , Вольфсбург ,1,3
2,Боруссия М , Герта ,2,1
2,Шальке-04 , Бохум ,3,0
3,Хоффенхайм , Шальке-04 ,0,0
3,Боруссия Д , Штутгарт ,1,1
3,Кёльн , Айнтрахт ,0,0
3,Фрайбург , Байер ,0,5
3,Майнц , Бавария ,2,1
3,Нюрнберг , Ганновер-96 ,0,2
3,Бохум , Герта ,1,0
3,Вольфсбург , Гамбург ,2,4
3,Вердер , Боруссия М ,3,0
4,Боруссия М , Майнц ,2,0
4,Штутгарт , Нюрнберг ,0,0
4,Шальке-04 , Фрайбург ,0,1
4,Байер , Бохум ,2,1
4,Ганновер-96 , Хоффенхайм ,0,1
4,Айнтрахт , Боруссия Д ,1,1
4,Бавария , Вольфсбург ,3,0
4,Герта , Вердер ,2,3
4,Гамбург , Кёльн ,3,1
5,Вольфсбург , Байер ,2,3
5,Боруссия Д , Бавария ,1,5
5,Хоффенхайм , Бохум ,3,0
5,Фрайбург , Айнтрахт ,0,2
5,Майнц , Герта ,2,1
5,Нюрнберг , Боруссия М ,1,0
5,Гамбург , Штутгарт ,3,1
5,Вердер , Ганновер-96 ,0,0
5,Кёльн , Шальке-04 ,1,2
6,Шальке-04 , Вольфсбург ,1,2
6,Бавария , Нюрнберг ,2,1
6,Штутгарт , Кёльн ,0,2
6,Ганновер-96 , Боруссия Д ,1,1
6,Бохум , Майнц ,2,3
6,Боруссия М , Хоффенхайм ,2,4
6,Айнтрахт , Гамбург ,1,1
6,Герта , Фрайбург ,0,4
