1,Бавария , Вольфсбург ,2,1
1,Хоффенхайм , Вердер ,4,1
1,Боруссия М , Нюрнберг ,1,1
1,Кёльн , Кайзерслаутерн ,1,3
1,Фрайбург , Санкт-Паули ,1,3
1,Ганновер-96 , Айнтрахт ,2,1
1,Гамбург , Шальке-04 ,2,1
1,Майнц , Штутгарт ,2,0
1,Боруссия Д , Байер ,0,2
2,Кайзерслаутерн , Бавария ,2,0
2,Шальке-04 , Ганновер-96 ,1,2
2,Вердер , Кёльн ,4,2
2,Вольфсбург , Майнц ,3,4
2,Айнтрахт , Гамбург ,1,3
2,Нюрнберг , Фрайбург ,1,2
2,Санкт-Паули , Хоффенхайм ,0,1
2,Байер , Боруссия М ,3,6
2,Штутгарт , Боруссия Д ,1,3
3,Хоффенхайм , Шальке-04 ,2,0
3,Боруссия Д , Вольфсбург ,2,0
3,Гамбург , Нюрнберг ,1,1
3,Боруссия М , Айнтрахт ,0,4
3,Фрайбург , Штутгарт ,2,1
3,Ганновер-96 , Байер ,2,2
3,Бавария , Вердер ,0,0
3,Майнц , Кайзерслаутерн ,2,1
3,Кёльн , Санкт-Паули ,1,0
4,Айнтрахт , Фрайбург ,0,1
4,Бавария , Кёльн ,0,0
4,Вердер , Майнц ,0,2
4,Штутгарт , Боруссия М ,7,0
4,Вольфсбург , Ганновер-96 ,2,0
4,Кайзерслаутерн , Хоффенхайм ,2,2
4,Санкт-Паули , Гамбург ,1,1
4,Шальке-04 , Боруссия Д ,1,3
4,Байер , Нюрнберг ,0,0
5,Майнц , Кёльн ,2,0
5,Хоффенхайм , Бавария ,1,2
5,Ганновер-96 , Вердер ,4,1
5,Байер , Айнтрахт ,2,1
5,Боруссия Д , Кайзерслаутерн ,5,0
5,Гамбург , Вольфсбург ,1,3
5,Боруссия М , Санкт-Паули ,1,2
5,Фрайбург , Шальке-04 ,1,2
5,Нюрнберг , Штутгарт ,2,1
6,Кёльн , Хоффенхайм ,1,1
6,Бавария , Майнц ,1,2
6,Шальке-04 , Боруссия М ,2,2
6,Штутгарт , Байер ,1,4
6,Айнтрахт , Нюрнберг ,2,0
6,Санкт-Паули , Боруссия Д ,1,3
6,Вердер , Гамбург ,3,2
6,Вольфсбург , Фрайбург ,2,1
6,Кайзерслаутерн , Ганновер-96 ,0,1
7,Ганновер-96 , Санкт-Паули ,0,1
7,Гамбург , Кайзерслаутерн ,2,1
7,Майнц , Хоффенхайм ,4,2
7,Боруссия М , Вольфсбург ,1,1
7,Фрайбург , Кёльн ,3,2
7,Нюрнберг , Шальке-04 ,2,1
7,Штутгарт , Айнтрахт ,1,2
7,Байер , Вердер ,2,2
7,Боруссия Д , Бавария ,2,0
8,Кёльн , Боруссия Д ,1,2
8,Бавария , Ганновер-96 ,3,0
8,Шальке-04 , Штутгарт ,2,2
8,Вердер , Фрайбург ,2,1
8,Майнц , Гамбург ,0,1
8,Санкт-Паули , Нюрнберг ,3,2
8,Вольфсбург , Байер ,2,3
8,Кайзерслаутерн , Айнтрахт ,0,3
8,Хоффенхайм , Боруссия М ,3,2
9,Гамбург , Бавария ,0,0
9,Айнтрахт , Шальке-04 ,0,0
9,Боруссия М , Вердер ,1,4
9,Фрайбург , Кайзерслаутерн ,2,1
9,Ганновер-96 , Кёльн ,2,1
9,Нюрнберг , Вольфсбург ,2,1
9,Боруссия Д , Хоффенхайм ,1,1
9,Байер , Майнц ,0,1
9,Штутгарт , Санкт-Паули ,2,0
10,Бавария , Фрайбург ,4,2
10,Вердер , Нюрнберг ,2,3
10,Вольфсбург , Штутгарт ,2,0
10,Кёльн , Гамбург ,3,2
10,Кайзерслаутерн , Боруссия М ,3,0
10,Санкт-Паули , Айнтрахт ,1,3
10,Шальке-04 , Байер ,0,1
10,Майнц , Боруссия Д ,0,2
10,Хоффенхайм , Ганновер-96 ,4,0
11,Шальке-04 , Санкт-Паули ,3,0
11,Гамбург , Хоффенхайм ,2,1
11,Айнтрахт , Вольфсбург ,3,1
11,Боруссия М , Бавария ,3,3
11,Фрайбург , Майнц ,1,0
11,Нюрнберг , Кёльн ,3,1
11,Ганновер-96 , Боруссия Д ,0,4
11,Байер , Кайзерслаутерн ,3,1
11,Штутгарт , Вердер ,6,0
12,Боруссия Д , Гамбург ,2,0
12,Вердер , Айнтрахт ,0,0
12,Вольфсбург , Шальке-04 ,2,2
12,Кёльн , Боруссия М ,0,4
12,Кайзерслаутерн , Штутгарт ,3,3
12,Санкт-Паули , Байер ,0,1
12,Майнц , Ганновер-96 ,0,1
12,Хоффенхайм , Фрайбург ,0,1
12,Бавария , Нюрнберг ,3,0
13,Шальке-04 , Вердер ,4,0
13,Айнтрахт , Хоффенхайм ,0,4
13,Боруссия М , Майнц ,2,3
13,Фрайбург , Боруссия Д ,1,2
13,Ганновер-96 , Гамбург ,3,2
13,Нюрнберг , Кайзерслаутерн ,1,3
13,Байер , Бавария ,1,1
13,Штутгарт , Кёльн ,0,1
13,Санкт-Паули , Вольфсбург ,1,1
14,Майнц , Нюрнберг ,3,0
14,Бавария , Айнтрахт ,4,1
14,Гамбург , Штутгарт ,4,2
14,Хоффенхайм , Байер ,2,2
14,Ганновер-96 , Фрайбург ,3,0
14,Кайзерслаутерн , Шальке-04 ,5,0
14,Боруссия Д , Боруссия М ,4,1
14,Вердер , Санкт-Паули ,3,0
14,Кёльн , Вольфсбург ,1,1
15,Санкт-Паули , Кайзерслаутерн ,1,0
15,Штутгарт , Хоффенхайм ,1,1
15,Вольфсбург , Вердер ,0,0
15,Айнтрахт , Майнц ,2,1
15,Боруссия М , Ганновер-96 ,1,2
15,Фрайбург , Гамбург ,1,0
15,Шальке-04 , Бавария ,2,0
