1,Боруссия Д , Гамбург ,3,1
1,Вердер , Кайзерслаутерн ,2,0
1,Ганновер-96 , Хоффенхайм ,2,1
1,Штутгарт , Шальке-04 ,3,0
1,Кёльн , Вольфсбург ,0,3
1,Аугсбург , Фрайбург ,2,2
1,Герта , Нюрнберг ,0,1
1,Майнц , Байер ,2,0
1,Бавария , Боруссия М ,0,1
2,Шальке-04 , Кёльн ,5,1
2,Гамбург , Герта ,2,2
2,Нюрнберг , Ганновер-96 ,1,2
2,Фрайбург , Майнц ,1,2
2,Хоффенхайм , Боруссия Д ,1,0
2,Вольфсбург , Бавария ,0,1
2,Боруссия М , Штутгарт ,1,1
2,Кайзерслаутерн , Аугсбург ,1,1
2,Байер , Вердер ,1,0
3,Боруссия М , Вольфсбург ,4,1
3,Боруссия Д , Нюрнберг ,2,0
3,Бавария , Гамбург ,5,0
3,Вердер , Фрайбург ,5,3
3,Штутгарт , Байер ,0,1
3,Аугсбург , Хоффенхайм ,0,2
3,Кёльн , Кайзерслаутерн ,1,1
3,Майнц , Шальке-04 ,2,4
3,Ганновер-96 , Герта ,1,1
4,Герта , Штутгарт ,1,0
4,Гамбург , Кёльн ,3,4
4,Нюрнберг , Аугсбург ,1,0
4,Фрайбург , Вольфсбург ,3,0
4,Хоффенхайм , Вердер ,1,2
4,Кайзерслаутерн , Бавария ,0,3
4,Байер , Боруссия Д ,0,0
4,Ганновер-96 , Майнц ,1,1
4,Шальке-04 , Боруссия М ,1,0
5,Аугсбург , Байер ,1,4
5,Боруссия Д , Герта ,1,2
5,Бавария , Фрайбург ,7,0
5,Майнц , Хоффенхайм ,0,4
5,Штутгарт , Ганновер-96 ,3,0
5,Боруссия М , Кайзерслаутерн ,1,0
5,Вердер , Гамбург ,2,0
5,Кёльн , Нюрнберг ,1,2
5,Вольфсбург , Шальке-04 ,2,1
6,Фрайбург , Штутгарт ,1,2
6,Байер , Кёльн ,1,4
6,Гамбург , Боруссия М ,0,1
6,Хоффенхайм , Вольфсбург ,3,1
6,Герта , Аугсбург ,2,2
6,Нюрнберг , Вердер ,1,1
6,Кайзерслаутерн , Майнц ,3,1
6,Ганновер-96 , Боруссия Д ,2,1
6,Шальке-04 , Бавария ,0,2
7,Штутгарт , Гамбург ,1,2
7,Шальке-04 , Фрайбург ,4,2
7,Майнц , Боруссия Д ,1,2
7,Вольфсбург , Кайзерслаутерн ,1,0
7,Боруссия М , Нюрнберг ,1,0
7,Аугсбург , Ганновер-96 ,0,0
7,Бавария , Байер ,3,0
7,Кёльн , Хоффенхайм ,2,0
7,Вердер , Герта ,2,1
8,Кайзерслаутерн , Штутгарт ,0,2
8,Боруссия Д , Аугсбург ,4,0
8,Байер , Вольфсбург ,3,1
8,Нюрнберг , Майнц ,3,3
8,Фрайбург , Боруссия М ,1,0
8,Хоффенхайм , Бавария ,0,0
8,Герта , Кёльн ,3,0
8,Ганновер-96 , Вердер ,3,2
8,Гамбург , Шальке-04 ,1,2
9,Вердер , Боруссия Д ,0,2
9,Бавария , Герта ,4,0
9,Майнц , Аугсбург ,0,1
9,Штутгарт , Хоффенхайм ,2,0
9,Вольфсбург , Нюрнберг ,2,1
9,Боруссия М , Байер ,2,2
9,Шальке-04 , Кайзерслаутерн ,1,2
9,Фрайбург , Гамбург ,1,2
9,Кёльн , Ганновер-96 ,2,0
10,Аугсбург , Вердер ,1,1
10,Боруссия Д , Кёльн ,5,0
10,Нюрнберг , Штутгарт ,2,2
10,Кайзерслаутерн , Фрайбург ,1,0
10,Хоффенхайм , Боруссия М ,1,0
10,Герта , Майнц ,0,0
10,Гамбург , Вольфсбург ,1,1
10,Байер , Шальке-04 ,0,1
10,Ганновер-96 , Бавария ,2,1
11,Фрайбург , Байер ,0,1
11,Бавария , Нюрнберг ,4,0
11,Шальке-04 , Хоффенхайм ,3,1
11,Вольфсбург , Герта ,2,3
11,Боруссия М , Ганновер-96 ,2,1
11,Штутгарт , Боруссия Д ,1,1
11,Майнц , Вердер ,1,3
11,Кёльн , Аугсбург ,3,0
11,Гамбург , Кайзерслаутерн ,1,1
12,Майнц , Штутгарт ,3,1
12,Боруссия Д , Вольфсбург ,5,1
12,Вердер , Кёльн ,3,2
12,Нюрнберг , Фрайбург ,1,2
12,Хоффенхайм , Кайзерслаутерн ,1,1
12,Герта , Боруссия М ,1,2
12,Байер , Гамбург ,2,2
12,Ганновер-96 , Шальке-04 ,2,2
12,Аугсбург , Бавария ,1,2
13,Кайзерслаутерн , Байер ,0,2
13,Шальке-04 , Нюрнберг ,4,0
13,Фрайбург , Герта ,2,2
13,Вольфсбург , Ганновер-96 ,4,1
13,Боруссия М , Вердер ,5,0
13,Бавария , Боруссия Д ,0,1
13,Штутгарт , Аугсбург ,2,1
13,Гамбург , Хоффенхайм ,2,0
13,Кёльн , Майнц ,1,1
14,Кёльн , Боруссия М ,0,3
14,Боруссия Д , Шальке-04 ,2,0
14,Нюрнберг , Кайзерслаутерн ,1,0
14,Хоффенхайм , Фрайбург ,1,1
14,Аугсбург , Вольфсбург ,2,0
14,Герта , Байер ,3,3
14,Ганновер-96 , Гамбург ,1,1
14,Вердер , Штутгарт ,2,0
14,Майнц , Бавария ,3,2
15,Байер , Хоффенхайм ,2,0
15,Бавария , Вердер ,4,1
15,Фрайбург , Ганновер-96 ,1,1
15,Кайзерслаутерн , Герта ,1,1
15,Вольфсбург , Майнц ,2,2
15,Боруссия М , Боруссия Д ,1,1
15,Штутгарт , Кёльн ,2,2
15,Гамбург , Нюрнберг ,2,0
15,Шальке-04 , Аугсбург ,3,1
16,Герта , Шальке-04 ,1,2
16,Вердер , Вольфсбург ,4,1
16,Майнц , Гамбург ,0,0
16,Нюрнберг , Хоффенхайм ,0,2
16,Кёльн , Фрайбург ,4,0
16,Аугсбург , Боруссия М ,1,0
16,Ганновер-96 , Байер ,0,0
16,Боруссия Д , Кайзерслаутерн ,1,1
16,Штутгарт , Бавария ,1,2
17,Бавария , Кёльн ,3,0
17,Байер , Нюрнберг ,0,3
17,Гамбург , Аугсбург ,1,1
17,Фрайбург , Боруссия Д ,1,4
17,Хоффенхайм , Герта ,1,1
17,Вольфсбург , Штутгарт ,1,0
17,Шальке-04 , Вердер ,5,0
17,Кайзерслаутерн , Ганновер-96 ,1,1
17,Боруссия М , Майнц ,1,0
18,Боруссия М , Бавария ,3,1
18,Шальке-04 , Штутгарт ,3,1
18,Нюрнберг , Герта ,2,0
18,Фрайбург , Аугсбург ,1,0
18,Вольфсбург , Кёльн ,1,0
18,Хоффенхайм , Ганновер-96 ,0,0
18,Кайзерслаутерн , Вердер ,0,0
18,Гамбург , Боруссия Д ,1,5
18,Байер , Майнц ,3,2
19,Ганновер-96 , Нюрнберг ,1,0
19,Вердер , Байер ,1,1
19,Герта , Гамбург ,1,2
19,Аугсбург , Кайзерслаутерн ,2,2
19,Боруссия Д , Хоффенхайм ,3,1
19,Бавария , Вольфсбург ,2,0
19,Кёльн , Шальке-04 ,1,4
19,Майнц , Фрайбург ,3,1
19,Штутгарт , Боруссия М ,0,3
20,Нюрнберг , Боруссия Д ,0,2
20,Герта , Ганновер-96 ,0,1
20,Шальке-04 , Майнц ,1,1
20,Байер , Штутгарт ,2,2
20,Вольфсбург , Боруссия М ,0,0
20,Хоффенхайм , Аугсбург ,2,2
20,Гамбург , Бавария ,1,1
20,Фрайбург , Вердер ,2,2
20,Кайзерслаутерн , Кёльн ,0,1
21,Вольфсбург , Фрайбург ,3,2
21,Боруссия Д , Байер ,1,0
21,Майнц , Ганновер-96 ,1,1
21,Бавария , Кайзерслаутерн ,2,0
21,Вердер , Хоффенхайм ,1,1
21,Штутгарт , Герта ,5,0
21,Боруссия М , Шальке-04 ,3,0
21,Аугсбург , Нюрнберг ,0,0
21,Кёльн , Гамбург ,0,1
22,Хоффенхайм , Майнц ,1,1
22,Герта , Боруссия Д ,0,1
22,Гамбург , Вердер ,1,3
22,Нюрнберг , Кёльн ,2,1
22,Кайзерслаутерн , Боруссия М ,1,2
22,Байер , Аугсбург ,4,1
22,Фрайбург , Бавария ,0,0
22,Шальке-04 , Вольфсбург ,4,0
22,Ганновер-96 , Штутгарт ,4,2
23,Боруссия М , Гамбург ,1,1
23,Кёльн , Байер ,0,2
23,Штутгарт , Фрайбург ,4,1
23,Майнц , Кайзерслаутерн ,4,0
23,Вольфсбург , Хоффенхайм ,1,2
23,Аугсбург , Герта ,3,0
23,Вердер , Нюрнберг ,0,1
23,Бавария , Шальке-04 ,2,0
23,Боруссия Д , Ганновер-96 ,3,1
24,Байер , Бавария ,2,0
24,Фрайбург , Шальке-04 ,2,1
24,Герта , Вердер ,1,0
24,Гамбург , Штутгарт ,0,4
24,Кайзерслаутерн , Вольфсбург ,0,0
24,Ганновер-96 , Аугсбург ,2,2
24,Боруссия Д , Майнц ,2,1
24,Нюрнберг , Боруссия М ,1,0
24,Хоффенхайм , Кёльн ,1,1
25,Штутгарт , Кайзерслаутерн ,0,0
25,Вольфсбург , Байер ,3,2
25,Майнц , Нюрнберг ,2,1
25,Боруссия М , Фрайбург ,0,0
25,Бавария , Хоффенхайм ,7,1
25,Кёльн , Герта ,1,0
25,Аугсбург , Боруссия Д ,0,0
25,Вердер , Ганновер-96 ,3,0
25,Шальке-04 , Гамбург ,3,1
26,Хоффенхайм , Штутгарт ,1,2
26,Боруссия Д , Вердер ,1,0
26,Аугсбург , Майнц ,2,1
26,Гамбург , Фрайбург ,1,3
26,Нюрнберг , Вольфсбург ,1,3
26,Байер , Боруссия М ,1,2
26,Герта , Бавария ,0,6
26,Кайзерслаутерн , Шальке-04 ,1,4
26,Ганновер-96 , Кёльн ,4,1
27,Вольфсбург , Гамбург ,2,1
27,Бавария , Ганновер-96 ,2,1
27,Фрайбург , Кайзерслаутерн ,2,0
27,Боруссия М , Хоффенхайм ,1,2
27,Вердер , Аугсбург ,1,1
27,Майнц , Герта ,1,3
27,Шальке-04 , Байер ,2,0
27,Штутгарт , Нюрнберг ,1,0
27,Кёльн , Боруссия Д ,1,6
28,Боруссия Д , Штутгарт ,4,4
28,Нюрнберг , Бавария ,0,1
28,Кайзерслаутерн , Гамбург ,0,1
28,Вердер , Майнц ,0,3
28,Байер , Фрайбург ,0,2
28,Аугсбург , Кёльн ,2,1
28,Герта , Вольфсбург ,1,4
28,Ганновер-96 , Боруссия М ,2,1
28,Хоффенхайм , Шальке-04 ,1,1
29,Вольфсбург , Боруссия Д ,1,3
29,Кёльн , Вердер ,1,1
29,Штутгарт , Майнц ,4,1
29,Фрайбург , Нюрнберг ,2,2
29,Кайзерслаутерн , Хоффенхайм ,1,2
29,Бавария , Аугсбург ,2,1
29,Боруссия М , Герта ,0,0
29,Шальке-04 , Ганновер-96 ,3,0
29,Гамбург , Байер ,1,1
30,Герта , Фрайбург ,1,2
30,Аугсбург , Штутгарт ,1,3
30,Майнц , Кёльн ,4,0
30,Вердер , Боруссия М ,2,2
30,Боруссия Д , Бавария ,1,0
30,Нюрнберг , Шальке-04 ,4,1
30,Хоффенхайм , Гамбург ,4,0
30,Байер , Кайзерслаутерн ,3,1
30,Ганновер-96 , Вольфсбург ,2,0
31,Штутгарт , Вердер ,4,1
31,Гамбург , Ганновер-96 ,1,0
31,Кайзерслаутерн , Нюрнберг ,0,2
31,Вольфсбург , Аугсбург ,1,2
31,Байер , Герта ,3,3
31,Шальке-04 , Боруссия Д ,1,2
31,Бавария , Майнц ,0,0
31,Боруссия М , Кёльн ,3,0
31,Фрайбург , Хоффенхайм ,0,0
32,Майнц , Вольфсбург ,0,0
32,Хоффенхайм , Байер ,0,1
32,Вердер , Бавария ,1,2
32,Нюрнберг , Гамбург ,1,1
32,Герта , Кайзерслаутерн ,1,2
32,Кёльн , Штутгарт ,1,1
32,Боруссия Д , Боруссия М ,2,0
32,Аугсбург , Шальке-04 ,1,1
32,Ганновер-96 , Фрайбург ,0,0
33,Кайзерслаутерн , Боруссия Д ,2,5
33,Вольфсбург , Вердер ,3,1
33,Байер , Ганновер-96 ,1,0
33,Гамбург , Майнц ,0,0
33,Хоффенхайм , Нюрнберг ,2,3
33,Бавария , Штутгарт ,2,0
33,Фрайбург , Кёльн ,4,1
33,Боруссия М , Аугсбург ,0,0
33,Шальке-04 , Герта ,4,0
34,Нюрнберг , Байер ,1,4
34,Кёльн , Бавария ,1,4
34,Вердер , Шальке-04 ,2,3
34,Аугсбург , Гамбург ,1,0
34,Боруссия Д , Фрайбург ,4,0
34,Ганновер-96 , Кайзерслаутерн ,2,1
34,Герта , Хоффенхайм ,3,1
34,Штутгарт , Вольфсбург ,3,2
34,Майнц , Боруссия М ,0,3
