1,Боруссия Д , Вердер ,2,1
1,Боруссия М , Хоффенхайм ,2,1
1,Фрайбург , Майнц ,1,1
1,Аугсбург , Фортуна ,0,2
1,Гамбург , Нюрнберг ,0,1
1,Гройтер Фюрт , Бавария ,0,3
1,Айнтрахт , Байер ,2,1
1,Штутгарт , Вольфсбург ,0,1
1,Ганновер-96 , Шальке-04 ,2,2
2,Майнц , Гройтер Фюрт ,0,1
2,Шальке-04 , Аугсбург ,3,1
2,Байер , Фрайбург ,2,0
2,Вердер , Гамбург ,2,0
2,Нюрнберг , Боруссия Д ,1,1
2,Хоффенхайм , Айнтрахт ,0,4
2,Фортуна , Боруссия М ,0,0
2,Вольфсбург , Ганновер-96 ,0,4
2,Бавария , Штутгарт ,6,1
3,Аугсбург , Вольфсбург ,0,0
3,Боруссия Д , Байер ,3,0
3,Бавария , Майнц ,3,1
3,Боруссия М , Нюрнберг ,2,3
3,Штутгарт , Фортуна ,0,0
3,Ганновер-96 , Вердер ,3,2
3,Гройтер Фюрт , Шальке-04 ,0,2
3,Фрайбург , Хоффенхайм ,5,3
3,Айнтрахт , Гамбург ,3,2
4,Нюрнберг , Айнтрахт ,1,2
4,Шальке-04 , Бавария ,0,2
4,Вольфсбург , Гройтер Фюрт ,1,1
4,Майнц , Аугсбург ,2,0
4,Гамбург , Боруссия Д ,3,2
4,Фортуна , Фрайбург ,0,0
4,Байер , Боруссия М ,1,1
4,Вердер , Штутгарт ,2,2
4,Хоффенхайм , Ганновер-96 ,3,1
5,Бавария , Вольфсбург ,3,0
5,Шальке-04 , Майнц ,3,0
5,Гройтер Фюрт , Фортуна ,0,2
5,Айнтрахт , Боруссия Д ,3,3
5,Боруссия М , Гамбург ,2,2
5,Штутгарт , Хоффенхайм ,0,3
5,Ганновер-96 , Нюрнберг ,4,1
5,Фрайбург , Вердер ,1,2
5,Аугсбург , Байер ,1,3
6,Фортуна , Шальке-04 ,2,2
6,Байер , Гройтер Фюрт ,2,0
6,Вердер , Бавария ,0,2
6,Нюрнберг , Штутгарт ,0,2
6,Хоффенхайм , Аугсбург ,0,0
6,Гамбург , Ганновер-96 ,1,0
6,Боруссия Д , Боруссия М ,5,0
6,Айнтрахт , Фрайбург ,2,1
6,Вольфсбург , Майнц ,0,2
7,Аугсбург , Вердер ,3,1
7,Бавария , Хоффенхайм ,2,0
7,Шальке-04 , Вольфсбург ,3,0
7,Фрайбург , Нюрнберг ,3,0
7,Майнц , Фортуна ,1,0
7,Гройтер Фюрт , Гамбург ,0,1
7,Боруссия М , Айнтрахт ,2,0
7,Штутгарт , Байер ,2,2
7,Ганновер-96 , Боруссия Д ,1,1
8,Хоффенхайм , Гройтер Фюрт ,3,3
8,Боруссия Д , Шальке-04 ,1,2
8,Байер , Майнц ,2,2
8,Вольфсбург , Фрайбург ,0,2
8,Айнтрахт , Ганновер-96 ,3,1
8,Фортуна , Бавария ,0,5
8,Вердер , Боруссия М ,4,0
8,Нюрнберг , Аугсбург ,0,0
8,Гамбург , Штутгарт ,0,1
9,Аугсбург , Гамбург ,0,2
9,Шальке-04 , Нюрнберг ,1,0
9,Фрайбург , Боруссия Д ,0,2
9,Майнц , Хоффенхайм ,3,0
