1,Кьево , Ювентус ,0,1
1,Рома , Фиорентина ,2,0
1,Аталанта , Верона ,0,0
1,Милан , Лацио ,3,1
1,Чезена , Парма ,1,0
1,Дженоа , Наполи ,1,2
1,Палермо , Сампдория ,1,1
1,Сассуоло , Кальяри ,1,1
1,Торино , Интер ,0,0
1,Удинезе , Эмполи ,2,0
2,Эмполи , Рома ,0,1
2,Ювентус , Удинезе ,2,0
2,Сампдория , Торино ,2,0
2,Кальяри , Аталанта ,1,2
2,Фиорентина , Дженоа ,0,0
2,Интер , Сассуоло ,7,0
2,Лацио , Чезена ,3,0
2,Наполи , Кьево ,0,1
2,Парма , Милан ,4,5
2,Верона , Палермо ,2,1
3,Чезена , Эмполи ,2,2
3,Милан , Ювентус ,0,1
3,Кьево , Парма ,2,3
3,Дженоа , Лацио ,1,0
3,Рома , Кальяри ,2,0
3,Сассуоло , Сампдория ,0,0
3,Аталанта , Фиорентина ,0,1
3,Удинезе , Наполи ,1,0
3,Палермо , Интер ,1,1
3,Торино , Верона ,0,1
4,Эмполи , Милан ,2,2
4,Кальяри , Торино ,1,2
4,Фиорентина , Сассуоло ,0,0
4,Верона , Дженоа ,2,2
4,Интер , Аталанта ,2,0
4,Ювентус , Чезена ,3,0
4,Наполи , Палермо ,3,3
4,Парма , Рома ,1,2
4,Сампдория , Кьево ,2,1
4,Лацио , Удинезе ,0,1
5,Рома , Верона ,2,0
5,Аталанта , Ювентус ,0,3
5,Сассуоло , Наполи ,0,1
5,Чезена , Милан ,1,1
5,Кьево , Эмполи ,1,1
5,Интер , Кальяри ,1,4
5,Торино , Фиорентина ,1,1
5,Дженоа , Сампдория ,0,1
5,Удинезе , Парма ,4,2
5,Палермо , Лацио ,0,4
6,Верона , Кальяри ,1,0
6,Милан , Кьево ,2,0
6,Эмполи , Палермо ,3,0
6,Лацио , Сассуоло ,3,2
6,Парма , Дженоа ,1,2
6,Сампдория , Аталанта ,1,0
6,Удинезе , Чезена ,1,1
6,Ювентус , Рома ,3,2
6,Фиорентина , Интер ,3,0
6,Наполи , Торино ,2,1
7,Рома , Кьево ,3,0
7,Сассуоло , Ювентус ,1,1
7,Фиорентина , Лацио ,0,2
7,Аталанта , Парма ,1,0
7,Кальяри , Сампдория ,2,2
7,Верона , Милан ,1,3
7,Палермо , Чезена ,2,1
7,Торино , Удинезе ,1,0
7,Интер , Наполи ,2,2
7,Дженоа , Эмполи ,1,1
8,Эмполи , Кальяри ,0,4
8,Парма , Сассуоло ,1,3
8,Сампдория , Рома ,0,0
8,Кьево , Дженоа ,1,2
8,Ювентус , Палермо ,2,0
8,Удинезе , Аталанта ,2,0
8,Чезена , Интер ,0,1
8,Лацио , Торино ,2,1
8,Наполи , Верона ,6,2
8,Милан , Фиорентина ,1,1
9,Сассуоло , Эмполи ,3,1
9,Аталанта , Наполи ,1,1
9,Кальяри , Милан ,1,1
9,Фиорентина , Удинезе ,3,0
