1,Валенсия , Бетис ,2,1
1,Депортиво , Сарагоса ,3,2
1,Рекреативо , Мальорка ,1,1
1,Реал Мадрид , Вильярреал ,0,0
1,Расинг , Атлетико М ,0,1
1,Осасуна , Хетафе ,0,2
1,Эспаньол , Химнастик ,0,1
1,Атлетик Б , Реал Сосьедад ,1,1
1,Сельта , Барселона ,2,3
1,Севилья , Леванте ,4,0
2,Барселона , Осасуна ,3,0
2,Атлетико М , Валенсия ,0,1
2,Мальорка , Депортиво ,0,0
2,Вильярреал , Рекреативо ,0,1
2,Леванте , Реал Мадрид ,1,4
2,Реал Сосьедад , Севилья ,1,3
2,Бетис , Атлетик Б ,3,0
2,Хетафе , Расинг ,1,0
2,Химнастик , Сельта ,1,2
2,Сарагоса , Эспаньол ,3,0
3,Депортиво , Вильярреал ,2,0
3,Севилья , Бетис ,3,2
3,Сарагоса , Мальорка ,2,0
3,Рекреативо , Леванте ,0,1
3,Атлетик Б , Атлетико М ,1,4
3,Валенсия , Хетафе ,2,0
3,Расинг , Барселона ,0,3
3,Осасуна , Химнастик ,2,0
3,Эспаньол , Сельта ,2,1
3,Реал Мадрид , Реал Сосьедад ,2,0
4,Бетис , Реал Мадрид ,0,1
4,Атлетико М , Севилья ,2,1
4,Мальорка , Эспаньол ,1,0
4,Вильярреал , Сарагоса ,3,2
4,Леванте , Депортиво ,2,0
4,Реал Сосьедад , Рекреативо ,2,3
4,Хетафе , Атлетик Б ,0,0
4,Химнастик , Расинг ,2,2
4,Сельта , Осасуна ,0,2
4,Барселона , Валенсия ,1,1
5,Атлетик Б , Барселона ,1,3
5,Мальорка , Вильярреал ,1,2
5,Сарагоса , Леванте ,2,2
5,Депортиво , Реал Сосьедад ,2,0
5,Рекреативо , Бетис ,2,0
5,Севилья , Хетафе ,1,0
5,Расинг , Сельта ,1,1
5,Эспаньол , Осасуна ,0,0
5,Реал Мадрид , Атлетико М ,1,1
5,Валенсия , Химнастик ,4,0
6,Хетафе , Реал Мадрид ,1,0
6,Атлетико М , Рекреативо ,2,1
6,Вильярреал , Эспаньол ,0,0
6,Леванте , Мальорка ,0,1
6,Реал Сосьедад , Сарагоса ,1,3
6,Химнастик , Атлетик Б ,2,3
6,Сельта , Валенсия ,3,2
6,Осасуна , Расинг ,0,1
6,Барселона , Севилья ,3,1
6,Бетис , Депортиво ,1,1
