1,Эркулес , Атлетик Б ,0,1
1,Малага , Валенсия ,1,3
1,Леванте , Севилья ,1,4
1,Депортиво , Сарагоса ,0,0
1,Эспаньол , Хетафе ,3,1
1,Реал Сосьедад , Вильярреал ,1,0
1,Осасуна , Альмерия ,0,0
1,Расинг , Барселона ,0,3
1,Мальорка , Реал Мадрид ,0,0
1,Атлетико М , Спортинг Хихон ,4,0
2,Барселона , Эркулес ,0,2
2,Валенсия , Расинг ,1,0
2,Реал Мадрид , Осасуна ,1,0
2,Атлетик Б , Атлетико М ,1,2
2,Спортинг Хихон , Мальорка ,2,0
2,Сарагоса , Малага ,3,5
2,Хетафе , Леванте ,4,1
2,Вильярреал , Эспаньол ,4,0
2,Севилья , Депортиво ,0,0
2,Альмерия , Реал Сосьедад ,2,2
3,Эспаньол , Альмерия ,1,0
3,Мальорка , Осасуна ,2,0
3,Спортинг Хихон , Атлетик Б ,2,2
3,Реал Сосьедад , Реал Мадрид ,1,2
3,Эркулес , Валенсия ,1,2
3,Расинг , Сарагоса ,2,0
3,Леванте , Вильярреал ,1,2
3,Атлетико М , Барселона ,1,2
3,Малага , Севилья ,1,2
3,Депортиво , Хетафе ,2,2
4,Осасуна , Реал Сосьедад ,3,1
4,Атлетик Б , Мальорка ,3,0
4,Реал Мадрид , Эспаньол ,3,0
4,Барселона , Спортинг Хихон ,1,0
4,Сарагоса , Эркулес ,0,0
4,Альмерия , Леванте ,0,1
4,Валенсия , Атлетико М ,1,1
4,Хетафе , Малага ,0,2
4,Вильярреал , Депортиво ,1,0
4,Севилья , Расинг ,1,1
5,Спортинг Хихон , Валенсия ,0,2
5,Леванте , Реал Мадрид ,0,0
5,Атлетик Б , Барселона ,1,3
5,Расинг , Хетафе ,0,1
5,Депортиво , Альмерия ,0,2
5,Эспаньол , Осасуна ,1,0
5,Мальорка , Реал Сосьедад ,2,0
5,Эркулес , Севилья ,2,0
5,Атлетико М , Сарагоса ,1,0
5,Малага , Вильярреал ,2,3
6,Сарагоса , Спортинг Хихон ,2,2
6,Реал Сосьедад , Эспаньол ,1,0
6,Валенсия , Атлетик Б ,2,1
6,Севилья , Атлетико М ,3,1
6,Хетафе , Эркулес ,3,0
6,Вильярреал , Расинг ,2,0
6,Альмерия , Малага ,1,1
6,Осасуна , Леванте ,1,1
6,Барселона , Мальорка ,1,1
6,Реал Мадрид , Депортиво ,6,1
7,Атлетико М , Хетафе ,2,0
7,Барселона , Валенсия ,2,1
7,Малага , Реал Мадрид ,1,4
7,Расинг , Альмерия ,1,0
7,Депортиво , Осасуна ,0,0
7,Леванте , Реал Сосьедад ,2,1
7,Мальорка , Эспаньол ,0,1
7,Атлетик Б , Сарагоса ,2,1
7,Спортинг Хихон , Севилья ,2,0
7,Эркулес , Вильярреал ,2,2
8,Сарагоса , Барселона ,0,2
8,Реал Мадрид , Расинг ,6,1
8,Валенсия , Мальорка ,1,2
8,Хетафе , Спортинг Хихон ,3,0
8,Альмерия , Эркулес ,1,1
8,Осасуна , Малага ,3,0
8,Эспаньол , Леванте ,2,1
8,Севилья , Атлетик Б ,4,3
8,Вильярреал , Атлетико М ,2,0
8,Реал Сосьедад , Депортиво ,3,0
9,Валенсия , Сарагоса ,1,1
9,Эркулес , Реал Мадрид ,1,3
9,Барселона , Севилья ,5,0
9,Спортинг Хихон , Вильярреал ,1,1
9,Расинг , Осасуна ,4,1
9,Малага , Реал Сосьедад ,1,2
9,Депортиво , Эспаньол ,3,0
9,Атлетико М , Альмерия ,1,1
9,Атлетик Б , Хетафе ,3,0
9,Мальорка , Леванте ,2,1
10,Реал Сосьедад , Расинг ,1,0
10,Эспаньол , Малага ,1,0
10,Сарагоса , Мальорка ,3,2
10,Вильярреал , Атлетик Б ,4,1
10,Альмерия , Спортинг Хихон ,1,1
10,Осасуна , Эркулес ,3,0
10,Леванте , Депортиво ,1,2
10,Хетафе , Барселона ,1,3
10,Реал Мадрид , Атлетико М ,2,0
10,Севилья , Валенсия ,2,0
11,Атлетик Б , Альмерия ,1,0
11,Атлетико М , Осасуна ,3,0
11,Барселона , Вильярреал ,3,1
11,Эркулес , Реал Сосьедад ,2,1
11,Расинг , Эспаньол ,0,0
11,Малага , Леванте ,1,0
11,Мальорка , Депортиво ,0,0
11,Сарагоса , Севилья ,1,2
11,Спортинг Хихон , Реал Мадрид ,0,1
11,Валенсия , Хетафе ,2,0
12,Вильярреал , Валенсия ,1,1
12,Альмерия , Барселона ,0,8
12,Реал Мадрид , Атлетик Б ,5,1
12,Осасуна , Спортинг Хихон ,1,0
12,Эспаньол , Эркулес ,3,0
12,Леванте , Расинг ,3,1
12,Депортиво , Малага ,3,0
12,Севилья , Мальорка ,1,2
12,Реал Сосьедад , Атлетико М ,2,4
12,Хетафе , Сарагоса ,1,1
13,Сарагоса , Вильярреал ,0,3
13,Севилья , Хетафе ,1,3
13,Атлетико М , Эспаньол ,2,3
13,Спортинг Хихон , Реал Сосьедад ,1,3
13,Эркулес , Леванте ,3,1
13,Расинг , Депортиво ,1,0
13,Мальорка , Малага ,2,0
13,Атлетик Б , Осасуна ,1,0
13,Валенсия , Альмерия ,2,1
13,Барселона , Реал Мадрид ,5,0
14,Леванте , Атлетико М ,2,0
14,Осасуна , Барселона ,0,3
14,Реал Мадрид , Валенсия ,2,0
14,Хетафе , Мальорка ,3,0
14,Альмерия , Сарагоса ,1,1
14,Эспаньол , Спортинг Хихон ,1,0
14,Малага , Расинг ,4,1
14,Вильярреал , Севилья ,1,0
14,Реал Сосьедад , Атлетик Б ,2,0
14,Депортиво , Эркулес ,1,0
15,Хетафе , Вильярреал ,1,0
15,Севилья , Альмерия ,1,3
15,Атлетико М , Депортиво ,2,0
15,Атлетик Б , Эспаньол ,2,1
15,Спортинг Хихон , Леванте ,1,1
15,Эркулес , Малага ,4,1
15,Мальорка , Расинг ,0,1
15,Сарагоса , Реал Мадрид ,1,3
15,Барселона , Реал Сосьедад ,5,0
15,Валенсия , Осасуна ,3,3
16,Вильярреал , Мальорка ,3,1
16,Леванте , Атлетик Б ,1,2
16,Депортиво , Спортинг Хихон ,1,1
16,Эспаньол , Барселона ,1,5
16,Реал Сосьедад , Валенсия ,1,2
16,Альмерия , Хетафе ,2,3
16,Осасуна , Сарагоса ,0,0
16,Малага , Атлетико М ,0,3
16,Реал Мадрид , Севилья ,1,0
16,Расинг , Эркулес ,0,0
17,Атлетик Б , Депортиво ,1,2
17,Барселона , Леванте ,2,1
17,Спортинг Хихон , Малага ,1,2
17,Севилья , Осасуна ,1,0
17,Валенсия , Эспаньол ,2,1
17,Вильярреал , Альмерия ,2,0
17,Сарагоса , Реал Сосьедад ,2,1
17,Атлетико М , Расинг ,0,0
17,Мальорка , Эркулес ,3,0
17,Хетафе , Реал Мадрид ,2,3
18,Малага , Атлетик Б ,1,1
18,Реал Сосьедад , Севилья ,2,3
18,Депортиво , Барселона ,0,4
18,Мальорка , Альмерия ,4,1
18,Осасуна , Хетафе ,0,0
18,Эспаньол , Сарагоса ,4,0
18,Расинг , Спортинг Хихон ,1,1
18,Реал Мадрид , Вильярреал ,4,2
18,Леванте , Валенсия ,0,1
18,Эркулес , Атлетико М ,4,1
19,Спортинг Хихон , Эркулес ,2,0
19,Вильярреал , Осасуна ,4,2
19,Хетафе , Реал Сосьедад ,0,4
19,Сарагоса , Леванте ,1,0
19,Атлетик Б , Расинг ,2,1
19,Севилья , Эспаньол ,1,2
19,Валенсия , Депортиво ,2,0
19,Альмерия , Реал Мадрид ,1,1
19,Барселона , Малага ,4,1
19,Атлетико М , Мальорка ,3,0
20,Севилья , Леванте ,4,1
20,Барселона , Расинг ,3,0
20,Валенсия , Малага ,4,3
20,Хетафе , Эспаньол ,1,3
20,Спортинг Хихон , Атлетико М ,1,0
20,Сарагоса , Депортиво ,1,0
20,Альмерия , Осасуна ,3,2
20,Реал Мадрид , Мальорка ,1,0
20,Вильярреал , Реал Сосьедад ,2,1
20,Атлетик Б , Эркулес ,3,0
21,Леванте , Хетафе ,2,0
21,Реал Сосьедад , Альмерия ,2,0
21,Мальорка , Спортинг Хихон ,0,4
21,Малага , Сарагоса ,1,2
21,Эркулес , Барселона ,0,3
21,Депортиво , Севилья ,3,3
21,Атлетико М , Атлетик Б ,0,2
21,Осасуна , Реал Мадрид ,1,0
21,Эспаньол , Вильярреал ,0,1
21,Расинг , Валенсия ,1,1
