1,Сельта , Малага ,0,1
1,Севилья , Хетафе ,2,1
1,Мальорка , Эспаньол ,2,1
1,Атлетик Б , Бетис ,3,5
1,Реал Мадрид , Валенсия ,1,1
1,Барселона , Реал Сосьедад ,5,1
1,Леванте , Атлетико М ,1,1
1,Депортиво , Осасуна ,2,0
1,Райо Вальекано , Гранада ,1,0
1,Сарагоса , Вальядолид ,0,1
2,Реал Сосьедад , Сельта ,2,1
2,Бетис , Райо Вальекано ,1,2
2,Эспаньол , Сарагоса ,1,2
2,Малага , Мальорка ,1,1
2,Осасуна , Барселона ,1,2
2,Хетафе , Реал Мадрид ,2,1
2,Гранада , Севилья ,1,1
2,Валенсия , Депортиво ,3,3
2,Вальядолид , Леванте ,2,0
2,Атлетико М , Атлетик Б ,4,0
3,Сельта , Осасуна ,2,0
3,Сарагоса , Малага ,0,1
3,Депортиво , Хетафе ,1,1
3,Мальорка , Реал Сосьедад ,1,0
3,Райо Вальекано , Севилья ,0,0
3,Атлетик Б , Вальядолид ,2,0
3,Леванте , Эспаньол ,3,2
3,Реал Мадрид , Гранада ,3,0
3,Барселона , Валенсия ,1,0
4,Малага , Леванте ,3,1
4,Валенсия , Сельта ,2,1
4,Хетафе , Барселона ,1,4
4,Севилья , Реал Мадрид ,1,0
4,Эспаньол , Атлетик Б ,3,3
4,Гранада , Депортиво ,1,1
4,Осасуна , Мальорка ,1,1
4,Реал Сосьедад , Сарагоса ,2,0
4,Атлетико М , Райо Вальекано ,4,3
4,Вальядолид , Бетис ,0,1
5,Сарагоса , Осасуна ,3,1
5,Сельта , Хетафе ,2,1
5,Бетис , Эспаньол ,1,0
5,Барселона , Гранада ,2,0
5,Мальорка , Валенсия ,2,0
5,Леванте , Реал Сосьедад ,2,1
5,Атлетико М , Вальядолид ,2,1
5,Атлетик Б , Малага ,0,0
5,Райо Вальекано , Реал Мадрид ,0,2
5,Депортиво , Севилья ,0,2
3,Бетис , Атлетико М ,2,4
6,Валенсия , Сарагоса ,2,0
6,Малага , Бетис ,4,0
6,Реал Сосьедад , Атлетик Б ,2,0
6,Севилья , Барселона ,2,3
6,Гранада , Сельта ,2,1
6,Вальядолид , Райо Вальекано ,6,1
6,Осасуна , Леванте ,4,0
6,Реал Мадрид , Депортиво ,5,1
6,Эспаньол , Атлетико М ,0,1
6,Хетафе , Мальорка ,1,0
7,Сельта , Севилья ,2,0
7,Райо Вальекано , Депортиво ,2,1
7,Сарагоса , Хетафе ,0,1
7,Вальядолид , Эспаньол ,1,1
7,Бетис , Реал Сосьедад ,2,0
7,Леванте , Валенсия ,1,0
7,Мальорка , Гранада ,1,2
7,Атлетик Б , Осасуна ,1,0
7,Барселона , Реал Мадрид ,2,2
7,Атлетико М , Малага ,2,1
8,Малага , Вальядолид ,2,1
8,Реал Мадрид , Сельта ,2,0
8,Валенсия , Атлетик Б ,3,2
8,Депортиво , Барселона ,4,5
8,Хетафе , Леванте ,0,1
8,Эспаньол , Райо Вальекано ,3,2
8,Гранада , Сарагоса ,1,2
8,Осасуна , Бетис ,0,0
8,Реал Сосьедад , Атлетико М ,0,1
8,Севилья , Мальорка ,3,2
9,Эспаньол , Малага ,0,0
9,Бетис , Валенсия ,1,0
9,Сельта , Депортиво ,1,1
9,Райо Вальекано , Барселона ,0,5
9,Сарагоса , Севилья ,2,1
9,Леванте , Гранада ,3,1
9,Атлетик Б , Хетафе ,1,2
9,Атлетико М , Осасуна ,3,1
9,Мальорка , Реал Мадрид ,0,5
9,Вальядолид , Реал Сосьедад ,2,2
10,Малага , Райо Вальекано ,1,2
10,Барселона , Сельта ,3,1
10,Реал Мадрид , Сарагоса ,4,0
10,Валенсия , Атлетико М ,2,0
10,Реал Сосьедад , Эспаньол ,0,1
10,Депортиво , Мальорка ,1,0
10,Осасуна , Вальядолид ,0,1
10,Гранада , Атлетик Б ,1,2
10,Севилья , Леванте ,0,0
10,Хетафе , Бетис ,2,4
11,Бетис , Гранада ,1,2
11,Райо Вальекано , Сельта ,3,2
11,Эспаньол , Осасуна ,0,3
11,Сарагоса , Депортиво ,5,3
11,Малага , Реал Сосьедад ,1,2
11,Вальядолид , Валенсия ,1,1
11,Атлетик Б , Севилья ,2,1
11,Мальорка , Барселона ,2,4
11,Атлетико М , Хетафе ,2,0
11,Леванте , Реал Мадрид ,1,2
12,Осасуна , Малага ,0,0
12,Валенсия , Эспаньол ,2,1
12,Барселона , Сарагоса ,3,1
12,Реал Мадрид , Атлетик Б ,5,1
12,Депортиво , Леванте ,0,2
12,Сельта , Мальорка ,1,1
12,Хетафе , Вальядолид ,2,1
12,Гранада , Атлетико М ,0,1
12,Севилья , Бетис ,5,1
12,Реал Сосьедад , Райо Вальекано ,4,0
13,Реал Сосьедад , Осасуна ,0,0
13,Райо Вальекано , Мальорка ,2,0
13,Вальядолид , Гранада ,1,0
13,Малага , Валенсия ,4,0
13,Бетис , Реал Мадрид ,1,0
13,Эспаньол , Хетафе ,0,2
13,Атлетик Б , Депортиво ,1,1
13,Атлетико М , Севилья ,4,0
13,Леванте , Барселона ,0,4
13,Сарагоса , Сельта ,0,1
14,Осасуна , Райо Вальекано ,1,0
14,Хетафе , Малага ,1,0
14,Валенсия , Реал Сосьедад ,2,5
14,Барселона , Атлетик Б ,5,1
14,Реал Мадрид , Атлетико М ,2,0
14,Гранада , Эспаньол ,0,0
14,Депортиво , Бетис ,2,3
14,Сельта , Леванте ,1,1
14,Мальорка , Сарагоса ,1,1
14,Севилья , Вальядолид ,1,2
15,Эспаньол , Севилья ,2,2
15,Реал Сосьедад , Хетафе ,1,1
15,Малага , Гранада ,4,0
15,Вальядолид , Реал Мадрид ,2,3
15,Осасуна , Валенсия ,0,1
15,Леванте , Мальорка ,4,0
15,Атлетик Б , Сельта ,1,0
15,Атлетико М , Депортиво ,6,0
15,Бетис , Барселона ,1,2
15,Райо Вальекано , Сарагоса ,0,2
16,Хетафе , Осасуна ,1,1
16,Мальорка , Атлетик Б ,0,1
16,Гранада , Реал Сосьедад ,0,0
16,Севилья , Малага ,0,2
16,Сарагоса , Леванте ,0,1
16,Валенсия , Райо Вальекано ,0,1
16,Реал Мадрид , Эспаньол ,2,2
16,Барселона , Атлетико М ,4,1
16,Депортиво , Вальядолид ,0,0
16,Сельта , Бетис ,0,1
17,Райо Вальекано , Леванте ,3,0
17,Эспаньол , Депортиво ,2,0
17,Реал Сосьедад , Севилья ,2,1
17,Валенсия , Хетафе ,4,2
17,Атлетико М , Сельта ,1,0
17,Бетис , Мальорка ,1,2
17,Вальядолид , Барселона ,1,3
17,Малага , Реал Мадрид ,3,2
17,Осасуна , Гранада ,1,2
17,Атлетик Б , Сарагоса ,0,2
18,Сарагоса , Бетис ,1,2
18,Леванте , Атлетик Б ,3,1
18,Гранада , Валенсия ,1,2
18,Депортиво , Малага ,1,0
18,Севилья , Осасуна ,1,0
18,Сельта , Вальядолид ,3,1
18,Реал Мадрид , Реал Сосьедад ,4,3
18,Барселона , Эспаньол ,4,0
18,Мальорка , Атлетико М ,1,1
18,Райо Вальекано , Хетафе ,3,1
19,Атлетик Б , Райо Вальекано ,1,2
19,Вальядолид , Мальорка ,3,1
19,Эспаньол , Сельта ,1,0
19,Осасуна , Реал Мадрид ,0,0
19,Валенсия , Севилья ,2,0
19,Бетис , Леванте ,2,0
19,Реал Сосьедад , Депортиво ,1,1
19,Атлетико М , Сарагоса ,2,0
19,Малага , Барселона ,1,3
19,Хетафе , Гранада ,2,2
20,Эспаньол , Мальорка ,3,2
20,Гранада , Райо Вальекано ,2,0
20,Реал Сосьедад , Барселона ,3,2
20,Хетафе , Севилья ,1,1
20,Малага , Сельта ,1,1
20,Осасуна , Депортиво ,2,1
20,Вальядолид , Сарагоса ,2,0
20,Атлетико М , Леванте ,2,0
20,Валенсия , Реал Мадрид ,0,5
20,Бетис , Атлетик Б ,1,1
21,Сельта , Реал Сосьедад ,1,1
21,Леванте , Вальядолид ,2,1
21,Сарагоса , Эспаньол ,0,0
21,Депортиво , Валенсия ,2,3
21,Реал Мадрид , Хетафе ,4,0
21,Райо Вальекано , Бетис ,3,0
21,Барселона , Осасуна ,5,1
21,Атлетик Б , Атлетико М ,3,0
21,Мальорка , Малага ,2,3
21,Севилья , Гранада ,3,0
22,Вальядолид , Атлетик Б ,2,2
22,Осасуна , Сельта ,1,0
22,Хетафе , Депортиво ,3,1
22,Эспаньол , Леванте ,3,2
22,Гранада , Реал Мадрид ,1,0
22,Малага , Сарагоса ,1,1
22,Севилья , Райо Вальекано ,2,1
22,Валенсия , Барселона ,1,1
22,Реал Сосьедад , Мальорка ,3,0
22,Атлетико М , Бетис ,1,0
23,Мальорка , Осасуна ,1,1
23,Сельта , Валенсия ,0,1
23,Леванте , Малага ,1,2
23,Реал Мадрид , Севилья ,4,1
23,Депортиво , Гранада ,0,3
23,Барселона , Хетафе ,6,1
23,Сарагоса , Реал Сосьедад ,1,2
23,Атлетик Б , Эспаньол ,0,4
23,Райо Вальекано , Атлетико М ,2,1
23,Бетис , Вальядолид ,0,0
24,Севилья , Депортиво ,3,1
24,Хетафе , Сельта ,3,1
24,Малага , Атлетик Б ,1,0
24,Гранада , Барселона ,1,2
24,Осасуна , Сарагоса ,1,0
24,Реал Сосьедад , Леванте ,1,1
24,Валенсия , Мальорка ,2,0
24,Вальядолид , Атлетико М ,0,3
24,Реал Мадрид , Райо Вальекано ,2,0
24,Эспаньол , Бетис ,1,0
25,Атлетик Б , Реал Сосьедад ,1,3
25,Мальорка , Хетафе ,1,3
25,Сарагоса , Валенсия ,2,2
25,Депортиво , Реал Мадрид ,1,2
25,Барселона , Севилья ,2,1
25,Райо Вальекано , Вальядолид ,1,2
25,Сельта , Гранада ,2,1
25,Атлетико М , Эспаньол ,1,0
25,Бетис , Малага ,3,0
25,Леванте , Осасуна ,0,2
26,Хетафе , Сарагоса ,2,0
26,Реал Мадрид , Барселона ,2,1
26,Депортиво , Райо Вальекано ,0,0
26,Осасуна , Атлетик Б ,0,1
26,Валенсия , Леванте ,2,2
26,Гранада , Мальорка ,1,2
26,Эспаньол , Вальядолид ,0,0
26,Малага , Атлетико М ,0,0
26,Реал Сосьедад , Бетис ,3,3
26,Севилья , Сельта ,4,1
27,Бетис , Осасуна ,2,1
27,Райо Вальекано , Эспаньол ,2,0
27,Вальядолид , Малага ,1,1
27,Барселона , Депортиво ,2,0
27,Мальорка , Севилья ,2,1
27,Атлетик Б , Валенсия ,1,0
27,Леванте , Хетафе ,0,0
27,Сельта , Реал Мадрид ,1,2
27,Атлетико М , Реал Сосьедад ,0,1
27,Сарагоса , Гранада ,0,0
28,Депортиво , Сельта ,3,1
28,Реал Сосьедад , Вальядолид ,4,1
28,Хетафе , Атлетик Б ,1,0
28,Реал Мадрид , Мальорка ,5,2
28,Валенсия , Бетис ,3,0
28,Малага , Эспаньол ,0,2
28,Севилья , Сарагоса ,4,0
28,Осасуна , Атлетико М ,0,2
28,Барселона , Райо Вальекано ,3,1
28,Гранада , Леванте ,1,1
