1,Малага , Атлетик Б ,1,0
1,Севилья , Валенсия ,1,1
1,Гранада , Депортиво ,2,1
1,Альмерия , Эспаньол ,1,1
1,Эйбар , Реал Сосьедад ,1,0
1,Сельта , Хетафе ,3,1
1,Барселона , Эльче ,3,0
1,Леванте , Вильярреал ,0,2
1,Реал Мадрид , Кордова ,2,0
1,Райо Вальекано , Атлетико М ,0,0
2,Хетафе , Альмерия ,1,0
2,Валенсия , Малага ,3,0
2,Кордова , Сельта ,1,1
2,Атлетик Б , Леванте ,3,0
2,Атлетико М , Эйбар ,2,1
2,Эспаньол , Севилья ,1,2
2,Вильярреал , Барселона ,0,1
2,Реал Сосьедад , Реал Мадрид ,4,2
2,Депортиво , Райо Вальекано ,2,2
2,Эльче , Гранада ,1,1
3,Альмерия , Кордова ,1,1
3,Барселона , Атлетик Б ,2,0
3,Малага , Леванте ,0,0
3,Реал Мадрид , Атлетико М ,1,2
3,Сельта , Реал Сосьедад ,2,2
3,Райо Вальекано , Эльче ,2,3
3,Валенсия , Эспаньол ,3,1
3,Севилья , Хетафе ,2,0
3,Гранада , Вильярреал ,0,0
3,Эйбар , Депортиво ,0,1
4,Эльче , Эйбар ,0,2
4,Депортиво , Реал Мадрид ,2,8
4,Атлетик Б , Гранада ,0,1
4,Атлетико М , Сельта ,2,2
4,Эспаньол , Малага ,2,2
4,Реал Сосьедад , Альмерия ,1,2
4,Вильярреал , Райо Вальекано ,4,2
4,Кордова , Севилья ,1,3
4,Леванте , Барселона ,0,5
4,Хетафе , Валенсия ,0,3
5,Реал Мадрид , Эльче ,5,1
5,Сельта , Депортиво ,2,1
5,Альмерия , Атлетико М ,0,1
5,Эйбар , Вильярреал ,1,1
5,Райо Вальекано , Атлетик Б ,2,1
5,Севилья , Реал Сосьедад ,1,0
5,Гранада , Леванте ,0,1
5,Малага , Барселона ,0,0
5,Эспаньол , Хетафе ,2,0
5,Валенсия , Кордова ,3,0
6,Эльче , Сельта ,0,1
6,Вильярреал , Реал Мадрид ,0,2
6,Барселона , Гранада ,6,0
6,Атлетико М , Севилья ,4,0
6,Атлетик Б , Эйбар ,0,0
6,Леванте , Райо Вальекано ,0,2
6,Хетафе , Малага ,1,0
6,Депортиво , Альмерия ,0,1
6,Реал Сосьедад , Валенсия ,1,1
6,Кордова , Эспаньол ,0,0
7,Хетафе , Кордова ,1,1
7,Валенсия , Атлетико М ,3,1
7,Райо Вальекано , Барселона ,0,2
7,Эйбар , Леванте ,3,3
7,Альмерия , Эльче ,2,2
7,Малага , Гранада ,2,1
7,Севилья , Депортиво ,4,1
7,Сельта , Вильярреал ,1,3
7,Эспаньол , Реал Сосьедад ,2,0
7,Реал Мадрид , Атлетик Б ,5,0
8,Гранада , Райо Вальекано ,0,1
8,Леванте , Реал Мадрид ,0,5
8,Атлетик Б , Сельта ,1,1
8,Барселона , Эйбар ,3,0
8,Кордова , Малага ,1,2
8,Атлетико М , Эспаньол ,2,0
8,Депортиво , Валенсия ,3,0
8,Эльче , Севилья ,0,2
8,Вильярреал , Альмерия ,2,0
8,Реал Сосьедад , Хетафе ,1,2
9,Сельта , Леванте ,3,0
9,Альмерия , Атлетик Б ,0,1
9,Реал Мадрид , Барселона ,3,1
9,Валенсия , Эльче ,3,1
9,Кордова , Реал Сосьедад ,1,1
9,Эйбар , Гранада ,1,1
9,Малага , Райо Вальекано ,4,0
9,Эспаньол , Депортиво ,0,0
9,Севилья , Вильярреал ,2,1
9,Хетафе , Атлетико М ,0,1
10,Депортиво , Хетафе ,1,2
10,Гранада , Реал Мадрид ,0,4
10,Атлетико М , Кордова ,4,2
10,Барселона , Сельта ,0,1
10,Реал Сосьедад , Малага ,0,1
10,Атлетик Б , Севилья ,1,0
10,Вильярреал , Валенсия ,1,3
10,Леванте , Альмерия ,2,1
10,Эльче , Эспаньол ,2,1
10,Райо Вальекано , Эйбар ,2,3
11,Кордова , Депортиво ,0,0
11,Альмерия , Барселона ,1,2
11,Хетафе , Эльче ,0,0
11,Реал Мадрид , Райо Вальекано ,5,1
11,Сельта , Гранада ,0,0
11,Малага , Эйбар ,2,1
11,Севилья , Леванте ,1,1
11,Эспаньол , Вильярреал ,1,1
