1,Малага , Севилья ,0,0
1,Эспаньол , Хетафе ,1,0
1,Депортиво , Реал Сосьедад ,0,0
1,Атлетико М , Лас-Пальмас ,1,0
1,Райо Вальекано , Валенсия ,0,0
1,Атлетик Б , Барселона ,0,1
1,Спортинг Хихон , Реал Мадрид ,0,0
1,Леванте , Сельта ,1,2
1,Бетис , Вильярреал ,1,1
1,Гранада , Эйбар ,1,3
2,Вильярреал , Эспаньол ,3,1
2,Реал Сосьедад , Спортинг Хихон ,0,0
2,Барселона , Малага ,1,0
2,Сельта , Райо Вальекано ,3,0
2,Реал Мадрид , Бетис ,5,0
2,Эйбар , Атлетик Б ,2,0
2,Севилья , Атлетико М ,0,3
2,Валенсия , Депортиво ,1,1
2,Лас-Пальмас , Леванте ,0,0
2,Хетафе , Гранада ,1,2
3,Леванте , Севилья ,1,1
3,Эспаньол , Реал Мадрид ,0,6
3,Спортинг Хихон , Валенсия ,0,1
3,Атлетико М , Барселона ,1,2
3,Бетис , Реал Сосьедад ,1,0
3,Гранада , Вильярреал ,1,3
3,Атлетик Б , Хетафе ,3,1
3,Сельта , Лас-Пальмас ,3,3
3,Малага , Эйбар ,0,0
3,Райо Вальекано , Депортиво ,1,3
4,Хетафе , Малага ,1,0
4,Реал Мадрид , Гранада ,1,0
4,Валенсия , Бетис ,0,0
4,Эйбар , Атлетико М ,0,2
4,Реал Сосьедад , Эспаньол ,2,3
4,Севилья , Сельта ,1,2
4,Депортиво , Спортинг Хихон ,2,3
4,Вильярреал , Атлетик Б ,3,1
4,Лас-Пальмас , Райо Вальекано ,0,1
4,Барселона , Леванте ,4,1
5,Атлетико М , Хетафе ,2,0
5,Эспаньол , Валенсия ,1,0
5,Гранада , Реал Сосьедад ,0,3
5,Сельта , Барселона ,4,1
5,Леванте , Эйбар ,2,2
5,Райо Вальекано , Спортинг Хихон ,2,1
5,Атлетик Б , Реал Мадрид ,1,2
5,Лас-Пальмас , Севилья ,2,0
5,Малага , Вильярреал ,0,1
5,Бетис , Депортиво ,1,2
6,Валенсия , Гранада ,1,0
6,Барселона , Лас-Пальмас ,2,1
6,Реал Мадрид , Малага ,0,0
6,Севилья , Райо Вальекано ,3,2
6,Вильярреал , Атлетико М ,1,0
6,Эйбар , Сельта ,1,1
6,Спортинг Хихон , Бетис ,1,2
6,Депортиво , Эспаньол ,3,0
