1,Реал Мадрид , Атлетико М ,2,1
1,Мурсия , Сарагоса ,2,1
1,Севилья , Хетафе ,4,1
1,Атлетик Б , Осасуна ,0,0
1,Расинг , Барселона ,0,0
1,Мальорка , Леванте ,3,0
1,Депортиво , Альмерия ,0,3
1,Рекреативо , Бетис ,1,1
1,Валенсия , Вильярреал ,0,3
1,Эспаньол , Вальядолид ,0,1
2,Сарагоса , Расинг ,1,1
2,Леванте , Мурсия ,0,0
2,Барселона , Атлетик Б ,3,1
2,Альмерия , Валенсия ,1,2
2,Вальядолид , Депортиво ,2,2
2,Бетис , Эспаньол ,2,2
2,Хетафе , Рекреативо ,1,1
2,Атлетико М , Мальорка ,1,1
2,Вильярреал , Реал Мадрид ,0,5
2,Осасуна , Севилья ,1,1
3,Реал Мадрид , Альмерия ,3,1
3,Валенсия , Вальядолид ,2,1
3,Атлетик Б , Сарагоса ,1,1
3,Расинг , Леванте ,1,0
3,Мурсия , Атлетико М ,1,1
3,Мальорка , Вильярреал ,0,1
3,Депортиво , Бетис ,1,0
3,Эспаньол , Хетафе ,1,0
3,Севилья , Рекреативо ,4,1
3,Осасуна , Барселона ,0,0
4,Рекреативо , Эспаньол ,2,1
4,Барселона , Севилья ,2,1
4,Сарагоса , Осасуна ,2,1
4,Леванте , Атлетик Б ,1,2
4,Вильярреал , Мурсия ,2,0
4,Альмерия , Мальорка ,1,1
4,Бетис , Валенсия ,1,2
4,Хетафе , Депортиво ,0,0
4,Атлетико М , Расинг ,4,0
4,Вальядолид , Реал Мадрид ,1,1
5,Севилья , Эспаньол ,2,3
5,Осасуна , Леванте ,4,1
5,Расинг , Вильярреал ,0,2
5,Мурсия , Альмерия ,0,1
5,Мальорка , Вальядолид ,4,2
5,Валенсия , Хетафе ,2,1
5,Депортиво , Рекреативо ,0,2
5,Атлетик Б , Атлетико М ,0,2
5,Барселона , Сарагоса ,4,1
5,Реал Мадрид , Бетис ,2,0
6,Сарагоса , Севилья ,2,0
6,Леванте , Барселона ,1,4
6,Атлетико М , Осасуна ,2,0
6,Вильярреал , Атлетик Б ,1,0
6,Альмерия , Расинг ,0,1
6,Вальядолид , Мурсия ,1,4
6,Бетис , Мальорка ,3,0
6,Эспаньол , Депортиво ,1,0
6,Хетафе , Реал Мадрид ,0,1
6,Рекреативо , Валенсия ,0,1
7,Валенсия , Эспаньол ,1,2
7,Сарагоса , Леванте ,3,0
7,Барселона , Атлетико М ,3,0
7,Мальорка , Хетафе ,4,2
7,Осасуна , Вильярреал ,3,2
7,Атлетик Б , Альмерия ,1,1
7,Мурсия , Бетис ,0,0
7,Реал Мадрид , Рекреативо ,2,0
7,Севилья , Депортиво ,0,1
7,Расинг , Вальядолид ,2,0
8,Леванте , Севилья ,0,2
8,Вильярреал , Барселона ,3,1
8,Депортиво , Валенсия ,2,4
8,Эспаньол , Реал Мадрид ,2,1
8,Альмерия , Осасуна ,2,0
8,Вальядолид , Атлетик Б ,1,2
8,Бетис , Расинг ,1,1
8,Хетафе , Мурсия ,2,0
8,Рекреативо , Мальорка ,0,2
8,Атлетико М , Сарагоса ,4,0
9,Мальорка , Эспаньол ,2,2
9,Атлетик Б , Бетис ,0,0
9,Леванте , Атлетико М ,0,1
9,Сарагоса , Вильярреал ,4,1
9,Осасуна , Вальядолид ,2,2
9,Расинг , Хетафе ,2,0
9,Мурсия , Рекреативо ,1,0
9,Реал Мадрид , Депортиво ,3,1
9,Барселона , Альмерия ,2,0
9,Севилья , Валенсия ,3,0
10,Вильярреал , Леванте ,3,0
10,Альмерия , Сарагоса ,0,1
10,Бетис , Осасуна ,0,3
10,Хетафе , Атлетик Б ,2,0
10,Рекреативо , Расинг ,0,0
10,Депортиво , Мальорка ,1,1
10,Валенсия , Реал Мадрид ,1,5
10,Атлетико М , Севилья ,4,3
10,Вальядолид , Барселона ,1,1
10,Эспаньол , Мурсия ,0,0
11,Мальорка , Валенсия ,0,2
11,Севилья , Реал Мадрид ,2,0
11,Атлетико М , Вильярреал ,3,4
11,Леванте , Альмерия ,3,0
11,Сарагоса , Вальядолид ,2,3
11,Осасуна , Хетафе ,0,2
11,Расинг , Эспаньол ,1,1
11,Мурсия , Депортиво ,0,2
11,Барселона , Бетис ,3,0
11,Атлетик Б , Рекреативо ,2,0
12,Хетафе , Барселона ,2,0
12,Валенсия , Мурсия ,3,0
12,Альмерия , Атлетико М ,0,0
12,Вальядолид , Леванте ,1,0
12,Бетис , Сарагоса ,2,1
12,Рекреативо , Осасуна ,1,0
12,Эспаньол , Атлетик Б ,2,1
12,Депортиво , Расинг ,0,1
12,Реал Мадрид , Мальорка ,4,3
12,Вильярреал , Севилья ,3,2
13,Барселона , Рекреативо ,3,0
