1,Ливерпуль , Сток Сити ,1,0
1,Арсенал , Астон Вилла ,1,3
1,Норвич Сити , Эвертон ,2,2
1,Сандерленд , Фулхэм ,0,1
1,Вест Бромвич Альбион , Саутгемптон ,0,1
1,Вест Хэм Юнайтед , Кардифф Сити ,2,0
1,Суонси Сити , Манчестер Юнайтед ,1,4
1,Кристал Пэлас , Тоттенхэм Хотспур ,0,1
1,Челси , Халл Сити ,2,0
1,Манчестер Сити , Ньюкасл Юнайтед ,4,0
2,Фулхэм , Арсенал ,1,3
2,Эвертон , Вест Бромвич Альбион ,0,0
2,Халл Сити , Норвич Сити ,1,0
2,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,0,0
2,Саутгемптон , Сандерленд ,1,1
2,Сток Сити , Кристал Пэлас ,2,1
2,Астон Вилла , Ливерпуль ,0,1
2,Кардифф Сити , Манчестер Сити ,3,2
2,Тоттенхэм Хотспур , Суонси Сити ,1,0
2,Манчестер Юнайтед , Челси ,0,0
3,Челси , Астон Вилла ,2,1
3,Манчестер Сити , Халл Сити ,2,0
3,Кардифф Сити , Эвертон ,0,0
3,Ньюкасл Юнайтед , Фулхэм ,1,0
3,Норвич Сити , Саутгемптон ,1,0
3,Вест Хэм Юнайтед , Сток Сити ,0,1
3,Кристал Пэлас , Сандерленд ,3,1
3,Ливерпуль , Манчестер Юнайтед ,1,0
3,Вест Бромвич Альбион , Суонси Сити ,0,2
3,Арсенал , Тоттенхэм Хотспур ,1,0
4,Манчестер Юнайтед , Кристал Пэлас ,2,0
4,Астон Вилла , Ньюкасл Юнайтед ,1,2
4,Фулхэм , Вест Бромвич Альбион ,1,1
4,Халл Сити , Кардифф Сити ,1,1
4,Сток Сити , Манчестер Сити ,0,0
4,Сандерленд , Арсенал ,1,3
4,Тоттенхэм Хотспур , Норвич Сити ,2,0
4,Эвертон , Челси ,1,0
4,Саутгемптон , Вест Хэм Юнайтед ,0,0
4,Суонси Сити , Ливерпуль ,2,2
5,Норвич Сити , Астон Вилла ,0,1
5,Ливерпуль , Саутгемптон ,0,1
5,Ньюкасл Юнайтед , Халл Сити ,2,3
5,Вест Бромвич Альбион , Сандерленд ,3,0
5,Вест Хэм Юнайтед , Эвертон ,2,3
5,Челси , Фулхэм ,2,0
5,Арсенал , Сток Сити ,3,1
5,Кристал Пэлас , Суонси Сити ,0,2
5,Кардифф Сити , Тоттенхэм Хотспур ,0,1
5,Манчестер Сити , Манчестер Юнайтед ,4,1
6,Тоттенхэм Хотспур , Челси ,1,1
6,Астон Вилла , Манчестер Сити ,3,2
6,Фулхэм , Кардифф Сити ,1,2
6,Халл Сити , Вест Хэм Юнайтед ,1,0
6,Манчестер Юнайтед , Вест Бромвич Альбион ,1,2
6,Саутгемптон , Кристал Пэлас ,2,0
6,Суонси Сити , Арсенал ,1,2
6,Сток Сити , Норвич Сити ,0,1
6,Сандерленд , Ливерпуль ,1,3
6,Эвертон , Ньюкасл Юнайтед ,3,2
7,Манчестер Сити , Эвертон ,3,1
7,Кардифф Сити , Ньюкасл Юнайтед ,1,2
7,Фулхэм , Сток Сити ,1,0
7,Халл Сити , Астон Вилла ,0,0
7,Ливерпуль , Кристал Пэлас ,3,1
7,Сандерленд , Манчестер Юнайтед ,1,2
7,Норвич Сити , Челси ,1,3
7,Саутгемптон , Суонси Сити ,2,0
7,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,0,3
7,Вест Бромвич Альбион , Арсенал ,1,1
8,Ньюкасл Юнайтед , Ливерпуль ,2,2
8,Арсенал , Норвич Сити ,4,1
8,Челси , Кардифф Сити ,4,1
8,Эвертон , Халл Сити ,2,1
8,Манчестер Юнайтед , Саутгемптон ,1,1
8,Сток Сити , Вест Бромвич Альбион ,0,0
8,Суонси Сити , Сандерленд ,4,0
8,Вест Хэм Юнайтед , Манчестер Сити ,1,3
8,Астон Вилла , Тоттенхэм Хотспур ,0,2
8,Кристал Пэлас , Фулхэм ,1,4
9,Кристал Пэлас , Арсенал ,0,2
9,Астон Вилла , Эвертон ,0,2
9,Ливерпуль , Вест Бромвич Альбион ,4,1
9,Манчестер Юнайтед , Сток Сити ,3,2
9,Норвич Сити , Кардифф Сити ,0,0
9,Саутгемптон , Фулхэм ,2,0
9,Сандерленд , Ньюкасл Юнайтед ,2,1
9,Челси , Манчестер Сити ,2,1
9,Суонси Сити , Вест Хэм Юнайтед ,0,0
9,Тоттенхэм Хотспур , Халл Сити ,1,0
10,Ньюкасл Юнайтед , Челси ,2,0
10,Фулхэм , Манчестер Юнайтед ,1,3
10,Халл Сити , Сандерленд ,1,0
10,Манчестер Сити , Норвич Сити ,7,0
10,Сток Сити , Саутгемптон ,1,1
10,Вест Бромвич Альбион , Кристал Пэлас ,2,0
10,Вест Хэм Юнайтед , Астон Вилла ,0,0
10,Арсенал , Ливерпуль ,2,0
10,Эвертон , Тоттенхэм Хотспур ,0,0
10,Кардифф Сити , Суонси Сити ,1,0
11,Астон Вилла , Кардифф Сити ,2,0
11,Челси , Вест Бромвич Альбион ,2,2
11,Ливерпуль , Фулхэм ,4,0
11,Саутгемптон , Халл Сити ,4,1
11,Кристал Пэлас , Эвертон ,0,0
11,Норвич Сити , Вест Хэм Юнайтед ,3,1
11,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,0,1
11,Сандерленд , Манчестер Сити ,1,0
11,Манчестер Юнайтед , Арсенал ,1,0
11,Суонси Сити , Сток Сити ,3,3
12,Эвертон , Ливерпуль ,3,3
12,Фулхэм , Суонси Сити ,1,2
12,Халл Сити , Кристал Пэлас ,0,1
12,Ньюкасл Юнайтед , Норвич Сити ,2,1
12,Сток Сити , Сандерленд ,2,0
12,Арсенал , Саутгемптон ,2,0
12,Вест Хэм Юнайтед , Челси ,0,3
12,Манчестер Сити , Тоттенхэм Хотспур ,6,0
12,Кардифф Сити , Манчестер Юнайтед ,2,2
12,Вест Бромвич Альбион , Астон Вилла ,2,2
13,Астон Вилла , Сандерленд ,0,0
13,Кардифф Сити , Арсенал ,0,3
13,Эвертон , Сток Сити ,4,0
13,Норвич Сити , Кристал Пэлас ,1,0
13,Вест Хэм Юнайтед , Фулхэм ,3,0
13,Ньюкасл Юнайтед , Вест Бромвич Альбион ,2,1
13,Тоттенхэм Хотспур , Манчестер Юнайтед ,2,2
13,Халл Сити , Ливерпуль ,3,1
13,Челси , Саутгемптон ,3,1
13,Манчестер Сити , Суонси Сити ,3,0
14,Кристал Пэлас , Вест Хэм Юнайтед ,1,0
14,Арсенал , Халл Сити ,2,0
14,Ливерпуль , Норвич Сити ,5,1
14,Манчестер Юнайтед , Эвертон ,0,1
14,Саутгемптон , Астон Вилла ,2,3
14,Сток Сити , Кардифф Сити ,0,0
14,Сандерленд , Челси ,3,4
14,Суонси Сити , Ньюкасл Юнайтед ,3,0
14,Фулхэм , Тоттенхэм Хотспур ,1,2
14,Вест Бромвич Альбион , Манчестер Сити ,2,3
15,Манчестер Юнайтед , Ньюкасл Юнайтед ,0,1
15,Кристал Пэлас , Кардифф Сити ,2,0
15,Ливерпуль , Вест Хэм Юнайтед ,4,1
15,Саутгемптон , Манчестер Сити ,1,1
15,Сток Сити , Челси ,3,2
15,Вест Бромвич Альбион , Норвич Сити ,0,2
15,Сандерленд , Тоттенхэм Хотспур ,1,2
15,Фулхэм , Астон Вилла ,2,0
15,Арсенал , Эвертон ,1,1
15,Суонси Сити , Халл Сити ,1,1
16,Манчестер Сити , Арсенал ,6,3
16,Кардифф Сити , Вест Бромвич Альбион ,1,0
16,Челси , Кристал Пэлас ,2,1
16,Эвертон , Фулхэм ,4,1
16,Ньюкасл Юнайтед , Саутгемптон ,1,1
16,Вест Хэм Юнайтед , Сандерленд ,0,0
16,Халл Сити , Сток Сити ,0,0
16,Астон Вилла , Манчестер Юнайтед ,0,3
16,Норвич Сити , Суонси Сити ,1,1
16,Тоттенхэм Хотспур , Ливерпуль ,0,5
17,Ливерпуль , Кардифф Сити ,3,1
17,Кристал Пэлас , Ньюкасл Юнайтед ,0,3
17,Фулхэм , Манчестер Сити ,2,4
17,Манчестер Юнайтед , Вест Хэм Юнайтед ,3,1
17,Сток Сити , Астон Вилла ,2,1
17,Сандерленд , Норвич Сити ,0,0
17,Вест Бромвич Альбион , Халл Сити ,1,1
17,Саутгемптон , Тоттенхэм Хотспур ,2,3
17,Суонси Сити , Эвертон ,1,2
17,Арсенал , Челси ,0,0
18,Халл Сити , Манчестер Юнайтед ,2,3
18,Астон Вилла , Кристал Пэлас ,0,1
18,Кардифф Сити , Саутгемптон ,0,3
18,Челси , Суонси Сити ,1,0
18,Эвертон , Сандерленд ,0,1
18,Ньюкасл Юнайтед , Сток Сити ,5,1
18,Норвич Сити , Фулхэм ,1,2
18,Тоттенхэм Хотспур , Вест Бромвич Альбион ,1,1
18,Вест Хэм Юнайтед , Арсенал ,1,3
18,Манчестер Сити , Ливерпуль ,2,1
19,Вест Хэм Юнайтед , Вест Бромвич Альбион ,3,3
19,Астон Вилла , Суонси Сити ,1,1
19,Халл Сити , Фулхэм ,6,0
19,Манчестер Сити , Кристал Пэлас ,1,0
19,Норвич Сити , Манчестер Юнайтед ,0,1
19,Кардифф Сити , Сандерленд ,2,2
19,Эвертон , Саутгемптон ,2,1
19,Ньюкасл Юнайтед , Арсенал ,0,1
19,Челси , Ливерпуль ,2,1
19,Тоттенхэм Хотспур , Сток Сити ,3,0
20,Суонси Сити , Манчестер Сити ,2,3
20,Арсенал , Кардифф Сити ,2,0
20,Кристал Пэлас , Норвич Сити ,1,1
20,Фулхэм , Вест Хэм Юнайтед ,2,1
20,Ливерпуль , Халл Сити ,2,0
20,Саутгемптон , Челси ,0,3
20,Сток Сити , Эвертон ,1,1
20,Сандерленд , Астон Вилла ,0,1
20,Вест Бромвич Альбион , Ньюкасл Юнайтед ,1,0
20,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,2
21,Халл Сити , Челси ,0,2
21,Кардифф Сити , Вест Хэм Юнайтед ,0,2
21,Эвертон , Норвич Сити ,2,0
21,Фулхэм , Сандерленд ,1,4
21,Саутгемптон , Вест Бромвич Альбион ,1,0
21,Тоттенхэм Хотспур , Кристал Пэлас ,2,0
21,Манчестер Юнайтед , Суонси Сити ,2,0
21,Ньюкасл Юнайтед , Манчестер Сити ,0,2
21,Сток Сити , Ливерпуль ,3,5
21,Астон Вилла , Арсенал ,1,2
22,Сандерленд , Саутгемптон ,2,2
22,Арсенал , Фулхэм ,2,0
22,Кристал Пэлас , Сток Сити ,1,0
22,Манчестер Сити , Кардифф Сити ,4,2
22,Норвич Сити , Халл Сити ,1,0
22,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,1,3
22,Ливерпуль , Астон Вилла ,2,2
22,Суонси Сити , Тоттенхэм Хотспур ,1,3
22,Челси , Манчестер Юнайтед ,3,1
22,Вест Бромвич Альбион , Эвертон ,1,1
23,Манчестер Юнайтед , Кардифф Сити ,2,0
23,Норвич Сити , Ньюкасл Юнайтед ,0,0
23,Саутгемптон , Арсенал ,2,2
23,Суонси Сити , Фулхэм ,2,0
23,Кристал Пэлас , Халл Сити ,1,0
23,Ливерпуль , Эвертон ,4,0
23,Астон Вилла , Вест Бромвич Альбион ,4,3
23,Сандерленд , Сток Сити ,1,0
23,Челси , Вест Хэм Юнайтед ,0,0
23,Тоттенхэм Хотспур , Манчестер Сити ,1,5
24,Ньюкасл Юнайтед , Сандерленд ,0,3
24,Вест Хэм Юнайтед , Суонси Сити ,2,0
24,Кардифф Сити , Норвич Сити ,2,1
24,Эвертон , Астон Вилла ,2,1
24,Фулхэм , Саутгемптон ,0,3
24,Халл Сити , Тоттенхэм Хотспур ,1,1
24,Сток Сити , Манчестер Юнайтед ,2,1
24,Вест Бромвич Альбион , Ливерпуль ,1,1
24,Арсенал , Кристал Пэлас ,2,0
24,Манчестер Сити , Челси ,0,1
25,Ливерпуль , Арсенал ,5,1
25,Астон Вилла , Вест Хэм Юнайтед ,0,2
25,Челси , Ньюкасл Юнайтед ,3,0
25,Кристал Пэлас , Вест Бромвич Альбион ,3,1
25,Норвич Сити , Манчестер Сити ,0,0
25,Саутгемптон , Сток Сити ,2,2
25,Сандерленд , Халл Сити ,0,2
25,Суонси Сити , Кардифф Сити ,3,0
25,Тоттенхэм Хотспур , Эвертон ,1,0
25,Манчестер Юнайтед , Фулхэм ,2,2
26,Кардифф Сити , Астон Вилла ,0,0
26,Халл Сити , Саутгемптон ,0,1
26,Вест Хэм Юнайтед , Норвич Сити ,2,0
26,Вест Бромвич Альбион , Челси ,1,1
26,Арсенал , Манчестер Юнайтед ,0,0
26,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,0,4
26,Сток Сити , Суонси Сити ,1,1
26,Фулхэм , Ливерпуль ,2,3
26,Эвертон , Кристал Пэлас ,2,3
26,Манчестер Сити , Сандерленд ,2,2
27,Челси , Эвертон ,1,0
27,Арсенал , Сандерленд ,4,1
27,Кардифф Сити , Халл Сити ,0,4
27,Манчестер Сити , Сток Сити ,1,0
27,Вест Бромвич Альбион , Фулхэм ,1,1
27,Вест Хэм Юнайтед , Саутгемптон ,3,1
27,Кристал Пэлас , Манчестер Юнайтед ,0,2
27,Ливерпуль , Суонси Сити ,4,3
27,Ньюкасл Юнайтед , Астон Вилла ,1,0
27,Норвич Сити , Тоттенхэм Хотспур ,1,0
28,Эвертон , Вест Хэм Юнайтед ,1,0
28,Фулхэм , Челси ,1,3
28,Халл Сити , Ньюкасл Юнайтед ,1,4
28,Сток Сити , Арсенал ,1,0
28,Саутгемптон , Ливерпуль ,0,3
28,Астон Вилла , Норвич Сити ,4,1
28,Суонси Сити , Кристал Пэлас ,1,1
28,Тоттенхэм Хотспур , Кардифф Сити ,1,0
28,Манчестер Юнайтед , Манчестер Сити ,0,3
28,Сандерленд , Вест Бромвич Альбион ,2,0
29,Вест Бромвич Альбион , Манчестер Юнайтед ,0,3
29,Кардифф Сити , Фулхэм ,3,1
