1,Нант , Лион ,1,3
1,Ренн , Лилль ,1,2
1,ПСЖ , Лорьян ,2,3
1,Нанси , Монако ,1,0
1,Ланс , Труа ,1,0
1,Ле-Ман , Ницца ,1,0
1,Бордо , Тулуза ,2,0
1,Осер , Валансьен ,1,1
1,Сент-Этьен , Сошо ,1,2
1,Седан , Марсель ,0,0
2,Лорьян , Бордо ,0,1
2,Труа , Ле-Ман ,2,2
2,Ницца , Нант ,1,1
2,Нанси , Седан ,3,1
2,Монако , Сент-Этьен ,1,2
2,Лион , Тулуза ,1,1
2,Валансьен , ПСЖ ,0,0
2,Сошо , Осер ,1,1
2,Лилль , Ланс ,4,0
2,Марсель , Ренн ,2,0
3,Осер , Марсель ,0,3
3,Седан , Сошо ,1,1
3,Ренн , Монако ,1,1
3,ПСЖ , Лилль ,1,0
3,Нант , Труа ,1,1
3,Ланс , Лорьян ,1,1
3,Ле-Ман , Валансьен ,3,2
3,Сент-Этьен , Нанси ,1,0
3,Тулуза , Ницца ,1,0
3,Бордо , Лион ,1,2
4,Ницца , Лион ,1,4
4,Сошо , ПСЖ ,3,2
4,Лорьян , Нант ,3,1
4,Лилль , Бордо ,3,0
4,Труа , Тулуза ,1,2
4,Нанси , Осер ,1,0
4,Монако , Седан ,2,1
4,Марсель , Ле-Ман ,2,0
4,Валансьен , Ренн ,3,1
4,Сент-Этьен , Ланс ,3,2
5,Бордо , Ницца ,3,2
5,Лион , Труа ,2,0
5,Ланс , Валансьен ,3,0
5,Ле-Ман , Лорьян ,1,1
5,Осер , Монако ,2,1
5,Седан , Сент-Этьен ,2,2
5,Ренн , Сошо ,2,1
5,Нант , Лилль ,1,1
5,Тулуза , Нанси ,2,2
5,ПСЖ , Марсель ,1,3
6,Седан , Ле-Ман ,1,2
6,Лорьян , Лион ,1,3
6,Лилль , Тулуза ,1,3
6,Валансьен , Нант ,1,0
6,Труа , Ницца ,2,0
6,Сент-Этьен , Осер ,2,3
6,Монако , ПСЖ ,1,2
6,Сошо , Ланс ,0,3
6,Нанси , Ренн ,0,0
6,Марсель , Бордо ,2,1
7,Лион , Лилль ,4,1
7,Ле-Ман , Сошо ,2,2
7,Бордо , Труа ,2,1
7,Осер , Седан ,2,2
7,Тулуза , Лорьян ,0,0
7,Ренн , Сент-Этьен ,0,0
7,ПСЖ , Нанси ,0,0
7,Ницца , Валансьен ,2,0
7,Ланс , Монако ,1,0
7,Нант , Марсель ,2,1
8,Сошо , Лион ,0,1
8,Монако , Ле-Ман ,2,1
8,Седан , Ренн ,1,0
8,Валансьен , Бордо ,2,0
8,Лилль , Ницца ,1,0
8,Лорьян , Труа ,0,0
8,Марсель , Тулуза ,3,0
8,Нанси , Ланс ,2,1
8,Осер , Нант ,1,0
8,Сент-Этьен , ПСЖ ,1,0
9,Лион , Сент-Этьен ,2,1
9,Нант , Сошо ,0,2
