1,Монпелье , ПСЖ ,1,1
1,Бордо , Монако ,0,2
1,Эвиан , Сошо ,1,1
1,Лилль , Лорьян ,1,0
1,Лион , Ницца ,4,0
1,Нант , Бастия ,1,0
1,Ренн , Реймс ,2,1
1,Валансьен , Тулуза ,3,0
1,Аяччо , Сент-Этьен ,0,1
1,Генгам , Марсель ,1,3
2,Сошо , Лион ,1,3
2,Марсель , Эвиан ,2,0
2,Бастия , Валансьен ,2,0
2,Ницца , Ренн ,2,1
2,Реймс , Лилль ,2,1
2,Сент-Этьен , Генгам ,1,0
2,Тулуза , Бордо ,1,1
2,Монако , Монпелье ,4,1
2,Лорьян , Нант ,2,1
2,ПСЖ , Аяччо ,1,1
3,Монако , Тулуза ,0,0
3,Валансьен , Марсель ,0,1
3,Бордо , Бастия ,1,0
3,Эвиан , Ренн ,1,2
3,Генгам , Лорьян ,2,0
3,Лион , Реймс ,0,1
3,Монпелье , Сошо ,2,1
3,Лилль , Сент-Этьен ,1,0
3,Аяччо , Ницца ,0,0
3,Нант , ПСЖ ,1,2
4,Эвиан , Лион ,2,1
4,ПСЖ , Генгам ,2,0
4,Бастия , Тулуза ,2,1
4,Лорьян , Валансьен ,1,0
4,Реймс , Нант ,0,0
4,Ренн , Лилль ,0,0
4,Сошо , Аяччо ,0,0
4,Сент-Этьен , Бордо ,2,1
4,Ницца , Монпелье ,2,2
4,Марсель , Монако ,1,2
5,Бордо , ПСЖ ,0,2
5,Тулуза , Марсель ,1,1
5,Аяччо , Эвиан ,2,3
5,Генгам , Бастия ,1,1
5,Монпелье , Реймс ,0,0
5,Нант , Сошо ,1,0
5,Валансьен , Сент-Этьен ,1,3
5,Монако , Лорьян ,1,0
5,Лилль , Ницца ,0,2
5,Лион , Ренн ,0,0
6,Сент-Этьен , Тулуза ,1,2
6,Бастия , Марсель ,0,0
6,Эвиан , Монпелье ,2,2
6,Реймс , Генгам ,1,1
6,Ренн , Аяччо ,2,0
6,Сошо , Лилль ,0,2
6,Лорьян , Бордо ,3,3
6,Лион , Нант ,3,1
6,Ницца , Валансьен ,4,0
6,ПСЖ , Монако ,1,1
7,Лилль , Эвиан ,3,0
7,Марсель , Сент-Этьен ,2,1
7,Аяччо , Лион ,2,1
7,Бордо , Реймс ,0,0
7,Генгам , Сошо ,5,1
7,Нант , Ницца ,2,0
7,Тулуза , Лорьян ,1,0
7,Валансьен , ПСЖ ,0,1
7,Монако , Бастия ,3,0
7,Монпелье , Ренн ,0,0
8,Лорьян , Марсель ,0,2
8,ПСЖ , Тулуза ,2,0
8,Эвиан , Бордо ,1,1
8,Лион , Лилль ,0,0
8,Ницца , Генгам ,1,0
8,Сент-Этьен , Бастия ,2,2
8,Сошо , Валансьен ,2,0
8,Ренн , Нант ,1,3
8,Аяччо , Монпелье ,1,1
8,Реймс , Монако ,1,1
9,Бастия , Лорьян ,4,1
9,Монако , Сент-Этьен ,2,1
9,Генгам , Ренн ,2,0
9,Лилль , Аяччо ,3,0
9,Нант , Эвиан ,3,0
9,Тулуза , Ницца ,1,0
9,Валансьен , Реймс ,1,1
9,Монпелье , Лион ,5,1
9,Бордо , Сошо ,4,1
9,Марсель , ПСЖ ,1,2
10,Ницца , Марсель ,1,0
10,Реймс , Тулуза ,1,2
10,ПСЖ , Бастия ,4,0
10,Аяччо , Нант ,0,1
10,Эвиан , Генгам ,1,2
10,Монпелье , Лилль ,0,1
10,Ренн , Валансьен ,2,2
10,Сошо , Монако ,2,2
10,Сент-Этьен , Лорьян ,3,2
10,Лион , Бордо ,1,1
11,Нант , Лилль ,0,1
11,Марсель , Реймс ,2,3
11,Бастия , Ницца ,1,0
11,Генгам , Аяччо ,2,1
11,Лорьян , Сошо ,2,1
11,Тулуза , Ренн ,0,5
11,Валансьен , Эвиан ,0,1
11,Бордо , Монпелье ,2,0
11,Монако , Лион ,2,1
11,Сент-Этьен , ПСЖ ,2,2
12,ПСЖ , Лорьян ,4,0
12,Ренн , Марсель ,1,1
12,Аяччо , Валансьен ,1,3
12,Эвиан , Тулуза ,2,1
12,Лион , Генгам ,2,0
12,Реймс , Бастия ,4,2
12,Сошо , Сент-Этьен ,0,0
12,Ницца , Бордо ,1,2
12,Монпелье , Нант ,1,1
12,Лилль , Монако ,2,0
13,Монако , Эвиан ,1,1
13,ПСЖ , Ницца ,3,1
13,Бастия , Ренн ,1,0
13,Генгам , Лилль ,0,0
13,Лорьян , Реймс ,0,0
13,Тулуза , Аяччо ,1,1
13,Валансьен , Монпелье ,1,1
13,Бордо , Нант ,0,3
13,Марсель , Сошо ,2,1
13,Сент-Этьен , Лион ,1,2
14,Аяччо , Марсель ,1,3
14,Реймс , ПСЖ ,0,3
14,Эвиан , Лорьян ,0,4
14,Лион , Валансьен ,1,1
14,Монпелье , Генгам ,1,1
14,Ренн , Бордо ,1,1
14,Сошо , Бастия ,1,1
14,Лилль , Тулуза ,1,0
14,Ницца , Сент-Этьен ,0,1
14,Нант , Монако ,0,1
15,Марсель , Монпелье ,2,0
15,Сент-Этьен , Реймс ,4,0
15,Монако , Ренн ,2,0
15,Генгам , Нант ,1,0
15,Лорьян , Ницца ,3,0
15,Тулуза , Сошо ,5,1
15,Валансьен , Лилль ,0,1
15,Бордо , Аяччо ,4,0
15,Бастия , Эвиан ,2,0
15,ПСЖ , Лион ,4,0
16,Лилль , Марсель ,1,0
16,Нант , Валансьен ,2,1
16,Ницца , Монако ,0,3
16,Аяччо , Бастия ,1,1
16,Генгам , Бордо ,0,1
16,Монпелье , Лорьян ,0,2
16,Ренн , Сент-Этьен ,3,1
16,Сошо , Реймс ,0,2
16,Эвиан , ПСЖ ,2,0
16,Лион , Тулуза ,1,1
17,Марсель , Нант ,0,1
17,ПСЖ , Сошо ,5,0
17,Лорьян , Ренн ,2,0
17,Реймс , Ницца ,1,0
17,Валансьен , Генгам ,1,1
17,Бордо , Лилль ,1,0
17,Бастия , Лион ,1,3
17,Тулуза , Монпелье ,1,1
17,Монако , Аяччо ,1,0
17,Сент-Этьен , Эвиан ,1,0
18,Монпелье , Сент-Этьен ,0,1
18,Ренн , ПСЖ ,1,3
18,Аяччо , Лорьян ,1,2
18,Эвиан , Реймс ,1,1
18,Генгам , Монако ,0,2
18,Нант , Тулуза ,1,2
18,Ницца , Сошо ,1,0
18,Бордо , Валансьен ,2,1
18,Лилль , Бастия ,2,1
18,Лион , Марсель ,2,2
19,Монако , Валансьен ,1,2
19,Сент-Этьен , Нант ,2,0
19,Бастия , Монпелье ,0,0
19,Ницца , Эвиан ,3,1
19,Реймс , Аяччо ,4,1
19,Сошо , Ренн ,2,1
19,Тулуза , Генгам ,0,0
19,Марсель , Бордо ,2,2
19,Лорьян , Лион ,2,2
19,ПСЖ , Лилль ,2,2
20,Монпелье , Монако ,1,1
20,Аяччо , ПСЖ ,1,2
20,Бордо , Тулуза ,0,1
20,Генгам , Сент-Этьен ,0,0
20,Лион , Сошо ,2,0
20,Ренн , Ницца ,0,0
20,Валансьен , Бастия ,3,2
20,Нант , Лорьян ,1,0
20,Эвиан , Марсель ,1,2
20,Лилль , Реймс ,1,2
21,Сент-Этьен , Лилль ,2,0
21,Бастия , Бордо ,1,0
21,Лорьян , Генгам ,2,0
21,Ницца , Аяччо ,2,0
21,Ренн , Эвиан ,0,0
21,Сошо , Монпелье ,0,2
21,Реймс , Лион ,0,2
21,Тулуза , Монако ,0,2
21,ПСЖ , Нант ,5,0
21,Марсель , Валансьен ,2,1
22,Лилль , Ренн ,1,1
22,Генгам , ПСЖ ,1,1
22,Аяччо , Сошо ,1,1
22,Монпелье , Ницца ,3,1
22,Нант , Реймс ,0,0
22,Валансьен , Лорьян ,1,1
22,Лион , Эвиан ,3,0
22,Бордо , Сент-Этьен ,2,0
22,Монако , Марсель ,2,0
22,Тулуза , Бастия ,1,3
23,ПСЖ , Бордо ,2,0
23,Лорьян , Монако ,2,2
23,Бастия , Генгам ,3,2
23,Эвиан , Аяччо ,1,1
23,Реймс , Монпелье ,2,4
23,Сент-Этьен , Валансьен ,3,0
23,Сошо , Нант ,1,0
23,Ницца , Лилль ,1,0
23,Ренн , Лион ,2,0
23,Марсель , Тулуза ,2,2
24,Тулуза , Сент-Этьен ,0,0
24,Марсель , Бастия ,3,0
24,Аяччо , Ренн ,3,1
24,Генгам , Реймс ,1,2
24,Лилль , Сошо ,2,0
24,Монпелье , Эвиан ,1,1
24,Валансьен , Ницца ,2,1
24,Нант , Лион ,1,2
24,Монако , ПСЖ ,1,1
24,Бордо , Лорьян ,3,2
25,ПСЖ , Валансьен ,3,0
25,Бастия , Монако ,0,2
25,Лорьян , Тулуза ,1,3
25,Ницца , Нант ,0,0
25,Реймс , Бордо ,1,0
25,Ренн , Монпелье ,2,2
25,Сошо , Генгам ,1,0
25,Лион , Аяччо ,3,1
25,Эвиан , Лилль ,2,2
25,Сент-Этьен , Марсель ,1,1
26,Монако , Реймс ,3,2
26,Марсель , Лорьян ,1,0
26,Бастия , Сент-Этьен ,0,2
26,Бордо , Эвиан ,2,1
26,Генгам , Ницца ,1,0
26,Монпелье , Аяччо ,2,0
26,Валансьен , Сошо ,2,2
26,Тулуза , ПСЖ ,2,4
26,Нант , Ренн ,0,3
26,Лилль , Лион ,0,0
27,Эвиан , Нант ,2,0
27,Сент-Этьен , Монако ,2,0
