1,Реймс , ПСЖ ,2,2
1,Бастия , Марсель ,3,3
1,Эвиан , Кан ,0,3
1,Генгам , Сент-Этьен ,0,2
1,Лилль , Метц ,0,0
1,Монпелье , Бордо ,0,1
1,Нант , Ланс ,1,0
1,Ницца , Тулуза ,3,2
1,Лион , Ренн ,2,0
1,Монако , Лорьян ,1,2
2,Кан , Лилль ,0,1
2,ПСЖ , Бастия ,2,0
2,Ланс , Генгам ,0,1
2,Лорьян , Ницца ,0,0
2,Метц , Нант ,1,1
2,Ренн , Эвиан ,6,2
2,Тулуза , Лион ,2,1
2,Марсель , Монпелье ,0,2
2,Сент-Этьен , Реймс ,3,1
2,Бордо , Монако ,4,1
3,Эвиан , ПСЖ ,0,0
3,Генгам , Марсель ,0,1
3,Бастия , Тулуза ,1,0
3,Лилль , Лорьян ,2,0
3,Монпелье , Метц ,2,0
3,Ницца , Бордо ,1,3
3,Реймс , Кан ,0,2
3,Лион , Ланс ,0,1
3,Сент-Этьен , Ренн ,0,0
3,Нант , Монако ,0,1
4,Марсель , Ницца ,4,0
4,Монако , Лилль ,1,1
4,Кан , Ренн ,0,1
4,Ланс , Реймс ,4,2
4,Лорьян , Генгам ,4,0
4,Нант , Монпелье ,1,0
4,Тулуза , Эвиан ,1,0
4,Бордо , Бастия ,1,1
4,Метц , Лион ,2,1
4,ПСЖ , Сент-Этьен ,5,0
5,Лион , Монако ,2,1
5,Ренн , ПСЖ ,1,1
5,Бастия , Ланс ,1,1
5,Монпелье , Лорьян ,1,0
5,Ницца , Метц ,1,0
5,Реймс , Тулуза ,2,0
5,Сент-Этьен , Кан ,1,0
5,Лилль , Нант ,2,0
5,Генгам , Бордо ,2,1
5,Эвиан , Марсель ,1,3
6,Бордо , Эвиан ,2,1
6,Марсель , Ренн ,3,0
6,Лорьян , Реймс ,0,1
6,Метц , Бастия ,3,1
6,Нант , Ницца ,2,1
6,Тулуза , Кан ,3,3
6,Лилль , Монпелье ,0,0
6,Ланс , Сент-Этьен ,0,1
6,Монако , Генгам ,1,0
6,ПСЖ , Лион ,1,1
7,Реймс , Марсель ,0,5
7,Ренн , Тулуза ,0,3
7,Бастия , Нант ,0,0
7,Эвиан , Ланс ,2,1
7,Генгам , Метц ,0,1
7,Лион , Лорьян ,4,0
7,Монпелье , Монако ,0,1
7,Ницца , Лилль ,1,0
7,Кан , ПСЖ ,0,2
7,Сент-Этьен , Бордо ,1,1
8,Монако , Ницца ,0,1
8,Тулуза , ПСЖ ,1,1
8,Лилль , Бастия ,1,0
8,Лорьян , Эвиан ,0,2
8,Метц , Реймс ,3,0
8,Монпелье , Генгам ,2,1
8,Бордо , Ренн ,2,1
8,Ланс , Кан ,0,0
8,Нант , Лион ,1,1
8,Марсель , Сент-Этьен ,2,1
9,Реймс , Бордо ,1,0
9,Кан , Марсель ,1,2
9,Бастия , Лорьян ,0,2
9,Эвиан , Метц ,3,0
9,Ницца , Монпелье ,1,1
9,Ренн , Ланс ,2,0
9,Сент-Этьен , Тулуза ,0,1
9,Генгам , Нант ,0,1
9,Лион , Лилль ,3,0
9,ПСЖ , Монако ,1,1
10,Ланс , ПСЖ ,1,3
10,Лорьян , Сент-Этьен ,0,1
10,Лилль , Генгам ,1,2
10,Метц , Ренн ,0,0
10,Монако , Эвиан ,2,0
10,Нант , Реймс ,1,1
10,Ницца , Бастия ,0,1
10,Марсель , Тулуза ,2,0
10,Бордо , Кан ,1,1
10,Лион , Монпелье ,5,1
11,Тулуза , Ланс ,0,2
11,ПСЖ , Бордо ,3,0
11,Бастия , Монако ,1,3
11,Кан , Лорьян ,2,1
11,Эвиан , Нант ,0,2
11,Реймс , Монпелье ,1,0
11,Ренн , Лилль ,2,0
11,Генгам , Ницца ,2,7
11,Сент-Этьен , Метц ,1,0
11,Лион , Марсель ,1,0
12,Монако , Реймс ,1,1
12,Лорьян , ПСЖ ,1,2
12,Генгам , Бастия ,1,0
12,Лилль , Сент-Этьен ,1,1
12,Метц , Кан ,3,2
12,Монпелье , Эвиан ,2,0
12,Ницца , Лион ,1,3
12,Нант , Ренн ,1,1
12,Бордо , Тулуза ,2,1
12,Марсель , Ланс ,2,1
13,Ренн , Лорьян ,1,0
13,Ланс , Бордо ,1,2
13,Бастия , Монпелье ,2,0
13,Кан , Нант ,1,2
13,Эвиан , Ницца ,1,0
13,Тулуза , Метц ,3,0
13,Лион , Генгам ,3,1
13,Реймс , Лилль ,2,0
13,Сент-Этьен , Монако ,1,1
13,ПСЖ , Марсель ,2,0
14,Метц , ПСЖ ,2,3
14,Бастия , Лион ,0,0
14,Генгам , Ренн ,0,1
14,Лорьян , Ланс ,1,0
14,Монако , Кан ,2,2
14,Ницца , Реймс ,0,0
14,Нант , Сент-Этьен ,0,0
14,Монпелье , Тулуза ,2,0
14,Марсель , Бордо ,3,1
14,Лилль , Эвиан ,1,0
15,Марсель , Нант ,2,0
15,ПСЖ , Ницца ,1,0
15,Кан , Монпелье ,1,1
15,Ланс , Метц ,2,0
15,Реймс , Бастия ,2,1
15,Ренн , Монако ,2,0
15,Тулуза , Лорьян ,2,3
15,Бордо , Лилль ,1,0
15,Эвиан , Генгам ,2,0
15,Сент-Этьен , Лион ,3,0
16,Лорьян , Марсель ,1,1
16,Нант , Тулуза ,1,2
16,Монако , Ланс ,2,0
16,Бастия , Эвиан ,1,2
16,Генгам , Кан ,5,1
16,Метц , Бордо ,0,0
16,Монпелье , Сент-Этьен ,0,2
16,Ницца , Ренн ,1,2
16,Лилль , ПСЖ ,1,1
16,Лион , Реймс ,2,1
17,Тулуза , Монако ,0,2
17,ПСЖ , Нант ,2,1
17,Бордо , Лорьян ,3,2
17,Кан , Ницца ,2,3
17,Ренн , Монпелье ,0,4
17,Сент-Этьен , Бастия ,1,0
17,Эвиан , Лион ,2,3
17,Ланс , Лилль ,1,1
17,Реймс , Генгам ,2,3
17,Марсель , Метц ,3,1
18,Лион , Кан ,3,0
18,Нант , Бордо ,2,1
18,Бастия , Ренн ,2,0
18,Лорьян , Метц ,3,1
18,Монпелье , Ланс ,3,3
18,Реймс , Эвиан ,3,2
18,Ницца , Сент-Этьен ,0,0
18,Генгам , ПСЖ ,1,0
18,Лилль , Тулуза ,3,0
18,Монако , Марсель ,1,0
19,Ланс , Ницца ,2,0
19,ПСЖ , Монпелье ,0,0
19,Кан , Бастия ,1,1
19,Лорьян , Нант ,1,2
19,Метц , Монако ,0,1
19,Ренн , Реймс ,1,3
19,Тулуза , Генгам ,1,1
19,Марсель , Лилль ,2,1
19,Сент-Этьен , Эвиан ,3,0
19,Бордо , Лион ,0,5
20,Монпелье , Марсель ,2,1
20,Бастия , ПСЖ ,4,2
20,Эвиан , Ренн ,1,1
20,Генгам , Ланс ,2,0
20,Лилль , Кан ,1,0
20,Ницца , Лорьян ,3,1
20,Реймс , Сент-Этьен ,1,2
20,Лион , Тулуза ,3,0
20,Нант , Метц ,0,0
20,Монако , Бордо ,0,0
21,Бордо , Ницца ,1,2
21,Ланс , Лион ,0,2
21,Кан , Реймс ,4,1
21,Лорьян , Лилль ,1,0
21,Метц , Монпелье ,2,3
21,Монако , Нант ,1,0
21,Тулуза , Бастия ,1,1
21,ПСЖ , Эвиан ,4,2
21,Ренн , Сент-Этьен ,0,0
21,Марсель , Генгам ,2,1
22,Ницца , Марсель ,2,1
22,Лилль , Монако ,0,1
22,Бастия , Бордо ,0,0
22,Генгам , Лорьян ,3,2
22,Монпелье , Нант ,4,0
22,Эвиан , Тулуза ,1,0
22,Лион , Метц ,2,0
22,Реймс , Ланс ,0,0
22,Ренн , Кан ,1,4
22,Сент-Этьен , ПСЖ ,0,1
23,ПСЖ , Ренн ,1,0
23,Марсель , Эвиан ,1,0
23,Ланс , Бастия ,1,1
23,Лорьян , Монпелье ,0,0
23,Метц , Ницца ,0,0
23,Нант , Лилль ,1,1
23,Тулуза , Реймс ,1,0
23,Кан , Сент-Этьен ,1,0
23,Бордо , Генгам ,1,1
23,Монако , Лион ,0,0
24,Сент-Этьен , Ланс ,3,3
24,Ренн , Марсель ,1,1
24,Бастия , Метц ,2,0
24,Кан , Тулуза ,2,0
24,Эвиан , Бордо ,0,1
24,Монпелье , Лилль ,1,2
24,Реймс , Лорьян ,1,3
24,Генгам , Монако ,1,0
24,Ницца , Нант ,0,0
24,Лион , ПСЖ ,1,1
25,Марсель , Реймс ,2,2
25,ПСЖ , Кан ,2,2
25,Ланс , Эвиан ,0,2
25,Лилль , Ницца ,0,0
25,Нант , Бастия ,0,2
25,Тулуза , Ренн ,2,1
25,Бордо , Сент-Этьен ,1,0
25,Метц , Генгам ,0,2
25,Лорьян , Лион ,1,1
25,Монако , Монпелье ,0,0
26,Ницца , Монако ,0,1
26,ПСЖ , Тулуза ,3,1
26,Бастия , Лилль ,2,1
26,Кан , Ланс ,4,1
26,Ренн , Бордо ,1,1
26,Генгам , Монпелье ,0,2
26,Лион , Нант ,1,0
26,Реймс , Метц ,0,0
26,Сент-Этьен , Марсель ,2,2
26,Эвиан , Лорьян ,1,0
27,Марсель , Кан ,2,3
27,Лилль , Лион ,2,1
