1,Рома , Ливорно ,2,0
1,Фиорентина , Интер ,2,3
1,Аталанта , Асколи ,3,1
1,Кальяри , Катания ,0,1
1,Кьево , Сиена ,1,2
1,Мессина , Удинезе ,1,0
1,Милан , Лацио ,2,1
1,Палермо , Реджина ,4,3
1,Сампдория , Эмполи ,1,2
1,Торино , Парма ,1,1
2,Реджина , Кальяри ,2,1
2,Интер , Сампдория ,1,1
2,Асколи , Мессина ,1,1
2,Катания , Аталанта ,0,0
2,Эмполи , Кьево ,1,1
2,Лацио , Палермо ,1,2
2,Ливорно , Фиорентина ,1,0
2,Сиена , Рома ,1,3
2,Удинезе , Торино ,2,0
2,Парма , Милан ,0,2
3,Аталанта , Эмполи ,0,0
3,Кальяри , Ливорно ,2,2
3,Кьево , Лацио ,0,1
3,Фиорентина , Парма ,1,0
3,Мессина , Реджина ,2,0
3,Милан , Асколи ,1,0
3,Палермо , Катания ,5,3
3,Рома , Интер ,0,1
3,Сампдория , Удинезе ,3,3
3,Торино , Сиена ,1,2
4,Ливорно , Милан ,0,0
4,Катания , Мессина ,2,2
4,Асколи , Сампдория ,1,1
4,Эмполи , Палермо ,2,0
4,Интер , Кьево ,4,3
4,Лацио , Аталанта ,1,0
4,Парма , Рома ,0,4
4,Реджина , Торино ,1,1
4,Сиена , Кальяри ,0,0
4,Удинезе , Фиорентина ,1,0
5,Аталанта , Реджина ,1,1
5,Торино , Лацио ,0,4
5,Кальяри , Интер ,1,1
5,Фиорентина , Катания ,3,0
5,Мессина , Ливорно ,0,1
5,Милан , Сиена ,0,0
5,Рома , Эмполи ,1,0
5,Сампдория , Парма ,3,2
5,Удинезе , Асколи ,0,0
5,Кьево , Палермо ,0,1
6,Сампдория , Милан ,1,1
6,Сиена , Мессина ,3,1
6,Асколи , Ливорно ,0,2
6,Эмполи , Фиорентина ,1,2
6,Интер , Катания ,2,1
6,Палермо , Аталанта ,2,3
6,Парма , Удинезе ,0,3
6,Реджина , Рома ,1,0
6,Торино , Кьево ,1,0
6,Лацио , Кальяри ,0,0
7,Мессина , Эмполи ,2,2
7,Кальяри , Торино ,0,0
7,Аталанта , Сампдория ,3,2
7,Катания , Лацио ,3,1
7,Фиорентина , Реджина ,3,0
7,Ливорно , Сиена ,0,0
7,Парма , Асколи ,1,0
7,Рома , Кьево ,1,1
7,Удинезе , Интер ,0,0
7,Милан , Палермо ,0,2
8,Аталанта , Кальяри ,3,3
8,Кьево , Милан ,0,1
8,Эмполи , Удинезе ,1,1
8,Интер , Ливорно ,4,1
8,Палермо , Мессина ,2,1
8,Реджина , Парма ,3,2
8,Рома , Асколи ,2,2
8,Сампдория , Лацио ,2,0
8,Сиена , Катания ,1,1
8,Торино , Фиорентина ,0,1
9,Удинезе , Рома ,0,1
9,Милан , Интер ,3,4
9,Асколи , Сиена ,0,1
9,Кальяри , Сампдория ,1,0
9,Катания , Торино ,1,1
9,Фиорентина , Палермо ,2,3
9,Лацио , Реджина ,0,0
9,Мессина , Кьево ,2,1
9,Парма , Аталанта ,3,1
9,Ливорно , Эмполи ,0,0
10,Сиена , Парма ,2,2
10,Реджина , Катания ,0,1
10,Аталанта , Милан ,2,0
10,Кьево , Кальяри ,0,0
10,Эмполи , Лацио ,1,1
10,Интер , Асколи ,2,0
10,Ливорно , Удинезе ,1,0
10,Палермо , Сампдория ,2,0
10,Торино , Мессина ,1,1
10,Рома , Фиорентина ,3,1
11,Фиорентина , Аталанта ,3,1
11,Милан , Рома ,1,2
11,Асколи , Эмполи ,0,1
11,Катания , Ливорно ,3,2
11,Лацио , Удинезе ,5,0
11,Мессина , Кальяри ,2,2
11,Палермо , Торино ,3,0
11,Сампдория , Кьево ,3,0
11,Сиена , Реджина ,0,1
11,Парма , Интер ,1,2
12,Эмполи , Милан ,0,0
12,Кальяри , Палермо ,1,0
12,Асколи , Фиорентина ,1,1
12,Кьево , Аталанта ,2,2
12,Интер , Реджина ,1,0
12,Ливорно , Парма ,3,0
12,Мессина , Лацио ,1,4
12,Рома , Катания ,7,0
12,Удинезе , Сиена ,3,0
12,Торино , Сампдория ,1,0
13,Кьево , Удинезе ,2,0
13,Милан , Мессина ,1,0
13,Аталанта , Торино ,1,2
13,Катания , Парма ,2,0
13,Эмполи , Кальяри ,1,0
13,Лацио , Асколи ,3,1
13,Реджина , Ливорно ,2,2
13,Сампдория , Рома ,2,4
13,Сиена , Фиорентина ,1,1
13,Палермо , Интер ,1,2
14,Интер , Сиена ,2,0
14,Рома , Аталанта ,2,1
14,Кальяри , Милан ,2,2
14,Фиорентина , Лацио ,1,0
14,Ливорно , Кьево ,0,2
14,Мессина , Сампдория ,0,2
14,Парма , Палермо ,0,0
14,Торино , Эмполи ,1,0
14,Удинезе , Реджина ,1,1
14,Асколи , Катания ,2,2
15,Реджина , Асколи ,2,1
15,Палермо , Ливорно ,3,0
15,Аталанта , Мессина ,3,2
15,Кальяри , Парма ,0,0
15,Катания , Удинезе ,1,0
15,Кьево , Фиорентина ,0,1
15,Эмполи , Интер ,0,3
15,Милан , Торино ,0,0
15,Сампдория , Сиена ,0,0
15,Лацио , Рома ,3,0
16,Фиорентина , Милан ,2,2
16,Удинезе , Кальяри ,3,1
16,Асколи , Торино ,0,2
16,Интер , Мессина ,2,0
16,Ливорно , Лацио ,1,1
16,Парма , Кьево ,2,2
16,Реджина , Сампдория ,0,1
16,Сиена , Аталанта ,1,1
16,Рома , Палермо ,4,0
16,Катания , Эмполи ,2,1
