1,Удинезе , Палермо ,3,1
1,Сампдория , Интер ,1,1
1,Аталанта , Сиена ,1,0
1,Кальяри , Лацио ,1,4
1,Катания , Дженоа ,1,0
1,Кьево , Реджина ,2,1
1,Милан , Болонья ,1,2
1,Рома , Наполи ,1,1
1,Торино , Лечче ,3,0
1,Фиорентина , Ювентус ,1,1
2,Палермо , Рома ,3,1
2,Интер , Катания ,2,1
2,Болонья , Аталанта ,0,1
2,Дженоа , Милан ,2,0
2,Лацио , Сампдория ,2,0
2,Лечче , Кьево ,2,0
2,Наполи , Фиорентина ,2,1
2,Реджина , Торино ,1,1
2,Сиена , Кальяри ,2,0
2,Ювентус , Удинезе ,1,0
3,Катания , Аталанта ,1,0
3,Рома , Реджина ,3,0
3,Кальяри , Ювентус ,0,1
3,Фиорентина , Болонья ,1,0
3,Лечче , Сиена ,1,1
3,Палермо , Дженоа ,2,1
3,Сампдория , Кьево ,1,1
3,Торино , Интер ,1,3
3,Удинезе , Наполи ,0,0
3,Милан , Лацио ,4,1
4,Аталанта , Кальяри ,1,0
4,Болонья , Удинезе ,0,3
4,Кьево , Торино ,1,1
4,Дженоа , Рома ,3,1
4,Интер , Лечче ,1,0
4,Ювентус , Катания ,1,1
4,Лацио , Фиорентина ,3,0
4,Наполи , Палермо ,2,1
4,Реджина , Милан ,1,2
4,Сиена , Сампдория ,0,0
5,Сампдория , Ювентус ,0,0
5,Фиорентина , Дженоа ,1,0
5,Болонья , Наполи ,0,1
5,Катания , Кьево ,1,0
5,Лечче , Кальяри ,2,0
5,Палермо , Реджина ,1,0
5,Рома , Аталанта ,2,0
5,Торино , Лацио ,1,3
5,Удинезе , Сиена ,2,1
5,Милан , Интер ,1,0
6,Лацио , Лечче ,1,1
6,Интер , Болонья ,2,1
6,Аталанта , Сампдория ,4,2
6,Кьево , Фиорентина ,0,2
6,Дженоа , Наполи ,3,2
6,Ювентус , Палермо ,1,2
6,Реджина , Катания ,1,1
6,Сиена , Рома ,1,0
6,Удинезе , Торино ,2,0
6,Кальяри , Милан ,0,0
7,Фиорентина , Реджина ,3,0
7,Наполи , Ювентус ,2,1
7,Болонья , Лацио ,3,1
7,Катания , Палермо ,2,0
7,Кьево , Аталанта ,1,1
7,Дженоа , Сиена ,1,0
7,Лечче , Удинезе ,2,2
7,Милан , Сампдория ,3,0
7,Торино , Кальяри ,0,1
7,Рома , Интер ,0,4
8,Сиена , Катания ,1,1
8,Ювентус , Торино ,1,0
8,Аталанта , Милан ,0,1
8,Кальяри , Кьево ,2,0
8,Интер , Дженоа ,0,0
8,Лацио , Наполи ,0,1
8,Реджина , Лечче ,2,0
8,Сампдория , Болонья ,2,0
8,Удинезе , Рома ,3,1
8,Палермо , Фиорентина ,1,3
9,Болонья , Ювентус ,1,2
9,Катания , Удинезе ,0,2
9,Кьево , Лацио ,1,2
9,Фиорентина , Интер ,0,0
9,Дженоа , Кальяри ,2,1
9,Лечче , Палермо ,1,1
9,Милан , Сиена ,2,1
9,Наполи , Реджина ,3,0
9,Торино , Аталанта ,2,1
9,Рома , Сампдория ,2,0
10,Реджина , Интер ,2,3
10,Ювентус , Рома ,2,0
10,Аталанта , Лечче ,0,0
10,Кальяри , Болонья ,5,1
10,Лацио , Катания ,1,0
10,Палермо , Кьево ,3,0
10,Сампдория , Торино ,1,0
10,Сиена , Фиорентина ,1,0
10,Удинезе , Дженоа ,2,2
10,Милан , Наполи ,1,0
11,Торино , Палермо ,1,0
11,Болонья , Рома ,1,1
11,Катания , Кальяри ,2,1
11,Кьево , Ювентус ,0,2
11,Фиорентина , Аталанта ,2,1
11,Дженоа , Реджина ,4,0
11,Интер , Удинезе ,1,0
11,Лацио , Сиена ,3,0
11,Наполи , Сампдория ,2,0
11,Лечче , Милан ,1,1
12,Ювентус , Дженоа ,4,1
12,Палермо , Интер ,0,2
12,Аталанта , Наполи ,3,1
12,Кальяри , Фиорентина ,1,0
12,Катания , Торино ,3,2
12,Милан , Кьево ,1,0
12,Сампдория , Лечче ,3,2
12,Сиена , Болонья ,1,1
12,Удинезе , Реджина ,0,1
12,Рома , Лацио ,1,0
13,Фиорентина , Удинезе ,4,2
13,Интер , Ювентус ,1,0
13,Болонья , Палермо ,1,1
13,Кьево , Сиена ,0,2
13,Лацио , Дженоа ,1,1
13,Лечче , Рома ,0,3
13,Наполи , Кальяри ,2,2
13,Реджина , Аталанта ,3,1
13,Сампдория , Катания ,3,0
13,Торино , Милан ,2,2
14,Катания , Лечче ,1,1
14,Ювентус , Реджина ,4,0
14,Аталанта , Лацио ,2,0
14,Кальяри , Сампдория ,1,0
14,Дженоа , Болонья ,1,1
14,Интер , Наполи ,2,1
14,Рома , Фиорентина ,1,0
14,Сиена , Торино ,1,0
14,Удинезе , Кьево ,0,1
14,Палермо , Милан ,3,1
15,Кьево , Рома ,0,1
15,Лацио , Интер ,0,3
15,Аталанта , Удинезе ,3,0
15,Кальяри , Палермо ,1,0
15,Лечче , Ювентус ,1,2
15,Милан , Катания ,1,0
15,Наполи , Сиена ,2,0
15,Реджина , Болонья ,2,2
15,Торино , Фиорентина ,1,4
15,Сампдория , Дженоа ,0,1
16,Болонья , Торино ,5,2
16,Наполи , Лечче ,3,0
16,Фиорентина , Катания ,2,0
16,Дженоа , Аталанта ,1,1
16,Интер , Кьево ,4,2
16,Палермо , Сиена ,2,0
16,Реджина , Сампдория ,0,2
16,Рома , Кальяри ,3,2
16,Удинезе , Лацио ,3,3
16,Ювентус , Милан ,4,2
17,Лацио , Палермо ,1,0
17,Сиена , Интер ,1,2
17,Аталанта , Ювентус ,1,3
17,Кальяри , Реджина ,1,1
17,Катания , Рома ,3,2
17,Кьево , Дженоа ,0,1
17,Лечче , Болонья ,0,0
17,Сампдория , Фиорентина ,0,1
17,Торино , Наполи ,1,0
17,Милан , Удинезе ,5,1
18,Дженоа , Торино ,3,0
18,Интер , Кальяри ,1,1
18,Болонья , Кьево ,1,1
18,Фиорентина , Лечче ,1,2
18,Ювентус , Сиена ,1,0
18,Наполи , Катания ,1,0
18,Палермо , Аталанта ,3,2
18,Реджина , Лацио ,2,3
18,Удинезе , Сампдория ,1,1
18,Рома , Милан ,2,2
19,Сиена , Реджина ,1,0
19,Милан , Фиорентина ,1,0
19,Аталанта , Интер ,3,1
19,Кальяри , Удинезе ,2,0
19,Катания , Болонья ,1,2
19,Кьево , Наполи ,2,1
19,Лечче , Дженоа ,0,2
19,Сампдория , Палермо ,0,2
19,Торино , Рома ,0,1
19,Лацио , Ювентус ,1,1
20,Реджина , Кьево ,0,1
20,Ювентус , Фиорентина ,1,0
20,Сиена , Аталанта ,1,0
20,Лацио , Кальяри ,1,4
20,Дженоа , Катания ,1,1
20,Болонья , Милан ,1,4
20,Наполи , Рома ,0,3
20,Лечче , Торино ,3,3
20,Палермо , Удинезе ,3,2
20,Интер , Сампдория ,1,0
21,Аталанта , Болонья ,0,1
21,Милан , Дженоа ,1,1
21,Катания , Интер ,0,2
21,Удинезе , Ювентус ,2,1
