1,Болонья , Фиорентина ,1,1
1,Сиена , Милан ,1,2
1,Интер , Бари ,1,1
1,Катания , Сампдория ,1,2
1,Дженоа , Рома ,3,2
1,Ювентус , Кьево ,1,0
1,Лацио , Аталанта ,1,0
1,Ливорно , Кальяри ,0,0
1,Палермо , Наполи ,2,1
1,Удинезе , Парма ,2,2
2,Бари , Болонья ,0,0
2,Милан , Интер ,0,4
2,Рома , Ювентус ,1,3
2,Аталанта , Дженоа ,0,1
2,Кальяри , Сиена ,1,3
2,Кьево , Лацио ,1,2
2,Фиорентина , Палермо ,1,0
2,Наполи , Ливорно ,3,1
2,Парма , Катания ,2,1
2,Сампдория , Удинезе ,3,1
3,Ливорно , Милан ,0,0
3,Лацио , Ювентус ,0,2
3,Аталанта , Сампдория ,0,1
3,Болонья , Кьево ,0,2
3,Фиорентина , Кальяри ,1,0
3,Интер , Парма ,2,0
3,Палермо , Бари ,1,1
3,Сиена , Рома ,1,2
3,Удинезе , Катания ,4,2
3,Дженоа , Наполи ,4,1
4,Наполи , Удинезе ,0,0
4,Ювентус , Ливорно ,2,0
4,Бари , Аталанта ,4,1
4,Кальяри , Интер ,1,2
4,Катания , Лацио ,1,1
4,Кьево , Дженоа ,3,1
4,Милан , Болонья ,1,0
4,Парма , Палермо ,1,0
4,Сампдория , Сиена ,4,1
4,Рома , Фиорентина ,3,1
5,Аталанта , Катания ,0,0
5,Бари , Кальяри ,0,1
5,Болонья , Ливорно ,2,0
5,Фиорентина , Сампдория ,2,0
5,Интер , Наполи ,3,1
5,Лацио , Парма ,1,2
5,Палермо , Рома ,3,3
5,Сиена , Кьево ,0,0
5,Удинезе , Милан ,1,0
5,Дженоа , Ювентус ,2,2
6,Сампдория , Интер ,1,0
6,Ливорно , Фиорентина ,0,1
6,Катания , Рома ,1,1
6,Кьево , Аталанта ,1,1
6,Ювентус , Болонья ,1,1
6,Лацио , Палермо ,1,1
6,Наполи , Сиена ,2,1
6,Парма , Кальяри ,0,2
6,Удинезе , Дженоа ,2,0
6,Милан , Бари ,0,0
7,Бари , Катания ,0,0
7,Интер , Удинезе ,2,1
7,Аталанта , Милан ,1,1
7,Болонья , Дженоа ,1,3
7,Кальяри , Кьево ,1,2
7,Фиорентина , Лацио ,0,0
7,Рома , Наполи ,2,1
7,Сампдория , Парма ,1,1
7,Сиена , Ливорно ,0,0
7,Палермо , Ювентус ,2,0
8,Ювентус , Фиорентина ,1,1
8,Дженоа , Интер ,0,5
8,Катания , Кальяри ,2,1
8,Кьево , Бари ,1,2
8,Лацио , Сампдория ,1,1
8,Ливорно , Палермо ,1,2
8,Наполи , Болонья ,2,1
8,Парма , Сиена ,1,0
8,Удинезе , Аталанта ,1,3
8,Милан , Рома ,2,1
9,Сампдория , Болонья ,4,1
9,Интер , Катания ,2,1
9,Аталанта , Парма ,3,1
9,Бари , Лацио ,2,0
9,Кальяри , Дженоа ,3,2
9,Фиорентина , Наполи ,0,1
9,Палермо , Удинезе ,1,0
9,Рома , Ливорно ,0,1
9,Сиена , Ювентус ,0,1
9,Кьево , Милан ,1,2
10,Болонья , Сиена ,2,1
10,Катания , Кьево ,1,2
10,Дженоа , Фиорентина ,2,1
10,Ювентус , Сампдория ,5,1
10,Лацио , Кальяри ,0,1
10,Ливорно , Аталанта ,1,0
10,Наполи , Милан ,2,2
10,Парма , Бари ,2,0
10,Удинезе , Рома ,2,1
10,Интер , Палермо ,5,3
11,Ювентус , Наполи ,2,3
11,Милан , Парма ,2,0
11,Кальяри , Аталанта ,3,0
11,Кьево , Удинезе ,1,1
11,Фиорентина , Катания ,3,1
11,Ливорно , Интер ,0,2
11,Рома , Болонья ,2,1
11,Сампдория , Бари ,0,0
11,Сиена , Лацио ,1,1
11,Палермо , Дженоа ,0,0
12,Катания , Наполи ,0,0
12,Аталанта , Ювентус ,2,5
12,Бари , Ливорно ,1,0
12,Болонья , Палермо ,3,1
12,Кальяри , Сампдория ,2,0
12,Дженоа , Сиена ,4,2
12,Лацио , Милан ,1,2
12,Парма , Кьево ,2,0
12,Удинезе , Фиорентина ,0,1
12,Интер , Рома ,1,1
13,Болонья , Интер ,1,3
13,Фиорентина , Парма ,2,3
13,Ливорно , Дженоа ,2,1
13,Милан , Кальяри ,4,3
13,Наполи , Лацио ,0,0
13,Палермо , Катания ,1,1
13,Рома , Бари ,3,1
13,Сампдория , Кьево ,2,1
13,Сиена , Аталанта ,0,2
13,Ювентус , Удинезе ,1,0
14,Удинезе , Ливорно ,2,0
14,Дженоа , Сампдория ,3,0
14,Аталанта , Рома ,1,2
14,Бари , Сиена ,2,1
14,Кальяри , Ювентус ,2,0
14,Кьево , Палермо ,1,0
14,Интер , Фиорентина ,1,0
14,Лацио , Болонья ,0,0
14,Парма , Наполи ,1,1
14,Катания , Милан ,0,2
15,Милан , Сампдория ,3,0
15,Ювентус , Интер ,2,1
15,Болонья , Удинезе ,2,1
15,Фиорентина , Аталанта ,2,0
15,Дженоа , Парма ,2,2
15,Ливорно , Кьево ,0,2
15,Наполи , Бари ,3,2
15,Палермо , Кальяри ,2,1
15,Сиена , Катания ,3,2
15,Рома , Лацио ,1,0
16,Кальяри , Наполи ,3,3
16,Бари , Ювентус ,3,1
16,Аталанта , Интер ,1,1
16,Катания , Ливорно ,0,1
16,Кьево , Фиорентина ,2,1
16,Лацио , Дженоа ,1,0
16,Милан , Палермо ,0,2
16,Парма , Болонья ,2,1
16,Сиена , Удинезе ,2,1
16,Сампдория , Рома ,0,0
17,Ювентус , Катания ,1,2
17,Ливорно , Сампдория ,3,1
17,Наполи , Кьево ,2,0
17,Палермо , Сиена ,1,0
17,Рома , Парма ,2,0
17,Интер , Лацио ,1,0
17,Болонья , Аталанта ,2,2
17,Дженоа , Бари ,1,1
17,Фиорентина , Милан ,1,2
17,Удинезе , Кальяри ,2,1
18,Кьево , Интер ,0,1
18,Аталанта , Наполи ,0,2
18,Бари , Удинезе ,2,0
18,Кальяри , Рома ,2,2
18,Катания , Болонья ,1,0
18,Лацио , Ливорно ,4,1
18,Парма , Ювентус ,1,2
18,Сампдория , Палермо ,1,1
18,Сиена , Фиорентина ,1,5
18,Милан , Дженоа ,5,2
19,Рома , Кьево ,1,0
19,Интер , Сиена ,4,3
19,Болонья , Кальяри ,0,1
19,Фиорентина , Бари ,2,1
19,Дженоа , Катания ,2,0
19,Ливорно , Парма ,2,1
19,Наполи , Сампдория ,1,0
19,Палермо , Аталанта ,1,0
19,Удинезе , Лацио ,1,1
19,Ювентус , Милан ,0,3
20,Кальяри , Ливорно ,3,0
20,Бари , Интер ,2,2
20,Аталанта , Лацио ,3,0
20,Кьево , Ювентус ,1,0
20,Фиорентина , Болонья ,1,2
20,Милан , Сиена ,4,0
20,Парма , Удинезе ,0,0
20,Рома , Дженоа ,3,0
20,Сампдория , Катания ,1,1
20,Наполи , Палермо ,0,0
21,Катания , Парма ,3,0
21,Ювентус , Рома ,1,2
21,Болонья , Бари ,2,1
21,Дженоа , Аталанта ,2,0
21,Лацио , Кьево ,1,1
21,Ливорно , Наполи ,0,2
21,Палермо , Фиорентина ,3,0
21,Сиена , Кальяри ,1,1
21,Удинезе , Сампдория ,2,3
21,Интер , Милан ,2,0
22,Бари , Палермо ,4,2
22,Наполи , Дженоа ,0,0
22,Кальяри , Фиорентина ,2,2
22,Катания , Удинезе ,1,1
22,Кьево , Болонья ,1,1
22,Милан , Ливорно ,1,1
22,Рома , Сиена ,2,1
22,Сампдория , Аталанта ,2,0
22,Ювентус , Лацио ,1,1
22,Парма , Интер ,1,1
23,Палермо , Парма ,2,1
23,Ливорно , Ювентус ,1,1
23,Аталанта , Бари ,1,0
23,Болонья , Милан ,0,0
23,Дженоа , Кьево ,1,0
23,Интер , Кальяри ,3,0
23,Лацио , Катания ,0,1
23,Сиена , Сампдория ,1,2
