1,Удинезе , Дженоа ,0,1
1,Рома , Чезена ,0,0
1,Бари , Ювентус ,1,0
1,Палермо , Кальяри ,0,0
1,Кьево , Катания ,2,1
1,Парма , Брешия ,2,0
1,Сампдория , Лацио ,2,0
1,Милан , Лечче ,4,0
1,Фиорентина , Наполи ,1,1
1,Болонья , Интер ,0,0
2,Интер , Удинезе ,2,1
2,Кальяри , Рома ,5,1
2,Чезена , Милан ,2,0
2,Брешия , Палермо ,3,2
2,Ювентус , Сампдория ,3,3
2,Катания , Парма ,2,1
2,Дженоа , Кьево ,1,3
2,Лацио , Болонья ,3,1
2,Лечче , Фиорентина ,1,0
2,Наполи , Бари ,2,2
3,Фиорентина , Лацио ,1,2
3,Милан , Катания ,1,1
3,Бари , Кальяри ,0,0
3,Парма , Дженоа ,1,1
3,Чезена , Лечче ,1,0
3,Удинезе , Ювентус ,0,4
3,Кьево , Брешия ,0,1
3,Рома , Болонья ,2,2
3,Палермо , Интер ,1,2
3,Сампдория , Наполи ,1,2
4,Наполи , Кьево ,1,3
4,Болонья , Удинезе ,2,1
4,Кальяри , Сампдория ,0,0
4,Интер , Бари ,4,0
4,Дженоа , Фиорентина ,1,1
4,Лацио , Милан ,1,1
4,Лечче , Парма ,1,1
4,Брешия , Рома ,2,1
4,Катания , Чезена ,2,0
4,Ювентус , Палермо ,1,3
5,Милан , Дженоа ,1,0
5,Рома , Интер ,1,0
5,Чезена , Наполи ,1,4
5,Катания , Болонья ,1,1
5,Бари , Брешия ,2,1
5,Сампдория , Удинезе ,0,0
5,Кьево , Лацио ,0,1
5,Фиорентина , Парма ,2,0
5,Палермо , Лечче ,2,2
5,Ювентус , Кальяри ,4,2
6,Удинезе , Чезена ,1,0
6,Парма , Милан ,0,1
6,Лечче , Катания ,1,0
6,Наполи , Рома ,2,0
6,Болонья , Сампдория ,1,1
6,Дженоа , Бари ,2,1
6,Кьево , Кальяри ,0,0
6,Фиорентина , Палермо ,1,2
6,Лацио , Брешия ,1,0
6,Интер , Ювентус ,0,0
7,Милан , Кьево ,3,1
7,Рома , Дженоа ,2,1
7,Кальяри , Интер ,0,1
7,Катания , Наполи ,1,1
7,Сампдория , Фиорентина ,2,1
7,Чезена , Парма ,1,1
7,Ювентус , Лечче ,4,0
7,Брешия , Удинезе ,0,1
7,Палермо , Болонья ,4,1
7,Бари , Лацио ,0,2
8,Фиорентина , Бари ,2,1
8,Парма , Рома ,0,0
8,Удинезе , Палермо ,2,1
8,Болонья , Ювентус ,0,0
8,Дженоа , Катания ,1,0
8,Лечче , Брешия ,2,1
8,Кьево , Чезена ,2,1
8,Лацио , Кальяри ,2,1
8,Интер , Сампдория ,1,1
8,Наполи , Милан ,1,2
9,Дженоа , Интер ,0,1
9,Рома , Лечче ,2,0
9,Милан , Ювентус ,1,2
9,Палермо , Лацио ,0,1
9,Чезена , Сампдория ,0,1
9,Кальяри , Болонья ,2,0
9,Парма , Кьево ,0,0
9,Брешия , Наполи ,0,1
9,Бари , Удинезе ,0,2
9,Катания , Фиорентина ,0,0
10,Болонья , Лечче ,2,0
10,Интер , Брешия ,1,1
10,Фиорентина , Кьево ,1,0
10,Бари , Милан ,2,3
10,Ювентус , Чезена ,3,1
10,Лацио , Рома ,0,2
10,Наполи , Парма ,2,0
10,Сампдория , Катания ,0,0
10,Удинезе , Кальяри ,1,1
10,Палермо , Дженоа ,1,0
11,Брешия , Ювентус ,1,1
11,Кальяри , Наполи ,0,1
11,Катания , Удинезе ,1,0
11,Чезена , Лацио ,1,0
11,Кьево , Бари ,0,0
11,Дженоа , Болонья ,1,0
11,Лечче , Интер ,1,1
11,Милан , Палермо ,3,1
11,Рома , Фиорентина ,3,2
11,Парма , Сампдория ,1,0
12,Фиорентина , Чезена ,1,0
12,Ювентус , Рома ,1,1
12,Лацио , Наполи ,2,0
12,Бари , Парма ,0,1
12,Болонья , Брешия ,1,0
12,Кальяри , Дженоа ,0,1
12,Палермо , Катания ,3,1
12,Сампдория , Кьево ,0,0
12,Удинезе , Лечче ,4,0
12,Интер , Милан ,0,1
13,Рома , Удинезе ,2,0
13,Милан , Фиорентина ,1,0
13,Дженоа , Ювентус ,0,2
13,Брешия , Кальяри ,1,2
13,Катания , Бари ,1,0
13,Чезена , Палермо ,1,2
13,Кьево , Интер ,2,1
13,Лечче , Сампдория ,2,3
13,Парма , Лацио ,1,1
13,Наполи , Болонья ,4,1
14,Сампдория , Милан ,1,1
14,Ювентус , Фиорентина ,1,1
14,Интер , Парма ,5,2
14,Бари , Чезена ,1,1
14,Брешия , Дженоа ,0,0
14,Кальяри , Лечче ,3,2
14,Лацио , Катания ,1,1
14,Удинезе , Наполи ,3,1
14,Палермо , Рома ,3,1
14,Болонья , Кьево ,2,1
15,Лацио , Интер ,3,1
15,Кьево , Рома ,2,2
15,Милан , Брешия ,3,0
15,Чезена , Болонья ,0,2
15,Фиорентина , Кальяри ,1,0
15,Лечче , Дженоа ,1,3
15,Парма , Удинезе ,2,1
15,Сампдория , Бари ,3,0
15,Катания , Ювентус ,1,3
15,Наполи , Палермо ,1,0
16,Палермо , Парма ,3,1
16,Удинезе , Фиорентина ,2,1
16,Дженоа , Наполи ,0,1
16,Болонья , Милан ,0,3
16,Брешия , Сампдория ,1,0
16,Кальяри , Катания ,3,0
16,Лечче , Кьево ,3,2
16,Рома , Бари ,1,0
16,Ювентус , Лацио ,2,1
16,Интер , Чезена ,3,2
17,Чезена , Кальяри ,1,0
17,Милан , Рома ,0,1
17,Лацио , Удинезе ,3,2
17,Бари , Палермо ,1,1
17,Катания , Брешия ,1,0
17,Кьево , Ювентус ,1,1
17,Наполи , Лечче ,1,0
17,Парма , Болонья ,0,0
17,Фиорентина , Интер ,1,2
17,Сампдория , Дженоа ,0,1
18,Ювентус , Парма ,1,4
18,Болонья , Фиорентина ,1,1
18,Брешия , Чезена ,1,2
18,Кальяри , Милан ,0,1
18,Дженоа , Лацио ,0,0
18,Лечче , Бари ,0,1
18,Палермо , Сампдория ,3,0
18,Рома , Катания ,4,2
18,Удинезе , Кьево ,2,0
18,Интер , Наполи ,3,1
19,Сампдория , Рома ,2,1
19,Бари , Болонья ,0,2
19,Катания , Интер ,1,2
19,Чезена , Дженоа ,0,0
19,Кьево , Палермо ,0,0
19,Фиорентина , Брешия ,3,2
19,Лацио , Лечче ,1,2
19,Милан , Удинезе ,4,4
19,Парма , Кальяри ,1,2
19,Наполи , Ювентус ,3,0
20,Наполи , Фиорентина ,0,0
20,Интер , Болонья ,4,1
20,Кальяри , Палермо ,3,1
20,Ювентус , Бари ,2,1
20,Катания , Кьево ,1,1
20,Брешия , Парма ,2,0
20,Чезена , Рома ,0,1
20,Лацио , Сампдория ,1,0
20,Дженоа , Удинезе ,2,4
20,Лечче , Милан ,1,1
21,Палермо , Брешия ,1,0
21,Парма , Катания ,2,0
21,Рома , Кальяри ,3,0
21,Удинезе , Интер ,3,1
21,Кьево , Дженоа ,0,0
21,Сампдория , Ювентус ,0,0
21,Болонья , Лацио ,3,1
21,Фиорентина , Лечче ,1,1
21,Бари , Наполи ,0,2
21,Милан , Чезена ,2,0
22,Лацио , Фиорентина ,2,0
22,Катания , Милан ,0,2
22,Брешия , Кьево ,0,3
22,Кальяри , Бари ,2,1
22,Лечче , Чезена ,1,1
22,Интер , Палермо ,3,2
22,Дженоа , Парма ,3,1
22,Наполи , Сампдория ,4,0
22,Ювентус , Удинезе ,1,2
22,Болонья , Рома ,0,1
23,Милан , Лацио ,0,0
23,Удинезе , Болонья ,1,1
23,Рома , Брешия ,1,1
23,Сампдория , Кальяри ,0,1
23,Чезена , Катания ,1,1
23,Фиорентина , Дженоа ,1,0
23,Палермо , Ювентус ,2,1
23,Парма , Лечче ,0,1
23,Кьево , Наполи ,2,0
23,Бари , Интер ,0,3
24,Удинезе , Сампдория ,2,0
24,Кальяри , Ювентус ,1,3
24,Болонья , Катания ,1,0
24,Брешия , Бари ,2,0
24,Наполи , Чезена ,2,0
24,Лацио , Кьево ,1,1
24,Парма , Фиорентина ,1,1
24,Дженоа , Милан ,1,1
24,Лечче , Палермо ,2,4
24,Интер , Рома ,5,3
25,Милан , Парма ,4,0
25,Рома , Наполи ,0,2
25,Палермо , Фиорентина ,2,4
25,Сампдория , Болонья ,3,1
25,Кальяри , Кьево ,4,1
25,Бари , Дженоа ,0,0
25,Брешия , Лацио ,0,2
25,Катания , Лечче ,3,2
25,Чезена , Удинезе ,0,3
25,Ювентус , Интер ,1,0
26,Болонья , Палермо ,1,0
26,Интер , Кальяри ,1,0
26,Лечче , Ювентус ,2,0
26,Лацио , Бари ,1,0
26,Удинезе , Брешия ,0,0
26,Парма , Чезена ,2,2
26,Кьево , Милан ,1,2
26,Дженоа , Рома ,4,3
26,Фиорентина , Сампдория ,0,0
26,Наполи , Катания ,1,0
27,Ювентус , Болонья ,0,2
27,Катания , Дженоа ,2,1
27,Чезена , Кьево ,1,0
27,Бари , Фиорентина ,1,1
27,Кальяри , Лацио ,1,0
27,Брешия , Лечче ,2,2
27,Рома , Парма ,2,2
27,Палермо , Удинезе ,0,7
27,Сампдория , Интер ,0,2
27,Милан , Наполи ,3,0
28,Лечче , Рома ,1,2
28,Ювентус , Милан ,0,1
28,Сампдория , Чезена ,2,3
28,Удинезе , Бари ,1,0
28,Наполи , Брешия ,0,0
28,Болонья , Кальяри ,2,2
28,Фиорентина , Катания ,3,0
28,Интер , Дженоа ,5,2
28,Кьево , Парма ,0,0
28,Лацио , Палермо ,2,0
29,Брешия , Интер ,1,1
29,Чезена , Ювентус ,2,2
29,Милан , Бари ,1,1
29,Лечче , Болонья ,0,1
29,Кьево , Фиорентина ,0,1
29,Рома , Лацио ,2,0
29,Дженоа , Палермо ,1,0
29,Катания , Сампдория ,1,0
29,Кальяри , Удинезе ,0,4
29,Парма , Наполи ,1,3
30,Лацио , Чезена ,1,0
30,Палермо , Милан ,1,0
30,Фиорентина , Рома ,2,2
30,Ювентус , Брешия ,2,1
30,Удинезе , Катания ,2,0
30,Бари , Кьево ,1,2
30,Болонья , Дженоа ,1,1
30,Интер , Лечче ,1,0
30,Сампдория , Парма ,0,1
30,Наполи , Кальяри ,2,1
31,Брешия , Болонья ,3,1
31,Милан , Интер ,3,0
31,Наполи , Лацио ,4,3
31,Парма , Бари ,1,2
31,Дженоа , Кальяри ,0,1
31,Чезена , Фиорентина ,2,2
31,Катания , Палермо ,4,0
31,Кьево , Сампдория ,0,0
31,Лечче , Удинезе ,2,0
31,Рома , Ювентус ,0,2
32,Интер , Кьево ,2,0
32,Удинезе , Рома ,1,2
32,Ювентус , Дженоа ,3,2
32,Кальяри , Брешия ,1,1
32,Бари , Катания ,1,1
32,Палермо , Чезена ,2,2
32,Сампдория , Лечче ,1,2
32,Болонья , Наполи ,0,2
32,Лацио , Парма ,2,0
32,Фиорентина , Милан ,1,2
33,Рома , Палермо ,2,3
33,Парма , Интер ,2,0
33,Милан , Сампдория ,3,0
33,Чезена , Бари ,1,0
33,Кьево , Болонья ,2,0
33,Дженоа , Брешия ,3,0
33,Лечче , Кальяри ,3,3
33,Фиорентина , Ювентус ,0,0
33,Катания , Лацио ,1,4
33,Наполи , Удинезе ,1,2
34,Рома , Кьево ,1,0
34,Болонья , Чезена ,0,2
34,Кальяри , Фиорентина ,1,2
34,Интер , Лацио ,2,1
34,Дженоа , Лечче ,4,2
34,Палермо , Наполи ,2,1
34,Удинезе , Парма ,0,2
34,Бари , Сампдория ,0,1
34,Брешия , Милан ,0,1
34,Ювентус , Катания ,2,2
35,Чезена , Интер ,1,2
35,Наполи , Дженоа ,1,0
35,Милан , Болонья ,1,0
35,Сампдория , Брешия ,3,3
35,Катания , Кальяри ,2,0
35,Кьево , Лечче ,1,0
35,Парма , Палермо ,3,1
35,Фиорентина , Удинезе ,5,2
35,Бари , Рома ,2,3
35,Лацио , Ювентус ,0,1
36,Палермо , Бари ,2,1
36,Рома , Милан ,0,0
36,Брешия , Катания ,1,2
36,Кальяри , Чезена ,0,2
36,Интер , Фиорентина ,3,1
36,Удинезе , Лацио ,2,1
36,Лечче , Наполи ,2,1
36,Болонья , Парма ,0,0
36,Дженоа , Сампдория ,2,1
36,Ювентус , Кьево ,2,2
37,Лацио , Дженоа ,4,2
37,Милан , Кальяри ,4,1
37,Фиорентина , Болонья ,1,1
37,Чезена , Брешия ,1,0
37,Парма , Ювентус ,1,0
37,Бари , Лечче ,0,2
37,Сампдория , Палермо ,1,2
37,Катания , Рома ,2,1
37,Кьево , Удинезе ,0,2
37,Наполи , Интер ,1,1
