1,Фиорентина , Удинезе ,2,1
1,Ювентус , Парма ,2,0
1,Милан , Сампдория ,0,1
1,Аталанта , Лацио ,0,1
1,Кьево , Болонья ,2,0
1,Дженоа , Кальяри ,2,0
1,Палермо , Наполи ,0,3
1,Пескара , Интер ,0,3
1,Рома , Катания ,2,2
1,Сиена , Торино ,0,0
2,Торино , Пескара ,3,0
2,Болонья , Милан ,1,3
2,Удинезе , Ювентус ,1,4
2,Кальяри , Аталанта ,1,1
2,Катания , Дженоа ,3,2
2,Интер , Рома ,1,3
2,Лацио , Палермо ,3,0
2,Наполи , Фиорентина ,2,1
2,Парма , Кьево ,2,0
2,Сампдория , Сиена ,2,1
3,Палермо , Кальяри ,1,1
3,Милан , Аталанта ,0,1
3,Кьево , Лацио ,1,3
3,Фиорентина , Катания ,2,0
3,Дженоа , Ювентус ,1,3
3,Наполи , Парма ,3,1
3,Пескара , Сампдория ,2,3
3,Рома , Болонья ,2,3
3,Сиена , Удинезе ,2,2
3,Торино , Интер ,0,2
4,Парма , Фиорентина ,1,1
4,Ювентус , Кьево ,2,0
4,Сампдория , Торино ,1,1
4,Аталанта , Палермо ,1,0
4,Болонья , Пескара ,1,1
4,Кальяри , Рома ,0,3
4,Катания , Наполи ,0,0
4,Интер , Сиена ,0,2
4,Удинезе , Милан ,2,1
4,Лацио , Дженоа ,0,1
5,Фиорентина , Ювентус ,0,0
5,Пескара , Палермо ,1,0
5,Катания , Аталанта ,2,1
5,Кьево , Интер ,0,2
5,Дженоа , Парма ,1,1
5,Милан , Кальяри ,2,0
5,Наполи , Лацио ,3,0
5,Рома , Сампдория ,1,1
5,Торино , Удинезе ,0,0
5,Сиена , Болонья ,1,0
6,Парма , Милан ,1,1
6,Ювентус , Рома ,4,1
6,Удинезе , Дженоа ,0,0
6,Аталанта , Торино ,1,5
6,Болонья , Катания ,4,0
6,Кальяри , Пескара ,1,2
6,Лацио , Сиена ,2,1
6,Палермо , Кьево ,4,1
6,Сампдория , Наполи ,0,1
6,Интер , Фиорентина ,2,1
7,Кьево , Сампдория ,2,1
7,Дженоа , Палермо ,1,1
7,Рома , Аталанта ,2,0
7,Катания , Парма ,2,0
7,Фиорентина , Болонья ,1,0
7,Пескара , Лацио ,0,3
7,Сиена , Ювентус ,1,2
7,Торино , Кальяри ,0,1
7,Милан , Интер ,0,1
