1,Верона , Рома ,1,1
1,Лацио , Болонья ,2,1
1,Ювентус , Удинезе ,0,1
1,Эмполи , Кьево ,1,3
1,Фиорентина , Милан ,2,0
1,Фрозиноне , Торино ,1,2
1,Интер , Аталанта ,1,0
1,Палермо , Дженоа ,1,0
1,Сампдория , Карпи ,5,2
1,Сассуоло , Наполи ,2,1
2,Болонья , Сассуоло ,0,1
2,Милан , Эмполи ,2,1
2,Рома , Ювентус ,2,1
2,Аталанта , Фрозиноне ,2,0
2,Карпи , Интер ,1,2
2,Кьево , Лацио ,4,0
2,Дженоа , Верона ,2,0
2,Наполи , Сампдория ,2,2
2,Торино , Фиорентина ,3,1
2,Удинезе , Палермо ,0,1
3,Фиорентина , Дженоа ,1,0
3,Фрозиноне , Рома ,0,2
3,Ювентус , Кьево ,1,1
3,Верона , Торино ,2,2
3,Эмполи , Наполи ,2,2
3,Палермо , Карпи ,2,2
3,Сассуоло , Аталанта ,2,2
3,Лацио , Удинезе ,2,0
3,Интер , Милан ,1,0
3,Сампдория , Болонья ,2,0
4,Удинезе , Эмполи ,1,2
4,Милан , Палермо ,3,2
4,Кьево , Интер ,0,1
4,Аталанта , Верона ,1,1
4,Болонья , Фрозиноне ,1,0
4,Дженоа , Ювентус ,0,2
4,Рома , Сассуоло ,2,2
4,Торино , Сампдория ,2,0
4,Карпи , Фиорентина ,0,1
4,Наполи , Лацио ,5,0
5,Удинезе , Милан ,2,3
5,Карпи , Наполи ,0,0
5,Кьево , Торино ,1,0
5,Фиорентина , Болонья ,2,0
5,Интер , Верона ,1,0
5,Ювентус , Фрозиноне ,1,1
5,Лацио , Дженоа ,2,0
5,Палермо , Сассуоло ,0,1
5,Сампдория , Рома ,2,1
5,Эмполи , Аталанта ,0,1
6,Рома , Карпи ,5,1
6,Наполи , Ювентус ,2,1
6,Дженоа , Милан ,1,0
6,Болонья , Удинезе ,1,2
6,Верона , Лацио ,1,2
6,Сассуоло , Кьево ,1,1
6,Торино , Палермо ,2,1
6,Интер , Фиорентина ,1,4
6,Фрозиноне , Эмполи ,2,0
6,Аталанта , Сампдория ,2,1
7,Карпи , Торино ,2,1
7,Кьево , Верона ,1,1
7,Эмполи , Сассуоло ,1,0
7,Палермо , Рома ,2,4
7,Сампдория , Интер ,1,1
7,Удинезе , Дженоа ,1,1
7,Ювентус , Болонья ,3,1
7,Лацио , Фрозиноне ,2,0
7,Фиорентина , Аталанта ,3,0
7,Милан , Наполи ,0,4
8,Рома , Эмполи ,3,1
8,Торино , Милан ,1,1
8,Болонья , Палермо ,0,1
8,Аталанта , Карпи ,3,0
8,Фрозиноне , Сампдория ,2,0
8,Дженоа , Кьево ,3,2
8,Верона , Удинезе ,1,1
8,Наполи , Фиорентина ,2,1
8,Сассуоло , Лацио ,2,1
8,Интер , Ювентус ,0,0
9,Эмполи , Дженоа ,-,- 
9,Карпи , Болонья ,-,- 
9,Палермо , Интер ,-,- 
9,Сампдория , Верона ,-,- 
9,Ювентус , Аталанта ,-,- 
9,Милан , Сассуоло ,-,- 
9,Удинезе , Фрозиноне ,-,- 
