1,Мордовия,Локомотив,2,3
1,ЦСКА,Ростов,1,0
1,Волга,Динамо,1,0
1,Алания,Спартак,1,2
1,Зенит,Амкар,2,0
1,Крылья,Терек,1,1
1,Анжи,Кубань,2,1
1,Краснодар,Рубин,2,1
2,Кубань,Мордовия,1,0
2,Зенит,Динамо,2,0
2,Амкар,ЦСКА,3,1
2,Локомотив,Крылья,2,0
2,Рубин,Алания,3,1
2,Спартак,Волга,2,1
2,Ростов,Анжи,2,2
2,Терек,Краснодар,1,0
3,Мордовия,Ростов,3,0
3,ЦСКА,Зенит,1,3
3,Алания,Терек,5,0
3,Краснодар,Локомотив,3,1
3,Крылья,Кубань,2,1
3,Анжи,Амкар,1,0
3,Динамо,Спартак,0,4
3,Волга,Рубин,1,2
4,Кубань,Краснодар,2,1
4,Зенит,Спартак,5,0
4,Локомотив,Алания,2,2
4,Терек,Волга,2,0
4,Амкар,Мордовия,0,0
4,ЦСКА,Анжи,1,0
4,Рубин,Динамо,2,0
4,Ростов,Крылья,1,2
5,Спартак,Рубин,2,1
5,Волга,Локомотив,0,2
5,Краснодар,Ростов,0,0
5,Динамо,Терек,1,2
5,Мордовия,ЦСКА,0,3
5,Анжи,Зенит,1,1
5,Крылья,Амкар,0,2
5,Алания,Кубань,2,1
6,Локомотив,Динамо,2,3
6,Зенит,Рубин,1,2
6,Терек,Спартак,2,1
6,Ростов,Алания,3,1
6,Амкар,Краснодар,2,2
6,ЦСКА,Крылья,3,0
6,Анжи,Мордовия,4,2
6,Кубань,Волга,6,2
7,Мордовия,Зенит,0,3
7,Рубин,Терек,1,2
7,Волга,Ростов,1,1
7,Алания,Амкар,1,1
7,Краснодар,ЦСКА,0,1
7,Динамо,Кубань,1,2
7,Крылья,Анжи,1,2
7,Локомотив,Спартак,2,1
8,Зенит,Терек,0,2
8,Локомотив,Рубин,1,0
8,Кубань,Спартак,2,2
8,ЦСКА,Алания,2,0
8,Анжи,Краснодар,5,2
8,Ростов,Динамо,1,0
8,Амкар,Волга,3,2
8,Мордовия,Крылья,2,3
9,Краснодар,Мордовия,6,1
9,Волга,ЦСКА,2,3
9,Динамо,Амкар,3,2
9,Крылья,Зенит,2,2
9,Терек,Локомотив,0,3
9,Спартак,Ростов,3,1
9,Рубин,Кубань,1,0
9,Алания,Анжи,0,1
10,Зенит,Локомотив,1,1
10,Амкар,Спартак,1,3
10,Кубань,Терек,2,1
10,ЦСКА,Динамо,0,2
10,Анжи,Волга,2,1
10,Ростов,Рубин,0,4
10,Крылья,Краснодар,2,2
10,Мордовия,Алания,1,1
11,Терек,Ростов,2,1
11,Локомотив,Кубань,0,1
11,Волга,Мордовия,0,2
11,Алания,Крылья,2,2
11,Динамо,Анжи,0,2
11,Рубин,Амкар,0,1
11,Спартак,ЦСКА,0,2
11,Краснодар,Зенит,0,2
12,Анжи,Спартак,2,1
12,Зенит,Кубань,1,0
12,Краснодар,Алания,2,0
12,Амкар,Терек,0,1
12,ЦСКА,Рубин,2,0
12,Мордовия,Динамо,1,2
12,Ростов,Локомотив,0,0
