1,Эспаньол , Вальядолид ,1,0
1,Валенсия , Мальорка ,3,0
1,Атлетик Б , Альмерия ,1,3
1,Атлетико М , Малага ,4,0
1,Бетис , Рекреативо ,0,1
1,Спортинг Хихон , Хетафе ,1,2
1,Расинг , Севилья ,1,1
1,Нумансия , Барселона ,1,0
1,Осасуна , Вильярреал ,1,1
1,Депортиво , Реал Мадрид ,2,1
2,Вальядолид , Атлетико М ,2,1
2,Барселона , Расинг ,1,1
2,Севилья , Спортинг Хихон ,4,3
2,Малага , Атлетик Б ,0,0
2,Рекреативо , Эспаньол ,0,1
2,Хетафе , Бетис ,0,0
2,Вильярреал , Депортиво ,1,0
2,Мальорка , Осасуна ,1,1
2,Реал Мадрид , Нумансия ,4,3
2,Альмерия , Валенсия ,2,2
3,Атлетико М , Рекреативо ,4,0
3,Эспаньол , Хетафе ,1,1
3,Альмерия , Малага ,1,0
3,Атлетик Б , Вальядолид ,2,0
3,Бетис , Севилья ,0,0
3,Нумансия , Вильярреал ,1,2
3,Депортиво , Мальорка ,0,0
3,Валенсия , Осасуна ,1,0
3,Расинг , Реал Мадрид ,0,2
3,Спортинг Хихон , Барселона ,1,6
4,Барселона , Бетис ,3,2
4,Вильярреал , Расинг ,2,0
4,Осасуна , Депортиво ,0,0
4,Хетафе , Атлетико М ,1,2
4,Севилья , Эспаньол ,2,0
4,Реал Мадрид , Спортинг Хихон ,7,1
4,Малага , Валенсия ,0,2
4,Вальядолид , Альмерия ,2,0
4,Рекреативо , Атлетик Б ,1,1
4,Мальорка , Нумансия ,2,0
5,Бетис , Реал Мадрид ,1,2
5,Спортинг Хихон , Вильярреал ,0,1
5,Эспаньол , Барселона ,1,2
5,Альмерия , Рекреативо ,1,0
5,Атлетик Б , Хетафе ,0,1
5,Расинг , Мальорка ,1,2
5,Нумансия , Осасуна ,0,0
5,Малага , Вальядолид ,2,1
5,Валенсия , Депортиво ,4,2
5,Атлетико М , Севилья ,0,1
6,Вильярреал , Бетис ,2,1
6,Барселона , Атлетико М ,6,1
6,Рекреативо , Малага ,0,4
6,Хетафе , Альмерия ,2,2
6,Севилья , Атлетик Б ,4,0
6,Мальорка , Спортинг Хихон ,0,2
6,Осасуна , Расинг ,0,1
6,Депортиво , Нумансия ,1,0
6,Вальядолид , Валенсия ,0,1
6,Реал Мадрид , Эспаньол ,2,2
7,Атлетико М , Реал Мадрид ,1,2
7,Эспаньол , Вильярреал ,0,0
7,Вальядолид , Рекреативо ,1,1
7,Малага , Хетафе ,2,1
7,Бетис , Мальорка ,3,0
7,Спортинг Хихон , Осасуна ,2,1
7,Расинг , Депортиво ,0,0
7,Валенсия , Нумансия ,4,0
7,Атлетик Б , Барселона ,0,1
7,Альмерия , Севилья ,0,1
8,Осасуна , Бетис ,0,2
8,Барселона , Альмерия ,5,0
8,Рекреативо , Валенсия ,1,1
8,Хетафе , Вальядолид ,1,0
8,Севилья , Малага ,0,1
8,Мальорка , Эспаньол ,3,0
8,Депортиво , Спортинг Хихон ,0,3
8,Нумансия , Расинг ,2,1
8,Вильярреал , Атлетико М ,4,4
8,Реал Мадрид , Атлетик Б ,3,2
9,Малага , Барселона ,1,4
9,Атлетик Б , Вильярреал ,1,4
9,Атлетико М , Мальорка ,2,0
9,Валенсия , Расинг ,2,4
