1,Реал Мадрид , Депортиво ,3,2
1,Сарагоса , Тенерифе  ,1,0
1,Атлетик Б , Эспаньол ,1,0
1,Мальорка , Херес ,2,0
1,Осасуна , Вильярреал ,1,1
1,Расинг , Хетафе ,1,4
1,Малага , Атлетико М ,3,0
1,Валенсия , Севилья ,2,0
1,Альмерия , Вальядолид ,0,0
1,Барселона , Спортинг Хихон ,3,0
2,Хетафе , Барселона ,0,2
2,Атлетико М , Расинг ,1,1
2,Эспаньол , Реал Мадрид ,0,3
2,Севилья , Сарагоса ,4,1
2,Депортиво , Малага ,1,0
2,Вильярреал , Мальорка ,1,1
2,Тенерифе  , Осасуна ,2,1
2,Спортинг Хихон , Альмерия ,1,0
2,Вальядолид , Валенсия ,2,4
2,Херес , Атлетик Б ,0,1
3,Депортиво , Эспаньол ,2,3
3,Мальорка , Тенерифе  ,4,0
3,Осасуна , Севилья ,0,2
3,Малага , Расинг ,1,2
3,Барселона , Атлетико М ,5,2
3,Атлетик Б , Вильярреал ,3,2
3,Сарагоса , Вальядолид ,1,2
3,Альмерия , Хетафе ,1,0
3,Реал Мадрид , Херес ,5,0
3,Валенсия , Спортинг Хихон ,2,2
4,Севилья , Мальорка ,2,0
4,Расинг , Барселона ,1,4
4,Эспаньол , Малага ,2,1
4,Херес , Депортиво ,0,3
4,Вильярреал , Реал Мадрид ,0,2
4,Вальядолид , Осасуна ,1,2
4,Атлетико М , Альмерия ,2,2
4,Тенерифе  , Атлетик Б ,1,0
4,Хетафе , Валенсия ,3,1
4,Спортинг Хихон , Сарагоса ,1,1
5,Реал Мадрид , Тенерифе  ,3,0
5,Атлетик Б , Севилья ,0,4
5,Малага , Барселона ,0,2
5,Валенсия , Атлетико М ,2,2
5,Эспаньол , Херес ,0,0
5,Мальорка , Вальядолид ,3,0
5,Осасуна , Спортинг Хихон ,1,0
5,Альмерия , Расинг ,2,2
5,Сарагоса , Хетафе ,3,0
5,Депортиво , Вильярреал ,1,0
6,Тенерифе  , Депортиво ,0,1
6,Барселона , Альмерия ,1,0
6,Атлетико М , Сарагоса ,2,1
6,Херес , Малага ,1,1
6,Вильярреал , Эспаньол ,0,0
6,Вальядолид , Атлетик Б ,2,2
6,Спортинг Хихон , Мальорка ,4,1
6,Хетафе , Осасуна ,2,1
6,Расинг , Валенсия ,0,1
6,Севилья , Реал Мадрид ,2,1
7,Депортиво , Севилья ,1,0
7,Реал Мадрид , Вальядолид ,4,2
7,Валенсия , Барселона ,0,0
7,Херес , Вильярреал ,2,1
7,Эспаньол , Тенерифе  ,2,1
7,Мальорка , Хетафе ,3,1
7,Сарагоса , Расинг ,2,2
7,Малага , Альмерия ,1,2
7,Атлетик Б , Спортинг Хихон ,1,2
7,Осасуна , Атлетико М ,3,0
8,Атлетико М , Мальорка ,1,1
8,Спортинг Хихон , Реал Мадрид ,0,0
8,Севилья , Эспаньол ,0,0
8,Вильярреал , Малага ,2,1
8,Тенерифе  , Херес ,1,0
8,Вальядолид , Депортиво ,4,0
8,Хетафе , Атлетик Б ,2,0
8,Расинг , Осасуна ,1,1
8,Альмерия , Валенсия ,0,3
8,Барселона , Сарагоса ,6,1
9,Реал Мадрид , Хетафе ,2,0
9,Херес , Севилья ,0,2
9,Осасуна , Барселона ,1,1
9,Атлетик Б , Атлетико М ,1,0
9,Вильярреал , Тенерифе  ,5,0
9,Эспаньол , Вальядолид ,1,1
9,Мальорка , Расинг ,1,0
9,Сарагоса , Альмерия ,2,1
9,Малага , Валенсия ,0,1
9,Депортиво , Спортинг Хихон ,1,1
10,Тенерифе  , Малага ,2,2
10,Хетафе , Депортиво ,0,2
10,Барселона , Мальорка ,4,2
10,Атлетико М , Реал Мадрид ,2,3
10,Вальядолид , Херес ,0,0
10,Спортинг Хихон , Эспаньол ,1,0
10,Расинг , Атлетик Б ,0,2
10,Альмерия , Осасуна ,2,0
10,Валенсия , Сарагоса ,3,1
10,Севилья , Вильярреал ,3,2
11,Тенерифе  , Севилья ,1,2
11,Депортиво , Атлетико М ,2,1
11,Реал Мадрид , Расинг ,1,0
11,Атлетик Б , Барселона ,1,1
11,Вильярреал , Вальядолид ,3,1
11,Херес , Спортинг Хихон ,0,0
11,Эспаньол , Хетафе ,0,2
11,Мальорка , Альмерия ,3,1
11,Малага , Сарагоса ,1,1
11,Осасуна , Валенсия ,1,3
12,Спортинг Хихон , Вильярреал ,1,0
12,Валенсия , Мальорка ,1,1
12,Севилья , Малага ,2,2
12,Вальядолид , Тенерифе  ,3,3
12,Хетафе , Херес ,5,1
12,Расинг , Депортиво ,0,1
12,Альмерия , Атлетик Б ,1,4
12,Сарагоса , Осасуна ,0,1
12,Барселона , Реал Мадрид ,1,0
12,Атлетико М , Эспаньол ,4,0
13,Севилья , Вальядолид ,1,1
13,Херес , Атлетико М ,0,2
13,Реал Мадрид , Альмерия ,4,2
13,Депортиво , Барселона ,1,3
13,Тенерифе  , Спортинг Хихон ,2,1
13,Эспаньол , Расинг ,0,4
13,Мальорка , Сарагоса ,4,1
13,Малага , Осасуна ,1,1
13,Вильярреал , Хетафе ,3,2
13,Атлетик Б , Валенсия ,1,2
14,Сарагоса , Атлетик Б ,1,2
14,Барселона , Эспаньол ,1,0
14,Валенсия , Реал Мадрид ,2,3
14,Вальядолид , Малага ,1,1
14,Хетафе , Тенерифе  ,2,1
14,Расинг , Херес ,3,2
14,Альмерия , Депортиво ,1,1
14,Осасуна , Мальорка ,0,1
14,Атлетико М , Вильярреал ,1,2
14,Спортинг Хихон , Севилья ,0,1
15,Херес , Барселона ,0,2
15,Атлетик Б , Осасуна ,2,0
15,Севилья , Хетафе ,1,2
15,Реал Мадрид , Сарагоса ,6,0
15,Вальядолид , Спортинг Хихон ,2,1
15,Вильярреал , Расинг ,2,0
15,Эспаньол , Альмерия ,2,0
15,Малага , Мальорка ,2,1
