1,Эспаньол , Гранада ,3,0
1,Расинг , Хетафе ,1,2
1,Реал Сосьедад , Атлетико М ,0,4
1,Бетис , Севилья ,1,1
1,Осасуна , Валенсия ,1,1
1,Райо Вальекано , Мальорка ,0,1
1,Малага , Барселона ,1,4
1,Леванте , Сарагоса ,0,0
1,Реал Мадрид , Атлетик Б ,4,1
1,Вильярреал , Спортинг Хихон ,3,0
2,Спортинг Хихон , Реал Сосьедад ,1,2
2,Валенсия , Расинг ,4,3
2,Гранада , Бетис ,0,1
2,Атлетико М , Осасуна ,0,0
2,Атлетик Б , Райо Вальекано ,1,1
2,Мальорка , Эспаньол ,1,0
2,Хетафе , Леванте ,1,1
2,Сарагоса , Реал Мадрид ,0,6
2,Севилья , Малага ,2,1
2,Барселона , Вильярреал ,5,0
3,Реал Сосьедад , Барселона ,2,2
3,Вильярреал , Севилья ,2,2
3,Реал Мадрид , Хетафе ,4,2
3,Валенсия , Атлетико М ,1,0
3,Бетис , Мальорка ,1,0
3,Расинг , Леванте ,0,0
3,Осасуна , Спортинг Хихон ,2,1
3,Райо Вальекано , Сарагоса ,0,0
3,Эспаньол , Атлетик Б ,2,1
3,Малага , Гранада ,4,0
4,Спортинг Хихон , Валенсия ,0,1
4,Гранада , Вильярреал ,1,0
4,Мальорка , Малага ,0,1
4,Барселона , Осасуна ,8,0
4,Севилья , Реал Сосьедад ,1,0
4,Хетафе , Райо Вальекано ,0,1
4,Сарагоса , Эспаньол ,2,1
4,Атлетико М , Расинг ,4,0
4,Леванте , Реал Мадрид ,1,0
4,Атлетик Б , Бетис ,2,3
5,Осасуна , Севилья ,0,0
5,Реал Сосьедад , Гранада ,1,0
5,Вильярреал , Мальорка ,2,0
5,Атлетико М , Спортинг Хихон ,4,0
5,Малага , Атлетик Б ,1,0
5,Райо Вальекано , Леванте ,1,2
5,Расинг , Реал Мадрид ,0,0
5,Валенсия , Барселона ,2,2
5,Эспаньол , Хетафе ,1,0
5,Бетис , Сарагоса ,4,3
6,Севилья , Валенсия ,1,0
6,Атлетик Б , Вильярреал ,1,1
6,Реал Мадрид , Райо Вальекано ,6,2
6,Барселона , Атлетико М ,5,0
6,Мальорка , Реал Сосьедад ,2,1
6,Леванте , Эспаньол ,3,1
6,Гранада , Осасуна ,1,1
6,Спортинг Хихон , Расинг ,0,0
6,Сарагоса , Малага ,0,0
6,Хетафе , Бетис ,1,0
7,Осасуна , Мальорка ,2,2
