"03.09.2014, 17:00 ",Металлург Мг , Динамо М ,6,1,
"04.09.2014, 12:00 ",Амур , Адмирал ,5,4,
"04.09.2014, 16:00 ",Авангард , Металлург Нк ,0,1,
"04.09.2014, 17:00 ",Барыс , Салават Юлаев ,5,4,
"04.09.2014, 19:00 ",Ак Барс , Автомобилист ,3,2,
"04.09.2014, 19:00 ",Лада , Югра ,2,5,
"04.09.2014, 19:00 ",Нефтехимик , Трактор ,4,1,
"04.09.2014, 19:00 ",Северсталь , Торпедо ,0,2,
"04.09.2014, 19:30 ",СКА , Локомотив ,5,3,
"04.09.2014, 19:30 ",Йокерит , Динамо Мн ,4,5,  ОТ 
"04.09.2014, 21:00 ",Слован , Медвешчак ,5,2,
"05.09.2014, 19:30 ",Динамо М , ЦСКА ,1,4,
"06.09.2014, 14:00 ",Авангард , Адмирал ,4,2,
"06.09.2014, 14:00 ",Сибирь , Металлург Нк ,6,1,
"06.09.2014, 15:00 ",Автомобилист , Медвешчак ,3,2,
"06.09.2014, 15:00 ",Барыс , Амур ,3,2,  Б 
"06.09.2014, 15:00 ",Металлург Мг , Слован ,2,3,
"06.09.2014, 15:00 ",Салават Юлаев , Витязь ,6,1,
"06.09.2014, 17:00 ",Ак Барс , Атлант ,1,4,
"06.09.2014, 17:00 ",Северсталь , Трактор ,2,3,
"06.09.2014, 17:00 ",Торпедо , Югра ,1,3,
"06.09.2014, 17:00 ",СКА , ХК Сочи ,3,2,
"06.09.2014, 18:00 ",Динамо Р , Динамо Мн ,4,2,
"06.09.2014, 18:00 ",Йокерит , Локомотив ,3,2,
"08.09.2014, 16:00 ",Авангард , Витязь ,8,5,
"08.09.2014, 17:00 ",Автомобилист , Слован ,1,3,
"08.09.2014, 17:00 ",Барыс , Адмирал ,4,0,
"08.09.2014, 17:00 ",Металлург Мг , Атлант ,4,1,
"08.09.2014, 17:00 ",Салават Юлаев , Амур ,3,5,
"08.09.2014, 19:00 ",Ак Барс , Медвешчак ,4,2,
"08.09.2014, 19:00 ",Лада , Нефтехимик ,4,3,  ОТ 
"08.09.2014, 19:00 ",Северсталь , Динамо М ,2,3,
"08.09.2014, 19:00 ",ЦСКА , Югра ,4,3,
"08.09.2014, 19:30 ",Торпедо , Трактор ,4,5,  Б 
"08.09.2014, 19:30 ",СКА , Динамо Мн ,5,2,
"08.09.2014, 19:30 ",Йокерит , ХК Сочи ,3,0,
"08.09.2014, 20:30 ",Динамо Р , Локомотив ,2,5,
"09.09.2014, 16:00 ",Металлург Нк , Сибирь ,2,3,  ОТ 
"10.09.2014, 16:00 ",Авангард , Амур ,4,1,
"10.09.2014, 17:00 ",Автомобилист , Атлант ,3,4,  Б 
"10.09.2014, 17:00 ",Барыс , Витязь ,0,2,
"10.09.2014, 17:00 ",Металлург Мг , Медвешчак ,6,0,
"10.09.2014, 17:00 ",Салават Юлаев , Адмирал ,6,4,
"10.09.2014, 19:00 ",Северсталь , Югра ,4,2,
"10.09.2014, 19:30 ",Ак Барс , Слован ,4,3,
"10.09.2014, 19:30 ",ЦСКА , Трактор ,2,0,
