"24.08.2015, 19:30 ",СКА , ЦСКА ,3,4,  ОТ 
"25.08.2015, 16:30 ",Авангард , Салават Юлаев ,4,2,
"25.08.2015, 16:30 ",Барыс , Металлург Мг ,1,2,
"25.08.2015, 18:30 ",Йокерит , Северсталь ,3,2,
"25.08.2015, 19:00 ",Торпедо , Локомотив ,3,2,  Б 
"25.08.2015, 19:30 ",Спартак , Динамо Мн ,4,3,  ОТ 
"25.08.2015, 19:30 ",ХК Сочи , Лада ,4,2,
"25.08.2015, 19:30 ",Динамо Р , Ак Барс ,3,1,
"26.08.2015, 17:00 ",Трактор , Автомобилист ,2,1,  Б 
"26.08.2015, 19:30 ",Нефтехимик , Югра ,2,1,
"26.08.2015, 19:30 ",Витязь , Металлург Нк ,2,1,  Б 
"26.08.2015, 19:30 ",Динамо М , Сибирь ,4,3,  ОТ 
"26.08.2015, 20:30 ",Слован , Адмирал ,1,3,
"26.08.2015, 20:30 ",Медвешчак , Амур ,2,3,  Б 
"27.08.2015, 16:30 ",Авангард , Металлург Мг ,3,4,  Б 
"27.08.2015, 16:30 ",Барыс , Салават Юлаев ,5,3,
"27.08.2015, 18:30 ",Йокерит , Торпедо ,5,1,
"27.08.2015, 19:00 ",Локомотив , Лада ,2,0,
"27.08.2015, 19:30 ",СКА , Динамо Мн ,2,1,
"27.08.2015, 19:30 ",ХК Сочи , Ак Барс ,0,1,
"27.08.2015, 19:30 ",ЦСКА , Спартак ,5,2,
"27.08.2015, 19:30 ",Динамо Р , Северсталь ,2,3,  ОТ 
"28.08.2015, 17:00 ",Трактор , Югра ,3,5,
"28.08.2015, 19:30 ",Нефтехимик , Автомобилист ,1,2,
"28.08.2015, 19:30 ",Витязь , Сибирь ,1,5,
"28.08.2015, 19:30 ",Динамо М , Металлург Нк ,4,3,
"28.08.2015, 20:30 ",Слован , Амур ,0,1,
"28.08.2015, 20:30 ",Медвешчак , Адмирал ,3,1,
"29.08.2015, 16:00 ",Йокерит , ЦСКА ,3,0,
"29.08.2015, 17:00 ",Локомотив , Ак Барс ,3,1,
"29.08.2015, 17:00 ",СКА , Торпедо ,1,3,
"29.08.2015, 17:00 ",Спартак , Лада ,1,3,
"30.08.2015, 14:30 ",Металлург Мг , Автомобилист ,1,2,
"30.08.2015, 14:30 ",Салават Юлаев , Югра ,4,2,
"30.08.2015, 14:30 ",Трактор , Авангард ,1,2,
"30.08.2015, 17:00 ",Нефтехимик , Барыс ,5,2,
"30.08.2015, 17:00 ",Витязь , Адмирал ,5,4,  ОТ 
"30.08.2015, 17:00 ",Динамо Мн , Динамо Р ,0,4,
"30.08.2015, 17:00 ",Динамо М , Амур ,7,2,
"30.08.2015, 18:30 ",Слован , Металлург Нк ,6,0,
"30.08.2015, 18:30 ",Медвешчак , Сибирь ,4,2,
