"09.10.2014, 03:00 ",Торонто Мэйпл Лифс , Монреаль Канадиенс ,3,4,
"09.10.2014, 03:30 ",Бостон Брюинз , Филадельфия Флайерз ,2,1,
"09.10.2014, 06:00 ",Калгари Флэймз , Ванкувер Кэнакс ,2,4,
"09.10.2014, 06:00 ",Лос-Анджелес Кингз , Сан-Хосе Шаркс ,0,4,
"10.10.2014, 03:00 ",Баффало Сэйбрз , Коламбус Блю Джекетс ,1,3,
"10.10.2014, 03:00 ",Филадельфия Флайерз , Нью-Джерси Дэвилз ,4,6,
"10.10.2014, 03:00 ",Питтсбург Пингвинз , Анахайм Дакс ,6,4,
"10.10.2014, 03:00 ",Вашингтон Кэпиталз , Монреаль Канадиенс ,1,2,  Б 
"10.10.2014, 03:30 ",Детройт Ред Уингз , Бостон Брюинз ,2,1,
"10.10.2014, 03:30 ",Тампа-Бэй Лайтнинг , Флорида Пантерз ,3,2,  ОТ 
"10.10.2014, 04:00 ",Сент-Луис Блюз , Нью-Йорк Рейнджерс ,2,3,
"10.10.2014, 04:00 ",Нэшвилл Предаторз , Оттава Сенаторз ,3,2,
"10.10.2014, 04:30 ",Даллас Старз , Чикаго Блэкхоукс ,2,3,  Б 
"10.10.2014, 05:00 ",Миннесота Уайлд , Колорадо Эвеланш ,5,0,
"10.10.2014, 05:30 ",Эдмонтон Ойлерз , Калгари Флэймз ,2,5,
"10.10.2014, 06:00 ",Аризона Койотс , Виннипег Джетс ,2,6,
"11.10.2014, 03:00 ",Каролина Харрикейнз , Нью-Йорк Айлендерс ,3,5,
"12.10.2014, 03:00 ",Бостон Брюинз , Вашингтон Кэпиталз ,0,4,
"12.10.2014, 03:00 ",Торонто Мэйпл Лифс , Питтсбург Пингвинз ,2,5,
"12.10.2014, 03:00 ",Детройт Ред Уингз , Анахайм Дакс ,2,3,
"12.10.2014, 03:00 ",Тампа-Бэй Лайтнинг , Оттава Сенаторз ,2,3,  Б 
"12.10.2014, 03:00 ",Флорида Пантерз , Нью-Джерси Дэвилз ,1,5,
"12.10.2014, 03:00 ",Нью-Йорк Айлендерс , Каролина Харрикейнз ,4,3,
"12.10.2014, 03:00 ",Филадельфия Флайерз , Монреаль Канадиенс ,3,4,  Б 
"12.10.2014, 03:00 ",Коламбус Блю Джекетс , Нью-Йорк Рейнджерс ,5,2,
"12.10.2014, 03:00 ",Сент-Луис Блюз , Калгари Флэймз ,4,1,
"12.10.2014, 04:00 ",Нэшвилл Предаторз , Даллас Старз ,4,1,
"12.10.2014, 04:30 ",Чикаго Блэкхоукс , Баффало Сэйбрз ,6,2,
"12.10.2014, 05:00 ",Колорадо Эвеланш , Миннесота Уайлд ,0,3,
"12.10.2014, 05:00 ",Аризона Койотс , Лос-Анджелес Кингз ,3,2,  ОТ 
"12.10.2014, 06:00 ",Ванкувер Кэнакс , Эдмонтон Ойлерз ,5,4,  Б 
"12.10.2014, 06:00 ",Сан-Хосе Шаркс , Виннипег Джетс ,3,0,
"13.10.2014, 03:00 ",Нью-Йорк Рейнджерс , Торонто Мэйпл Лифс ,3,6,
"13.10.2014, 06:00 ",Лос-Анджелес Кингз , Виннипег Джетс ,4,1,
"13.10.2014, 21:00 ",Бостон Брюинз , Колорадо Эвеланш ,1,2,
"13.10.2014, 23:00 ",Баффало Сэйбрз , Анахайм Дакс ,1,5,
"14.10.2014, 03:30 ",Флорида Пантерз , Оттава Сенаторз ,0,1,
"14.10.2014, 03:30 ",Тампа-Бэй Лайтнинг , Монреаль Канадиенс ,7,1,
"15.10.2014, 03:00 ",Нью-Йорк Рейнджерс , Нью-Йорк Айлендерс ,3,6,
"15.10.2014, 03:00 ",Филадельфия Флайерз , Анахайм Дакс ,3,4,  Б 
"15.10.2014, 03:00 ",Вашингтон Кэпиталз , Сан-Хосе Шаркс ,5,6,  Б 
"15.10.2014, 03:00 ",Коламбус Блю Джекетс , Даллас Старз ,2,4,
"15.10.2014, 03:30 ",Каролина Харрикейнз , Баффало Сэйбрз ,3,4,  Б 
