"08.09.2015, 17:00 ",Торос , Ижсталь ,2,4,
"09.09.2015, 14:00 ",Ермак , Сокол ,3,2,  Б 
"09.09.2015, 16:30 ",Зауралье , Рубин ,3,1,
"09.09.2015, 17:00 ",Молот-Прикамье , Спутник ,5,3,
"09.09.2015, 18:30 ",ХК Саров , Ариада ,3,2,
"09.09.2015, 19:00 ",Динамо , Торпедо ,4,2,
"09.09.2015, 19:00 ",ТХК , СКА-Нева ,2,1,
"09.09.2015, 19:00 ",Звезда-ВДВ , Сарыарка ,0,10,
"10.09.2015, 17:00 ",Торос , Кристалл ,8,1,
"10.09.2015, 17:30 ",Ижсталь , Дизель ,3,2,  Б 
"10.09.2015, 18:30 ",Нефтяник , Южный Урал ,1,2,
"10.09.2015, 18:30 ",Химик , Буран ,0,2,
"10.09.2015, 19:00 ",ХК Рязань , Звезда ,2,0,
"10.09.2015, 19:00 ",Барс , Челмет ,3,4,
"11.09.2015, 19:00 ",Звезда-ВДВ , Торпедо ,1,2,  ОТ 
"11.09.2015, 19:00 ",Динамо , Сарыарка ,1,2,
"12.09.2015, 15:00 ",Торос , Дизель ,4,1,
"12.09.2015, 16:00 ",Ижсталь , Кристалл ,6,2,
"12.09.2015, 17:00 ",Нефтяник , Челмет ,6,0,
"12.09.2015, 17:00 ",Химик , Звезда ,2,3,
"12.09.2015, 17:00 ",ХК Рязань , Буран ,3,6,
"12.09.2015, 17:00 ",Барс , Южный Урал ,4,3,
"13.09.2015, 17:00 ",Звезда-ВДВ , Сокол ,0,3,
"13.09.2015, 17:00 ",Динамо , Ермак ,4,3,
"13.09.2015, 17:00 ",СКА-Нева , Сарыарка ,4,2,
"13.09.2015, 17:00 ",ТХК , Торпедо ,3,1,
"14.09.2015, 17:00 ",Спутник , Дизель ,2,3,  Б 
"14.09.2015, 17:00 ",Молот-Прикамье , Кристалл ,6,1,
"14.09.2015, 18:30 ",Нефтяник , Зауралье ,0,2,
"14.09.2015, 18:30 ",Ариада , Челмет ,4,5,
"14.09.2015, 18:30 ",ХК Саров , Южный Урал ,3,4,  Б 
"14.09.2015, 19:00 ",Барс , Рубин ,3,5,
"15.09.2015, 15:00 ",СКА-Нева , Торпедо ,4,3,
"15.09.2015, 19:00 ",Звезда-ВДВ , Ермак ,2,5,
"15.09.2015, 19:00 ",Динамо , Сокол ,2,1,
"15.09.2015, 19:00 ",ТХК , Сарыарка ,4,0,
"16.09.2015, 17:00 ",Спутник , Кристалл ,5,4,
"16.09.2015, 17:00 ",Молот-Прикамье , Дизель ,2,4,
"16.09.2015, 17:00 ",Барс , Зауралье ,2,3,  ОТ 
"16.09.2015, 18:30 ",Нефтяник , Рубин ,5,4,  Б 
"16.09.2015, 18:30 ",Ариада , Южный Урал ,4,3,
"16.09.2015, 18:30 ",ХК Саров , Челмет ,2,1,  Б 
"16.09.2015, 19:00 ",ХК Рязань , Химик ,5,2,
"17.09.2015, 19:00 ",СКА-Нева , Сокол ,3,0,
"17.09.2015, 19:00 ",ТХК , Ермак ,0,1,
"18.09.2015, 18:30 ",Ариада , Рубин ,3,4,  Б 
"18.09.2015, 18:30 ",ХК Саров , Зауралье ,1,0,
"19.09.2015, 17:00 ",Звезда , Буран ,1,3,
"19.09.2015, 17:00 ",СКА-Нева , Ермак ,1,0,
"19.09.2015, 17:00 ",ТХК , Сокол ,1,2,
"20.09.2015, 14:00 ",Торпедо , Торос ,5,3,
"20.09.2015, 14:00 ",Сарыарка , Ижсталь ,0,3,
"20.09.2015, 17:00 ",Ариада , Зауралье ,1,0,
"20.09.2015, 17:00 ",Химик , Динамо ,1,4,
"20.09.2015, 17:00 ",ХК Рязань , Звезда-ВДВ ,8,0,
"20.09.2015, 17:00 ",ХК Саров , Рубин ,3,1,
"21.09.2015, 19:00 ",Кристалл , Барс ,2,3,
"21.09.2015, 19:00 ",Дизель , Нефтяник ,2,3,
"22.09.2015, 15:30 ",Торпедо , Ижсталь ,1,0,
"22.09.2015, 16:00 ",Сарыарка , Торос ,1,3,
"22.09.2015, 18:30 ",Химик , Звезда-ВДВ ,3,4,
"22.09.2015, 19:00 ",ХК Рязань , Динамо ,3,1,
"23.09.2015, 19:00 ",Кристалл , Нефтяник ,1,4,
"23.09.2015, 19:00 ",Дизель , Барс ,3,0,
"24.09.2015, 14:00 ",Ермак , Торос ,1,2,
"24.09.2015, 14:00 ",Торпедо , Молот-Прикамье ,3,4,
"24.09.2015, 14:00 ",Сарыарка , Спутник ,2,3,  Б 
"24.09.2015, 15:00 ",Сокол , Ижсталь ,2,3,  ОТ 
"24.09.2015, 16:30 ",Челмет , Южный Урал ,4,3,  Б 
"24.09.2015, 19:00 ",Буран , Динамо ,1,2,  Б 
"24.09.2015, 19:00 ",Звезда , Звезда-ВДВ ,4,1,
"25.09.2015, 18:30 ",Химик , ТХК ,1,3,
"25.09.2015, 19:00 ",ХК Рязань , СКА-Нева ,0,1,  Б 
"26.09.2015, 12:00 ",Ермак , Ижсталь ,5,3,
"26.09.2015, 13:00 ",Сокол , Торос ,1,3,
"26.09.2015, 14:00 ",Торпедо , Спутник ,4,5,  Б 
"26.09.2015, 14:00 ",Сарыарка , Молот-Прикамье ,3,2,  Б 
"26.09.2015, 17:00 ",Буран , Звезда-ВДВ ,4,2,
"26.09.2015, 17:00 ",Звезда , Динамо ,4,3,  Б 
"26.09.2015, 17:00 ",Барс , Нефтяник ,0,2,
"27.09.2015, 15:00 ",Рубин , Челмет ,3,2,  Б 
"27.09.2015, 15:00 ",Зауралье , Южный Урал ,2,3,  Б 
"27.09.2015, 17:00 ",Кристалл , ХК Саров ,5,2,
"27.09.2015, 17:00 ",Дизель , Ариада ,1,4,
"27.09.2015, 17:00 ",Химик , СКА-Нева ,2,1,
"27.09.2015, 17:00 ",ХК Рязань , ТХК ,1,4,
"28.09.2015, 14:00 ",Ермак , Молот-Прикамье ,3,0,
"28.09.2015, 15:00 ",Сокол , Спутник ,3,2,
"29.09.2015, 16:30 ",Зауралье , Челмет ,3,0,
"29.09.2015, 17:00 ",Рубин , Южный Урал ,4,3,
"29.09.2015, 19:00 ",Кристалл , Ариада ,5,4,
"29.09.2015, 19:00 ",Звезда , СКА-Нева ,6,3,
"29.09.2015, 19:00 ",Буран , ТХК ,1,2,
"29.09.2015, 19:00 ",Дизель , ХК Саров ,2,4,
"30.09.2015, 14:00 ",Ермак , Спутник ,3,2,
"30.09.2015, 15:00 ",Сокол , Молот-Прикамье ,2,5,
"01.10.2015, 18:00 ",Звезда , ТХК ,1,4,
"01.10.2015, 18:30 ",Нефтяник , Сарыарка ,3,2,  ОТ 
"01.10.2015, 19:00 ",Буран , СКА-Нева ,0,2,
"01.10.2015, 19:00 ",Барс , Торпедо ,1,2,
"02.10.2015, 17:00 ",Торос , Химик ,3,1,
"02.10.2015, 17:30 ",Ижсталь , ХК Рязань ,3,2,
"02.10.2015, 19:00 ",Звезда-ВДВ , Динамо ,3,4,
"03.10.2015, 17:00 ",Нефтяник , Торпедо ,3,2,
"03.10.2015, 17:00 ",Барс , Сарыарка ,1,3,
"04.10.2015, 15:00 ",Южный Урал , Дизель ,3,2,  Б 
"04.10.2015, 15:00 ",Торос , ХК Рязань ,0,1,  Б 
"04.10.2015, 15:00 ",Челмет , Кристалл ,3,2,
"04.10.2015, 16:00 ",Ижсталь , Химик ,4,3,
"05.10.2015, 18:30 ",Ариада , Торпедо ,2,3,
"05.10.2015, 18:30 ",Нефтяник , Сокол ,2,1,
"05.10.2015, 18:30 ",ХК Саров , Сарыарка ,3,1,
"05.10.2015, 19:00 ",Барс , Ермак ,2,3,
"06.10.2015, 16:30 ",Южный Урал , Кристалл ,3,2,
"06.10.2015, 16:30 ",Челмет , Дизель ,6,0,
"06.10.2015, 17:00 ",Молот-Прикамье , Химик ,1,3,
"06.10.2015, 17:00 ",Спутник , ХК Рязань ,2,3,  ОТ 
"06.10.2015, 17:00 ",Торос , Буран ,2,3,  ОТ 
"06.10.2015, 17:30 ",Ижсталь , Звезда ,4,3,
"06.10.2015, 19:00 ",СКА-Нева , Звезда-ВДВ ,4,1,
"06.10.2015, 19:00 ",ТХК , Динамо ,2,3,
"07.10.2015, 17:00 ",Барс , Сокол ,3,7,
"07.10.2015, 18:30 ",Ариада , Сарыарка ,2,3,  ОТ 
"07.10.2015, 18:30 ",Нефтяник , Ермак ,0,5,
"07.10.2015, 18:30 ",ХК Саров , Торпедо ,0,1,
"08.10.2015, 16:30 ",Зауралье , Дизель ,0,1,
"08.10.2015, 17:00 ",Спутник , Химик ,3,2,  Б 
"08.10.2015, 17:00 ",Молот-Прикамье , ХК Рязань ,4,2,
"08.10.2015, 17:00 ",Рубин , Кристалл ,1,2,
"08.10.2015, 17:00 ",Торос , Звезда ,2,3,  ОТ 
"08.10.2015, 17:30 ",Ижсталь , Буран ,4,3,
"08.10.2015, 19:00 ",СКА-Нева , Динамо ,1,2,  ОТ 
"08.10.2015, 19:00 ",ТХК , Звезда-ВДВ ,7,0,
"09.10.2015, 18:30 ",Ариада , Ермак ,2,1,
"09.10.2015, 18:30 ",ХК Саров , Сокол ,3,2,
"10.10.2015, 15:00 ",Зауралье , Кристалл ,3,0,
"10.10.2015, 15:00 ",Молот-Прикамье , Буран ,5,3,
"10.10.2015, 15:00 ",Рубин , Дизель ,0,3,
"10.10.2015, 15:00 ",Спутник , Звезда ,6,0,
"11.10.2015, 17:00 ",Ариада , Сокол ,5,1,
"11.10.2015, 17:00 ",ХК Саров , Ермак ,2,3,
"12.10.2015, 17:00 ",Спутник , Буран ,2,4,
"12.10.2015, 17:00 ",Молот-Прикамье , Звезда ,4,1,
"12.10.2015, 18:30 ",Химик , Барс ,2,3,  Б 
"12.10.2015, 19:00 ",Звезда-ВДВ , Ижсталь ,0,1,
"12.10.2015, 19:00 ",Динамо , Торос ,3,4,  Б 
"12.10.2015, 19:00 ",ХК Рязань , Нефтяник ,7,3,
"13.10.2015, 15:30 ",Торпедо , Челмет ,2,3,
"13.10.2015, 16:00 ",Сарыарка , Южный Урал ,1,2,
"14.10.2015, 18:30 ",Химик , Нефтяник ,3,5,
"14.10.2015, 19:00 ",Динамо , Ижсталь ,3,1,
"14.10.2015, 19:00 ",Звезда-ВДВ , Торос ,0,3,
"14.10.2015, 19:00 ",ХК Рязань , Барс ,1,2,  Б 
"15.10.2015, 15:30 ",Торпедо , Южный Урал ,3,1,
"15.10.2015, 16:00 ",Сарыарка , Челмет ,3,0,
"16.10.2015, 18:30 ",Химик , ХК Саров ,0,2,
"16.10.2015, 19:00 ",Буран , Барс ,2,3,
"16.10.2015, 19:00 ",Динамо , Молот-Прикамье ,1,5,
"16.10.2015, 19:00 ",Звезда , Нефтяник ,1,3,
"16.10.2015, 19:00 ",СКА-Нева , Ижсталь ,1,3,
"16.10.2015, 19:00 ",ТХК , Торос ,4,1,
"16.10.2015, 19:00 ",Звезда-ВДВ , Спутник ,1,3,
"16.10.2015, 19:00 ",ХК Рязань , Ариада ,2,1,  ОТ 
"17.10.2015, 12:00 ",Ермак , Челмет ,2,3,  Б 
"17.10.2015, 13:00 ",Сокол , Южный Урал ,5,3,
"17.10.2015, 14:00 ",Торпедо , Рубин ,2,1,
"17.10.2015, 14:00 ",Сарыарка , Зауралье ,2,3,
"17.10.2015, 17:00 ",Кристалл , Дизель ,2,3,
"18.10.2015, 17:00 ",Звезда-ВДВ , Молот-Прикамье ,1,4,
"18.10.2015, 17:00 ",Буран , Нефтяник ,5,4,  ОТ 
"18.10.2015, 17:00 ",Динамо , Спутник ,4,3,
"18.10.2015, 17:00 ",Звезда , Барс ,1,2,  ОТ 
"18.10.2015, 17:00 ",СКА-Нева , Торос ,3,1,
"18.10.2015, 17:00 ",ТХК , Ижсталь ,2,1,  Б 
"18.10.2015, 17:00 ",Химик , Ариада ,6,1,
"18.10.2015, 17:00 ",ХК Рязань , ХК Саров ,1,2,  Б 
"19.10.2015, 14:00 ",Ермак , Южный Урал ,7,3,
"19.10.2015, 15:00 ",Сокол , Челмет ,4,1,
"19.10.2015, 15:30 ",Торпедо , Зауралье ,1,3,
"19.10.2015, 16:00 ",Сарыарка , Рубин ,2,1,  ОТ 
"20.10.2015, 19:00 ",Буран , ХК Саров ,2,0,
