1,Тоттенхэм Хотспур , Манчестер Сити ,0,0
1,Астон Вилла , Вест Хэм Юнайтед ,3,0
1,Блэкберн Роверс , Эвертон ,1,0
1,Уиган Атлетик , Блэкпул ,0,4
1,Болтон Уондерерс , Фулхэм ,0,0
1,Сандерленд , Бирмингем Сити ,2,2
1,Вулверхэмптон , Сток Сити ,2,1
1,Челси , Вест Бромвич Альбион ,6,0
1,Ливерпуль , Арсенал ,1,1
1,Манчестер Юнайтед , Ньюкасл Юнайтед ,3,0
2,Арсенал , Блэкпул ,6,0
2,Бирмингем Сити , Блэкберн Роверс ,2,1
2,Эвертон , Вулверхэмптон ,1,1
2,Сток Сити , Тоттенхэм Хотспур ,1,2
2,Вест Бромвич Альбион , Сандерленд ,1,0
2,Вест Хэм Юнайтед , Болтон Уондерерс ,1,3
2,Уиган Атлетик , Челси ,0,6
2,Ньюкасл Юнайтед , Астон Вилла ,6,0
2,Фулхэм , Манчестер Юнайтед ,2,2
2,Манчестер Сити , Ливерпуль ,3,0
3,Блэкберн Роверс , Арсенал ,1,2
3,Блэкпул , Фулхэм ,2,2
3,Челси , Сток Сити ,2,0
3,Тоттенхэм Хотспур , Уиган Атлетик ,0,1
3,Вулверхэмптон , Ньюкасл Юнайтед ,1,1
3,Манчестер Юнайтед , Вест Хэм Юнайтед ,3,0
3,Болтон Уондерерс , Бирмингем Сити ,2,2
3,Ливерпуль , Вест Бромвич Альбион ,1,0
3,Сандерленд , Манчестер Сити ,1,0
3,Астон Вилла , Эвертон ,1,0
4,Эвертон , Манчестер Юнайтед ,3,3
4,Арсенал , Болтон Уондерерс ,4,1
4,Фулхэм , Вулверхэмптон ,2,1
4,Манчестер Сити , Блэкберн Роверс ,1,1
4,Ньюкасл Юнайтед , Блэкпул ,0,2
4,Вест Бромвич Альбион , Тоттенхэм Хотспур ,1,1
4,Вест Хэм Юнайтед , Челси ,1,3
4,Уиган Атлетик , Сандерленд ,1,1
4,Бирмингем Сити , Ливерпуль ,0,0
4,Сток Сити , Астон Вилла ,2,1
5,Сток Сити , Вест Хэм Юнайтед ,1,1
5,Астон Вилла , Болтон Уондерерс ,1,1
5,Блэкберн Роверс , Фулхэм ,1,1
5,Эвертон , Ньюкасл Юнайтед ,0,1
5,Тоттенхэм Хотспур , Вулверхэмптон ,3,1
5,Вест Бромвич Альбион , Бирмингем Сити ,3,1
5,Сандерленд , Арсенал ,1,1
5,Манчестер Юнайтед , Ливерпуль ,3,2
5,Уиган Атлетик , Манчестер Сити ,0,2
5,Челси , Блэкпул ,4,0
6,Манчестер Сити , Челси ,1,0
6,Арсенал , Вест Бромвич Альбион ,2,3
6,Бирмингем Сити , Уиган Атлетик ,0,0
6,Блэкпул , Блэкберн Роверс ,1,2
6,Фулхэм , Эвертон ,0,0
6,Ливерпуль , Сандерленд ,2,2
6,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,1,0
6,Болтон Уондерерс , Манчестер Юнайтед ,2,2
6,Вулверхэмптон , Астон Вилла ,1,2
6,Ньюкасл Юнайтед , Сток Сити ,1,2
7,Уиган Атлетик , Вулверхэмптон ,2,0
7,Бирмингем Сити , Эвертон ,0,2
7,Сток Сити , Блэкберн Роверс ,1,0
7,Сандерленд , Манчестер Юнайтед ,0,0
7,Тоттенхэм Хотспур , Астон Вилла ,2,1
7,Вест Бромвич Альбион , Болтон Уондерерс ,1,1
7,Вест Хэм Юнайтед , Фулхэм ,1,1
7,Манчестер Сити , Ньюкасл Юнайтед ,2,1
7,Ливерпуль , Блэкпул ,1,2
7,Челси , Арсенал ,2,0
8,Арсенал , Бирмингем Сити ,2,1
8,Болтон Уондерерс , Сток Сити ,2,1
8,Фулхэм , Тоттенхэм Хотспур ,1,2
8,Манчестер Юнайтед , Вест Бромвич Альбион ,2,2
8,Ньюкасл Юнайтед , Уиган Атлетик ,2,2
8,Вулверхэмптон , Вест Хэм Юнайтед ,1,1
8,Астон Вилла , Челси ,0,0
8,Эвертон , Ливерпуль ,2,0
8,Блэкпул , Манчестер Сити ,2,3
8,Блэкберн Роверс , Сандерленд ,0,0
9,Тоттенхэм Хотспур , Эвертон ,1,1
9,Бирмингем Сити , Блэкпул ,2,0
9,Челси , Вулверхэмптон ,2,0
9,Сандерленд , Астон Вилла ,1,0
9,Вест Бромвич Альбион , Фулхэм ,2,1
9,Уиган Атлетик , Болтон Уондерерс ,1,1
9,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,1,2
9,Сток Сити , Манчестер Юнайтед ,1,2
9,Ливерпуль , Блэкберн Роверс ,2,1
9,Манчестер Сити , Арсенал ,0,3
10,Арсенал , Вест Хэм Юнайтед ,1,0
10,Блэкберн Роверс , Челси ,1,2
10,Эвертон , Сток Сити ,1,0
10,Фулхэм , Уиган Атлетик ,2,0
10,Вулверхэмптон , Манчестер Сити ,2,1
10,Манчестер Юнайтед , Тоттенхэм Хотспур ,2,0
10,Астон Вилла , Бирмингем Сити ,0,0
10,Ньюкасл Юнайтед , Сандерленд ,5,1
10,Болтон Уондерерс , Ливерпуль ,0,1
10,Блэкпул , Вест Бромвич Альбион ,2,1
11,Болтон Уондерерс , Тоттенхэм Хотспур ,4,2
11,Бирмингем Сити , Вест Хэм Юнайтед ,2,2
11,Блэкберн Роверс , Уиган Атлетик ,2,1
11,Блэкпул , Эвертон ,2,2
11,Фулхэм , Астон Вилла ,1,1
11,Манчестер Юнайтед , Вулверхэмптон ,2,1
11,Сандерленд , Сток Сити ,2,0
11,Арсенал , Ньюкасл Юнайтед ,0,1
11,Вест Бромвич Альбион , Манчестер Сити ,0,2
11,Ливерпуль , Челси ,2,0
12,Сток Сити , Бирмингем Сити ,3,2
12,Тоттенхэм Хотспур , Сандерленд ,1,1
12,Вест Хэм Юнайтед , Вест Бромвич Альбион ,2,2
12,Уиган Атлетик , Ливерпуль ,1,1
12,Вулверхэмптон , Арсенал ,0,2
12,Астон Вилла , Блэкпул ,3,2
12,Челси , Фулхэм ,1,0
12,Ньюкасл Юнайтед , Блэкберн Роверс ,1,2
12,Эвертон , Болтон Уондерерс ,1,1
12,Манчестер Сити , Манчестер Юнайтед ,0,0
13,Астон Вилла , Манчестер Юнайтед ,2,2
13,Манчестер Сити , Бирмингем Сити ,0,0
13,Ньюкасл Юнайтед , Фулхэм ,0,0
13,Тоттенхэм Хотспур , Блэкберн Роверс ,4,2
13,Вест Хэм Юнайтед , Блэкпул ,0,0
13,Уиган Атлетик , Вест Бромвич Альбион ,1,0
13,Вулверхэмптон , Болтон Уондерерс ,2,3
13,Сток Сити , Ливерпуль ,2,0
13,Эвертон , Арсенал ,1,2
13,Челси , Сандерленд ,0,3
14,Арсенал , Тоттенхэм Хотспур ,2,3
14,Бирмингем Сити , Челси ,1,0
14,Блэкпул , Вулверхэмптон ,2,1
14,Болтон Уондерерс , Ньюкасл Юнайтед ,5,1
14,Манчестер Юнайтед , Уиган Атлетик ,2,0
14,Вест Бромвич Альбион , Сток Сити ,0,3
14,Ливерпуль , Вест Хэм Юнайтед ,3,0
14,Блэкберн Роверс , Астон Вилла ,2,0
14,Фулхэм , Манчестер Сити ,1,4
14,Сандерленд , Эвертон ,2,2
15,Астон Вилла , Арсенал ,2,4
15,Болтон Уондерерс , Блэкпул ,2,2
15,Эвертон , Вест Бромвич Альбион ,1,4
15,Фулхэм , Бирмингем Сити ,1,1
15,Манчестер Юнайтед , Блэкберн Роверс ,7,1
15,Сток Сити , Манчестер Сити ,1,1
15,Вест Хэм Юнайтед , Уиган Атлетик ,3,1
15,Вулверхэмптон , Сандерленд ,3,2
15,Ньюкасл Юнайтед , Челси ,1,1
15,Тоттенхэм Хотспур , Ливерпуль ,2,1
16,Арсенал , Фулхэм ,2,1
