1,Блэкберн Роверс , Вулверхэмптон ,1,2
1,Фулхэм , Астон Вилла ,0,0
1,Ливерпуль , Сандерленд ,1,1
1,Куинз Парк Рейнджерс , Болтон Уондерерс ,0,4
1,Уиган Атлетик , Норвич Сити ,1,1
1,Ньюкасл Юнайтед , Арсенал ,0,0
1,Сток Сити , Челси ,0,0
1,Вест Бромвич Альбион , Манчестер Юнайтед ,1,2
1,Манчестер Сити , Суонси Сити ,4,0
1,Тоттенхэм Хотспур , Эвертон ,2,0
2,Сандерленд , Ньюкасл Юнайтед ,0,1
2,Арсенал , Ливерпуль ,0,2
2,Астон Вилла , Блэкберн Роверс ,3,1
2,Эвертон , Куинз Парк Рейнджерс ,0,1
2,Суонси Сити , Уиган Атлетик ,0,0
2,Челси , Вест Бромвич Альбион ,2,1
2,Норвич Сити , Сток Сити ,1,1
2,Вулверхэмптон , Фулхэм ,2,0
2,Болтон Уондерерс , Манчестер Сити ,2,3
2,Манчестер Юнайтед , Тоттенхэм Хотспур ,3,0
3,Астон Вилла , Вулверхэмптон ,0,0
3,Уиган Атлетик , Куинз Парк Рейнджерс ,2,0
3,Блэкберн Роверс , Эвертон ,0,1
3,Челси , Норвич Сити ,3,1
3,Суонси Сити , Сандерленд ,0,0
3,Ливерпуль , Болтон Уондерерс ,3,1
3,Ньюкасл Юнайтед , Фулхэм ,2,1
3,Тоттенхэм Хотспур , Манчестер Сити ,1,5
3,Вест Бромвич Альбион , Сток Сити ,0,1
3,Манчестер Юнайтед , Арсенал ,8,2
4,Арсенал , Суонси Сити ,1,0
4,Эвертон , Астон Вилла ,2,2
4,Манчестер Сити , Уиган Атлетик ,3,0
4,Сток Сити , Ливерпуль ,1,0
4,Сандерленд , Челси ,1,2
4,Вулверхэмптон , Тоттенхэм Хотспур ,0,2
4,Болтон Уондерерс , Манчестер Юнайтед ,0,5
4,Норвич Сити , Вест Бромвич Альбион ,0,1
4,Фулхэм , Блэкберн Роверс ,1,1
4,Куинз Парк Рейнджерс , Ньюкасл Юнайтед ,0,0
5,Блэкберн Роверс , Арсенал ,4,3
5,Астон Вилла , Ньюкасл Юнайтед ,1,1
5,Болтон Уондерерс , Норвич Сити ,1,2
5,Эвертон , Уиган Атлетик ,3,1
5,Суонси Сити , Вест Бромвич Альбион ,3,0
5,Вулверхэмптон , Куинз Парк Рейнджерс ,0,3
5,Тоттенхэм Хотспур , Ливерпуль ,4,0
5,Фулхэм , Манчестер Сити ,2,2
5,Сандерленд , Сток Сити ,4,0
5,Манчестер Юнайтед , Челси ,3,1
6,Манчестер Сити , Эвертон ,2,0
6,Арсенал , Болтон Уондерерс ,3,0
6,Челси , Суонси Сити ,4,1
6,Ливерпуль , Вулверхэмптон ,2,1
6,Ньюкасл Юнайтед , Блэкберн Роверс ,3,1
6,Вест Бромвич Альбион , Фулхэм ,0,0
6,Уиган Атлетик , Тоттенхэм Хотспур ,1,2
6,Сток Сити , Манчестер Юнайтед ,1,1
6,Куинз Парк Рейнджерс , Астон Вилла ,1,1
6,Норвич Сити , Сандерленд ,2,1
7,Эвертон , Ливерпуль ,0,2
7,Астон Вилла , Уиган Атлетик ,2,0
7,Блэкберн Роверс , Манчестер Сити ,0,4
7,Манчестер Юнайтед , Норвич Сити ,2,0
7,Сандерленд , Вест Бромвич Альбион ,2,2
7,Вулверхэмптон , Ньюкасл Юнайтед ,1,2
7,Болтон Уондерерс , Челси ,1,5
7,Фулхэм , Куинз Парк Рейнджерс ,6,0
7,Суонси Сити , Сток Сити ,2,0
7,Тоттенхэм Хотспур , Арсенал ,2,1
8,Ливерпуль , Манчестер Юнайтед ,1,1
8,Манчестер Сити , Астон Вилла ,4,1
8,Норвич Сити , Суонси Сити ,3,1
8,Куинз Парк Рейнджерс , Блэкберн Роверс ,1,1
8,Сток Сити , Фулхэм ,2,0
8,Уиган Атлетик , Болтон Уондерерс ,1,3
8,Челси , Эвертон ,3,1
8,Вест Бромвич Альбион , Вулверхэмптон ,2,0
8,Арсенал , Сандерленд ,2,1
8,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,2,2
9,Вулверхэмптон , Суонси Сити ,2,2
9,Астон Вилла , Вест Бромвич Альбион ,1,2
9,Болтон Уондерерс , Сандерленд ,0,2
9,Ньюкасл Юнайтед , Уиган Атлетик ,1,0
9,Ливерпуль , Норвич Сити ,1,1
9,Арсенал , Сток Сити ,3,1
9,Фулхэм , Эвертон ,1,3
9,Манчестер Юнайтед , Манчестер Сити ,1,6
9,Блэкберн Роверс , Тоттенхэм Хотспур ,1,2
9,Куинз Парк Рейнджерс , Челси ,1,0
10,Эвертон , Манчестер Юнайтед ,0,1
10,Челси , Арсенал ,3,5
10,Манчестер Сити , Вулверхэмптон ,3,1
10,Норвич Сити , Блэкберн Роверс ,3,3
10,Сандерленд , Астон Вилла ,2,2
10,Суонси Сити , Болтон Уондерерс ,3,1
10,Уиган Атлетик , Фулхэм ,0,2
10,Вест Бромвич Альбион , Ливерпуль ,0,2
10,Тоттенхэм Хотспур , Куинз Парк Рейнджерс ,3,1
10,Сток Сити , Ньюкасл Юнайтед ,1,3
11,Ньюкасл Юнайтед , Эвертон ,2,1
11,Арсенал , Вест Бромвич Альбион ,3,0
11,Астон Вилла , Норвич Сити ,3,2
11,Блэкберн Роверс , Челси ,0,1
11,Ливерпуль , Суонси Сити ,0,0
11,Манчестер Юнайтед , Сандерленд ,1,0
11,Куинз Парк Рейнджерс , Манчестер Сити ,2,3
11,Вулверхэмптон , Уиган Атлетик ,3,1
11,Болтон Уондерерс , Сток Сити ,5,0
11,Фулхэм , Тоттенхэм Хотспур ,1,3
12,Норвич Сити , Арсенал ,1,2
12,Эвертон , Вулверхэмптон ,2,1
12,Манчестер Сити , Ньюкасл Юнайтед ,3,1
12,Сток Сити , Куинз Парк Рейнджерс ,2,3
12,Сандерленд , Фулхэм ,0,0
12,Вест Бромвич Альбион , Болтон Уондерерс ,2,1
12,Уиган Атлетик , Блэкберн Роверс ,3,3
12,Суонси Сити , Манчестер Юнайтед ,0,1
12,Челси , Ливерпуль ,1,2
12,Тоттенхэм Хотспур , Астон Вилла ,2,0
13,Сток Сити , Блэкберн Роверс ,3,1
13,Болтон Уондерерс , Эвертон ,0,2
13,Челси , Вулверхэмптон ,3,0
13,Манчестер Юнайтед , Ньюкасл Юнайтед ,1,1
13,Норвич Сити , Куинз Парк Рейнджерс ,2,1
13,Сандерленд , Уиган Атлетик ,1,2
13,Вест Бромвич Альбион , Тоттенхэм Хотспур ,1,3
13,Арсенал , Фулхэм ,1,1
13,Суонси Сити , Астон Вилла ,0,0
13,Ливерпуль , Манчестер Сити ,1,1
14,Ньюкасл Юнайтед , Челси ,0,3
14,Блэкберн Роверс , Суонси Сити ,4,2
14,Манчестер Сити , Норвич Сити ,5,1
14,Куинз Парк Рейнджерс , Вест Бромвич Альбион ,1,1
14,Тоттенхэм Хотспур , Болтон Уондерерс ,3,0
14,Уиган Атлетик , Арсенал ,0,4
14,Астон Вилла , Манчестер Юнайтед ,0,1
14,Эвертон , Сток Сити ,0,1
14,Вулверхэмптон , Сандерленд ,2,1
14,Фулхэм , Ливерпуль ,1,0
15,Арсенал , Эвертон ,1,0
15,Болтон Уондерерс , Астон Вилла ,1,2
15,Ливерпуль , Куинз Парк Рейнджерс ,1,0
15,Манчестер Юнайтед , Вулверхэмптон ,4,1
15,Норвич Сити , Ньюкасл Юнайтед ,4,2
15,Суонси Сити , Фулхэм ,2,0
15,Вест Бромвич Альбион , Уиган Атлетик ,1,2
15,Сандерленд , Блэкберн Роверс ,2,1
15,Сток Сити , Тоттенхэм Хотспур ,2,1
15,Челси , Манчестер Сити ,2,1
16,Блэкберн Роверс , Вест Бромвич Альбион ,1,2
16,Эвертон , Норвич Сити ,1,1
16,Фулхэм , Болтон Уондерерс ,2,0
16,Ньюкасл Юнайтед , Суонси Сити ,0,0
16,Вулверхэмптон , Сток Сити ,1,2
16,Уиган Атлетик , Челси ,1,1
16,Куинз Парк Рейнджерс , Манчестер Юнайтед ,0,2
16,Астон Вилла , Ливерпуль ,0,2
16,Тоттенхэм Хотспур , Сандерленд ,1,0
16,Манчестер Сити , Арсенал ,1,0
17,Вулверхэмптон , Норвич Сити ,2,2
17,Блэкберн Роверс , Болтон Уондерерс ,1,2
17,Астон Вилла , Арсенал ,1,2
17,Манчестер Сити , Сток Сити ,3,0
17,Ньюкасл Юнайтед , Вест Бромвич Альбион ,2,3
17,Уиган Атлетик , Ливерпуль ,0,0
17,Куинз Парк Рейнджерс , Сандерленд ,2,3
17,Эвертон , Суонси Сити ,1,0
17,Фулхэм , Манчестер Юнайтед ,0,5
17,Тоттенхэм Хотспур , Челси ,1,1
18,Челси , Фулхэм ,1,1
18,Болтон Уондерерс , Ньюкасл Юнайтед ,0,2
18,Ливерпуль , Блэкберн Роверс ,1,1
18,Манчестер Юнайтед , Уиган Атлетик ,5,0
18,Сандерленд , Эвертон ,1,1
18,Вест Бромвич Альбион , Манчестер Сити ,0,0
18,Сток Сити , Астон Вилла ,0,0
18,Арсенал , Вулверхэмптон ,1,1
18,Суонси Сити , Куинз Парк Рейнджерс ,1,1
18,Норвич Сити , Тоттенхэм Хотспур ,0,2
19,Ливерпуль , Ньюкасл Юнайтед ,3,1
19,Манчестер Юнайтед , Блэкберн Роверс ,2,3
19,Арсенал , Куинз Парк Рейнджерс ,1,0
19,Болтон Уондерерс , Вулверхэмптон ,1,1
19,Челси , Астон Вилла ,1,3
19,Норвич Сити , Фулхэм ,1,1
19,Сток Сити , Уиган Атлетик ,2,2
19,Суонси Сити , Тоттенхэм Хотспур ,1,1
19,Вест Бромвич Альбион , Эвертон ,0,1
19,Сандерленд , Манчестер Сити ,1,0
20,Астон Вилла , Суонси Сити ,0,2
20,Блэкберн Роверс , Сток Сити ,1,2
20,Куинз Парк Рейнджерс , Норвич Сити ,1,2
20,Вулверхэмптон , Челси ,1,2
20,Фулхэм , Арсенал ,2,1
20,Тоттенхэм Хотспур , Вест Бромвич Альбион ,1,0
20,Уиган Атлетик , Сандерленд ,1,4
20,Манчестер Сити , Ливерпуль ,3,0
20,Эвертон , Болтон Уондерерс ,1,2
20,Ньюкасл Юнайтед , Манчестер Юнайтед ,3,0
21,Астон Вилла , Эвертон ,1,1
21,Блэкберн Роверс , Фулхэм ,3,1
21,Челси , Сандерленд ,1,0
21,Ливерпуль , Сток Сити ,0,0
21,Манчестер Юнайтед , Болтон Уондерерс ,3,0
21,Тоттенхэм Хотспур , Вулверхэмптон ,1,1
21,Вест Бромвич Альбион , Норвич Сити ,1,2
21,Ньюкасл Юнайтед , Куинз Парк Рейнджерс ,1,0
21,Суонси Сити , Арсенал ,3,2
21,Уиган Атлетик , Манчестер Сити ,0,1
22,Норвич Сити , Челси ,0,0
22,Эвертон , Блэкберн Роверс ,1,1
22,Фулхэм , Ньюкасл Юнайтед ,5,2
22,Куинз Парк Рейнджерс , Уиган Атлетик ,3,1
22,Сток Сити , Вест Бромвич Альбион ,1,2
22,Сандерленд , Суонси Сити ,2,0
22,Вулверхэмптон , Астон Вилла ,2,3
22,Болтон Уондерерс , Ливерпуль ,3,1
22,Манчестер Сити , Тоттенхэм Хотспур ,3,2
22,Арсенал , Манчестер Юнайтед ,1,2
23,Суонси Сити , Челси ,1,1
23,Тоттенхэм Хотспур , Уиган Атлетик ,3,1
23,Вулверхэмптон , Ливерпуль ,0,3
23,Манчестер Юнайтед , Сток Сити ,2,0
23,Эвертон , Манчестер Сити ,1,0
23,Астон Вилла , Куинз Парк Рейнджерс ,2,2
23,Сандерленд , Норвич Сити ,3,0
23,Болтон Уондерерс , Арсенал ,0,0
23,Блэкберн Роверс , Ньюкасл Юнайтед ,0,2
23,Фулхэм , Вест Бромвич Альбион ,1,1
24,Арсенал , Блэкберн Роверс ,7,1
24,Норвич Сити , Болтон Уондерерс ,2,0
24,Куинз Парк Рейнджерс , Вулверхэмптон ,1,2
24,Сток Сити , Сандерленд ,0,1
24,Вест Бромвич Альбион , Суонси Сити ,1,2
24,Уиган Атлетик , Эвертон ,1,1
24,Манчестер Сити , Фулхэм ,3,0
24,Ньюкасл Юнайтед , Астон Вилла ,2,1
24,Челси , Манчестер Юнайтед ,3,3
24,Ливерпуль , Тоттенхэм Хотспур ,0,0
25,Манчестер Юнайтед , Ливерпуль ,2,1
25,Блэкберн Роверс , Куинз Парк Рейнджерс ,3,2
25,Болтон Уондерерс , Уиган Атлетик ,1,2
25,Эвертон , Челси ,2,0
25,Фулхэм , Сток Сити ,2,1
25,Сандерленд , Арсенал ,1,2
25,Суонси Сити , Норвич Сити ,2,3
25,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,5,0
25,Вулверхэмптон , Вест Бромвич Альбион ,1,5
25,Астон Вилла , Манчестер Сити ,0,1
26,Челси , Болтон Уондерерс ,3,0
26,Ньюкасл Юнайтед , Вулверхэмптон ,2,2
26,Куинз Парк Рейнджерс , Фулхэм ,0,1
26,Вест Бромвич Альбион , Сандерленд ,4,0
26,Уиган Атлетик , Астон Вилла ,0,0
26,Манчестер Сити , Блэкберн Роверс ,3,0
26,Арсенал , Тоттенхэм Хотспур ,5,2
26,Норвич Сити , Манчестер Юнайтед ,1,2
26,Сток Сити , Суонси Сити ,2,0
26,Ливерпуль , Эвертон ,3,0
27,Ливерпуль , Арсенал ,1,2
27,Блэкберн Роверс , Астон Вилла ,1,1
27,Манчестер Сити , Болтон Уондерерс ,2,0
27,Куинз Парк Рейнджерс , Эвертон ,1,1
27,Сток Сити , Норвич Сити ,1,0
27,Вест Бромвич Альбион , Челси ,1,0
27,Уиган Атлетик , Суонси Сити ,0,2
27,Ньюкасл Юнайтед , Сандерленд ,1,1
27,Фулхэм , Вулверхэмптон ,5,0
27,Тоттенхэм Хотспур , Манчестер Юнайтед ,1,3
28,Болтон Уондерерс , Куинз Парк Рейнджерс ,2,1
28,Астон Вилла , Фулхэм ,1,0
28,Челси , Сток Сити ,1,0
28,Сандерленд , Ливерпуль ,1,0
28,Вулверхэмптон , Блэкберн Роверс ,0,2
28,Эвертон , Тоттенхэм Хотспур ,1,0
28,Манчестер Юнайтед , Вест Бромвич Альбион ,2,0
28,Суонси Сити , Манчестер Сити ,1,0
28,Норвич Сити , Уиган Атлетик ,1,1
28,Арсенал , Ньюкасл Юнайтед ,2,1
29,Фулхэм , Суонси Сити ,0,3
29,Уиган Атлетик , Вест Бромвич Альбион ,1,1
29,Вулверхэмптон , Манчестер Юнайтед ,0,5
29,Ньюкасл Юнайтед , Норвич Сити ,1,0
29,Блэкберн Роверс , Сандерленд ,2,0
29,Манчестер Сити , Челси ,2,1
29,Тоттенхэм Хотспур , Сток Сити ,1,1
29,Эвертон , Арсенал ,0,1
29,Куинз Парк Рейнджерс , Ливерпуль ,3,2
29,Астон Вилла , Болтон Уондерерс ,1,2
30,Челси , Тоттенхэм Хотспур ,0,0
30,Арсенал , Астон Вилла ,3,0
30,Болтон Уондерерс , Блэкберн Роверс ,2,1
30,Ливерпуль , Уиган Атлетик ,1,2
30,Норвич Сити , Вулверхэмптон ,2,1
30,Сандерленд , Куинз Парк Рейнджерс ,3,1
30,Суонси Сити , Эвертон ,0,2
30,Сток Сити , Манчестер Сити ,1,1
30,Вест Бромвич Альбион , Ньюкасл Юнайтед ,1,3
30,Манчестер Юнайтед , Фулхэм ,1,0
31,Астон Вилла , Челси ,2,4
31,Эвертон , Вест Бромвич Альбион ,2,0
31,Фулхэм , Норвич Сити ,2,1
31,Манчестер Сити , Сандерленд ,3,3
31,Куинз Парк Рейнджерс , Арсенал ,2,1
31,Уиган Атлетик , Сток Сити ,2,0
31,Вулверхэмптон , Болтон Уондерерс ,2,3
31,Ньюкасл Юнайтед , Ливерпуль ,2,0
31,Тоттенхэм Хотспур , Суонси Сити ,3,1
31,Блэкберн Роверс , Манчестер Юнайтед ,0,2
32,Суонси Сити , Ньюкасл Юнайтед ,0,2
32,Сандерленд , Тоттенхэм Хотспур ,0,0
32,Болтон Уондерерс , Фулхэм ,0,3
32,Челси , Уиган Атлетик ,2,1
32,Ливерпуль , Астон Вилла ,1,1
32,Норвич Сити , Эвертон ,2,2
32,Вест Бромвич Альбион , Блэкберн Роверс ,3,0
32,Сток Сити , Вулверхэмптон ,2,1
32,Манчестер Юнайтед , Куинз Парк Рейнджерс ,2,0
32,Арсенал , Манчестер Сити ,1,0
33,Эвертон , Сандерленд ,4,0
33,Ньюкасл Юнайтед , Болтон Уондерерс ,2,0
33,Тоттенхэм Хотспур , Норвич Сити ,1,2
33,Астон Вилла , Сток Сити ,1,1
33,Фулхэм , Челси ,1,1
33,Блэкберн Роверс , Ливерпуль ,2,3
33,Манчестер Сити , Вест Бромвич Альбион ,4,0
33,Уиган Атлетик , Манчестер Юнайтед ,1,0
33,Вулверхэмптон , Арсенал ,0,3
33,Куинз Парк Рейнджерс , Суонси Сити ,3,0
34,Норвич Сити , Манчестер Сити ,1,6
34,Сандерленд , Вулверхэмптон ,0,0
34,Суонси Сити , Блэкберн Роверс ,3,0
34,Вест Бромвич Альбион , Куинз Парк Рейнджерс ,1,0
34,Манчестер Юнайтед , Астон Вилла ,4,0
34,Арсенал , Уиган Атлетик ,1,2
34,Ливерпуль , Фулхэм ,0,1
34,Сток Сити , Эвертон ,1,1
34,Челси , Ньюкасл Юнайтед ,0,2
34,Болтон Уондерерс , Тоттенхэм Хотспур ,1,4
35,Арсенал , Челси ,0,0
