1,Осер , Нант ,2,1
1,Бордо , Кан ,2,1
1,Гавр , Ницца ,1,0
1,Ле-Ман , Лорьян ,0,1
1,Монако , ПСЖ ,1,0
1,Нанси , Лилль ,0,0
1,Ренн , Марсель ,4,4
1,Сошо , Гренобль ,1,2
1,Валансьен , Сент-Этьен ,1,0
1,Лион , Тулуза ,3,0
2,Кан , Валансьен ,3,1
2,Лилль , Ле-Ман ,1,3
2,Нант , Монако ,1,1
2,Ницца , Нанси ,2,1
2,Сент-Этьен , Сошо ,2,1
2,Тулуза , Гавр ,2,1
2,ПСЖ , Бордо ,1,0
2,Гренобль , Ренн ,1,0
2,Лорьян , Лион ,0,0
2,Марсель , Осер ,4,0
3,Гавр , Марсель ,0,1
3,Ле-Ман , Сент-Этьен ,1,0
3,Монако , Кан ,1,1
3,Нанси , Тулуза ,0,0
3,Сошо , ПСЖ ,1,1
3,Валансьен , Лорьян ,3,1
3,Лион , Гренобль ,2,0
3,Осер , Ницца ,0,1
3,Ренн , Лилль ,2,1
3,Бордо , Нант ,2,0
4,Кан , ПСЖ ,0,1
4,Гренобль , Монако ,1,0
4,Лорьян , Осер ,0,2
4,Нанси , Гавр ,2,1
4,Нант , Ле-Ман ,1,4
4,Ницца , Валансьен ,2,0
4,Марсель , Сошо ,2,1
4,Лилль , Бордо ,2,1
4,Тулуза , Ренн ,0,0
4,Сент-Этьен , Лион ,0,1
5,Осер , Нанси ,1,1
5,Ле-Ман , Тулуза ,1,2
5,Лион , Ницца ,3,2
5,Монако , Лорьян ,2,0
5,Ренн , Гавр ,1,1
5,Валансьен , Гренобль ,1,1
5,Бордо , Марсель ,1,1
5,Кан , Сент-Этьен ,2,0
5,Сошо , Лилль ,1,1
5,ПСЖ , Нант ,1,0
6,Гренобль , Бордо ,0,1
6,Гавр , Лион ,0,1
6,Лилль , Осер ,3,2
6,Лорьян , Кан ,1,1
6,Нант , Валансьен ,2,0
6,Тулуза , Сошо ,2,1
6,Ницца , Ле-Ман ,2,2
6,Нанси , Ренн ,0,0
6,Сент-Этьен , ПСЖ ,1,0
6,Марсель , Монако ,0,0
7,Осер , Гавр ,3,0
7,Кан , Нант ,3,0
7,Ле-Ман , Марсель ,1,1
7,Лион , Нанси ,2,1
7,Ренн , Ницца ,1,0
7,Сошо , Лорьян ,1,1
7,ПСЖ , Гренобль ,0,1
7,Монако , Лилль ,0,2
7,Валансьен , Тулуза ,0,1
7,Бордо , Сент-Этьен ,1,1
8,Гренобль , Нант ,0,1
8,Гавр , Ле-Ман ,1,2
8,Лорьян , Бордо ,1,2
8,Марсель , Кан ,2,1
8,Ницца , Сошо ,1,1
8,Тулуза , Осер ,1,0
8,Лилль , Валансьен ,1,0
8,Ренн , Лион ,3,0
8,Сент-Этьен , Монако ,2,0
8,Нанси , ПСЖ ,1,1
9,Бордо , Тулуза ,2,1
9,Кан , Гренобль ,2,2
9,Монако , Ницца ,1,2
9,Нант , Сент-Этьен ,1,0
9,ПСЖ , Лорьян ,3,2
9,Сошо , Гавр ,1,1
9,Лион , Лилль ,2,2
9,Осер , Ренн ,0,0
9,Ле-Ман , Нанси ,2,0
9,Валансьен , Марсель ,1,3
10,Осер , Лион ,0,0
10,Гавр , Валансьен ,2,1
10,Лилль , Кан ,2,2
10,Лорьян , Нант ,3,0
10,Ницца , Бордо ,2,2
10,Ренн , Ле-Ман ,2,2
10,Тулуза , Монако ,0,0
10,Нанси , Сошо ,1,1
10,Сент-Этьен , Гренобль ,0,2
10,Марсель , ПСЖ ,2,4
11,Бордо , Гавр ,4,0
11,Кан , Ницца ,1,1
11,Гренобль , Лилль ,0,0
11,Ле-Ман , Осер ,0,2
11,Монако , Нанси ,3,1
11,Нант , Марсель ,1,1
11,ПСЖ , Тулуза ,0,1
11,Сошо , Лион ,0,2
11,Валансьен , Ренн ,0,0
11,Сент-Этьен , Лорьян ,1,4
12,Осер , Валансьен ,0,0
12,Лилль , Нант ,2,0
12,Лорьян , Гренобль ,1,1
12,Нанси , Бордо ,1,0
12,Ницца , ПСЖ ,1,0
12,Тулуза , Кан ,0,1
12,Марсель , Сент-Этьен ,3,1
12,Гавр , Монако ,2,3
12,Ренн , Сошо ,1,0
12,Лион , Ле-Ман ,2,0
13,Бордо , Осер ,2,0
13,Кан , Гавр ,0,1
13,Гренобль , Марсель ,0,3
13,Лорьян , Ницца ,0,1
13,Монако , Лион ,0,1
13,Сошо , Ле-Ман ,2,1
13,Нант , Тулуза ,1,1
13,Сент-Этьен , Ренн ,0,3
13,Валансьен , Нанси ,0,1
13,ПСЖ , Лилль ,1,0
14,Осер , Сошо ,1,0
14,Гавр , ПСЖ ,1,3
14,Ле-Ман , Валансьен ,1,0
14,Марсель , Лорьян ,2,3
14,Нанси , Кан ,1,1
14,Тулуза , Гренобль ,2,0
14,Лилль , Сент-Этьен ,3,0
14,Ницца , Нант ,2,1
14,Ренн , Монако ,2,1
14,Лион , Бордо ,2,1
15,Бордо , Ренн ,1,1
15,Кан , Осер ,1,0
15,Гренобль , Гавр ,0,0
15,Лорьян , Тулуза ,1,0
15,Сент-Этьен , Ницца ,0,1
15,Валансьен , Сошо ,2,2
15,ПСЖ , Лион ,1,0
15,Монако , Ле-Ман ,3,0
15,Нант , Нанси ,0,1
15,Марсель , Лилль ,2,2
16,Осер , Монако ,0,1
16,Гавр , Нант ,0,2
16,Ле-Ман , Кан ,2,0
16,Лилль , Лорьян ,1,1
16,Лион , Валансьен ,0,0
16,Сошо , Бордо ,0,0
16,Нанси , Сент-Этьен ,1,2
16,Тулуза , Марсель ,0,0
16,Ренн , ПСЖ ,1,0
16,Ницца , Гренобль ,0,0
17,Бордо , Валансьен ,2,1
17,Кан , Ренн ,1,1
17,Лилль , Тулуза ,1,1
17,Марсель , Ницца ,2,1
17,Сент-Этьен , Гавр ,2,0
17,Нант , Лион ,2,1
