1,Осер , Сошо ,0,1
1,Гренобль , Марсель ,0,2
1,Ле-Ман , Лион ,2,2
1,Монако , Тулуза ,1,0
1,Монпелье , ПСЖ ,1,1
1,Ренн , Булонь ,3,0
1,Сент-Этьен , Ницца ,0,2
1,Валансьен , Нанси ,1,3
1,Лилль , Лорьян ,1,2
1,Бордо , Ланс ,4,1
2,Ланс , Осер ,2,0
2,Лорьян , Монпелье ,2,2
2,Лион , Валансьен ,1,0
2,Нанси , Монако ,4,0
2,ПСЖ , Ле-Ман ,3,1
2,Сошо , Бордо ,2,3
2,Тулуза , Сент-Этьен ,3,1
2,Булонь , Гренобль ,2,1
2,Ницца , Ренн ,1,1
2,Марсель , Лилль ,1,0
3,Осер , Лион ,0,3
3,Ле-Ман , Нанси ,2,1
3,Монако , Лорьян ,2,0
3,Монпелье , Сошо ,2,0
3,Сент-Этьен , Булонь ,0,1
3,Валансьен , ПСЖ ,2,3
3,Ренн , Марсель ,1,1
3,Бордо , Ницца ,4,0
3,Гренобль , Ланс ,1,2
3,Лилль , Тулуза ,1,1
4,Булонь , Осер ,0,0
4,Ланс , Ренн ,2,2
4,Лорьян , Ле-Ман ,1,0
4,Ницца , Монпелье ,0,3
4,Сент-Этьен , Гренобль ,1,0
4,Сошо , Монако ,1,0
4,Лион , Нанси ,3,1
4,ПСЖ , Лилль ,3,0
4,Тулуза , Валансьен ,0,1
4,Марсель , Бордо ,0,0
5,Ле-Ман , Марсель ,1,2
5,Лилль , Сошо ,1,0
5,Лион , Лорьян ,1,0
5,Монпелье , Ланс ,1,0
5,Нанси , Тулуза ,0,0
5,Валансьен , Булонь ,1,1
5,Бордо , Гренобль ,1,0
5,Осер , Ницца ,2,0
5,Ренн , Сент-Этьен ,1,0
5,Монако , ПСЖ ,2,0
6,Булонь , Бордо ,0,2
6,Гренобль , Ренн ,0,4
6,Лорьян , Нанси ,3,1
6,Ницца , Монако ,1,3
6,Сент-Этьен , Осер ,1,1
6,Сошо , Валансьен ,2,5
6,Марсель , Монпелье ,4,2
6,Ланс , Лилль ,1,1
6,Тулуза , Ле-Ман ,2,0
6,ПСЖ , Лион ,1,1
7,Осер , Гренобль ,2,0
7,Лорьян , ПСЖ ,1,1
7,Монако , Сент-Этьен ,1,2
7,Монпелье , Булонь ,1,0
7,Нанси , Сошо ,2,1
7,Валансьен , Марсель ,3,2
7,Лион , Тулуза ,2,1
7,Ле-Ман , Ланс ,3,0
7,Лилль , Ницца ,1,1
7,Бордо , Ренн ,1,0
8,Гренобль , Монпелье ,2,3
8,Ницца , Валансьен ,3,2
8,ПСЖ , Нанси ,1,1
8,Ренн , Осер ,0,1
8,Сент-Этьен , Бордо ,3,1
8,Сошо , Ле-Ман ,1,0
8,Ланс , Лион ,0,2
8,Булонь , Лилль ,2,3
8,Тулуза , Лорьян ,0,1
8,Марсель , Монако ,1,2
9,Осер , Бордо ,1,0
9,Ле-Ман , Булонь ,1,1
9,Лион , Сошо ,0,2
9,Монпелье , Сент-Этьен ,2,1
9,Нанси , Марсель ,0,3
9,Валансьен , Гренобль ,2,0
9,Лилль , Ренн ,0,0
9,Лорьян , Ницца ,4,1
9,Монако , Ланс ,2,0
9,Тулуза , ПСЖ ,1,0
10,Бордо , Ле-Ман ,3,0
10,Булонь , Монако ,1,3
10,Гренобль , Нанси ,1,2
10,Ницца , Лион ,4,1
10,Сент-Этьен , Валансьен ,0,2
10,Сошо , Лорьян ,1,0
10,Ренн , Монпелье ,3,0
10,Осер , Лилль ,3,2
10,Ланс , Тулуза ,0,2
10,Марсель , ПСЖ ,1,0
11,Лилль , Сент-Этьен ,4,0
11,Тулуза , Сошо ,2,0
11,Валансьен , Осер ,0,0
11,Ле-Ман , Гренобль ,1,0
11,Лорьян , Марсель ,1,2
11,Лион , Булонь ,2,0
11,Монако , Ренн ,1,0
11,Монпелье , Бордо ,0,1
11,Нанси , Ницца ,2,0
11,ПСЖ , Ланс ,1,1
12,Осер , Монпелье ,2,1
12,Бордо , Монако ,1,0
12,Булонь , Нанси ,1,2
12,Гренобль , Лилль ,0,2
12,Ланс , Лорьян ,1,1
12,Марсель , Тулуза ,1,1
12,Сент-Этьен , Лион ,0,1
12,Ницца , Ле-Ман ,1,0
12,Ренн , Валансьен ,0,3
12,Сошо , ПСЖ ,1,4
