1,Бавария , Боруссия М ,3,1
1,Байер , Фрайбург ,3,1
1,Ганновер-96 , Вольфсбург ,2,0
1,Аугсбург , Боруссия Д ,0,4
1,Герта , Айнтрахт Ф ,6,1
1,Хоффенхайм , Нюрнберг ,2,2
1,Айнтрахт Б , Вердер ,0,1
1,Майнц , Штутгарт ,3,2
1,Шальке-04 , Гамбург ,3,3
2,Штутгарт , Байер ,0,1
2,Вольфсбург , Шальке-04 ,4,0
2,Вердер , Аугсбург ,1,0
2,Фрайбург , Майнц ,1,2
2,Гамбург , Хоффенхайм ,1,5
2,Айнтрахт Ф , Бавария ,0,1
2,Боруссия М , Ганновер-96 ,3,0
2,Нюрнберг , Герта ,2,2
2,Боруссия Д , Айнтрахт Б ,2,1
3,Боруссия Д , Вердер ,1,0
3,Бавария , Нюрнберг ,2,0
3,Байер , Боруссия М ,4,2
3,Ганновер-96 , Шальке-04 ,2,1
3,Хоффенхайм , Фрайбург ,3,3
3,Майнц , Вольфсбург ,2,0
3,Герта , Гамбург ,1,0
3,Айнтрахт Б , Айнтрахт Ф ,0,2
3,Аугсбург , Штутгарт ,2,1
4,Фрайбург , Бавария ,1,1
4,Боруссия М , Вердер ,4,1
4,Ганновер-96 , Майнц ,4,1
4,Вольфсбург , Герта ,2,0
4,Нюрнберг , Аугсбург ,0,1
4,Гамбург , Айнтрахт Б ,4,0
4,Шальке-04 , Байер ,2,0
4,Штутгарт , Хоффенхайм ,6,2
4,Айнтрахт Ф , Боруссия Д ,1,2
5,Герта , Штутгарт ,0,1
5,Бавария , Ганновер-96 ,2,0
5,Байер , Вольфсбург ,3,1
5,Вердер , Айнтрахт Ф ,0,3
5,Майнц , Шальке-04 ,0,1
5,Аугсбург , Фрайбург ,2,1
5,Боруссия Д , Гамбург ,6,2
5,Хоффенхайм , Боруссия М ,2,1
5,Айнтрахт Б , Нюрнберг ,1,1
6,Боруссия М , Айнтрахт Б ,4,1
6,Ганновер-96 , Аугсбург ,2,1
6,Вольфсбург , Хоффенхайм ,2,1
6,Нюрнберг , Боруссия Д ,1,1
6,Майнц , Байер ,1,4
6,Гамбург , Вердер ,0,2
6,Шальке-04 , Бавария ,0,4
6,Фрайбург , Герта ,1,1
6,Штутгарт , Айнтрахт Ф ,1,1
7,Аугсбург , Боруссия М ,2,2
7,Боруссия Д , Фрайбург ,5,0
7,Бавария , Вольфсбург ,1,0
7,Байер , Ганновер-96 ,2,0
7,Хоффенхайм , Шальке-04 ,3,3
7,Герта , Майнц ,3,1
7,Айнтрахт Ф , Гамбург ,2,2
7,Вердер , Нюрнберг ,3,3
7,Айнтрахт Б , Штутгарт ,0,4
8,Ганновер-96 , Герта ,1,1
8,Шальке-04 , Аугсбург ,4,1
