1,Бавария , Гамбург ,5,0
1,Байер , Хоффенхайм ,2,1
1,Аугсбург , Герта ,0,1
1,Вердер , Шальке-04 ,0,3
1,Майнц , Ингольштадт 04 ,0,1
1,Дармштадт 98 , Ганновер-96 ,2,2
1,Боруссия Д , Боруссия М ,4,0
1,Вольфсбург , Айнтрахт Ф ,2,1
1,Штутгарт , Кёльн ,1,3
2,Герта , Вердер ,1,1
2,Шальке-04 , Дармштадт 98 ,1,1
2,Айнтрахт Ф , Аугсбург ,1,1
2,Кёльн , Вольфсбург ,1,1
2,Ганновер-96 , Байер ,0,1
2,Хоффенхайм , Бавария ,1,2
2,Гамбург , Штутгарт ,3,2
2,Ингольштадт 04 , Боруссия Д ,0,4
2,Боруссия М , Майнц ,1,2
3,Вольфсбург , Шальке-04 ,3,0
3,Штутгарт , Айнтрахт Ф ,1,4
3,Аугсбург , Ингольштадт 04 ,0,1
3,Кёльн , Гамбург ,2,1
3,Майнц , Ганновер-96 ,3,0
3,Дармштадт 98 , Хоффенхайм ,0,0
3,Бавария , Байер ,3,0
3,Боруссия Д , Герта ,3,1
3,Вердер , Боруссия М ,2,1
4,Боруссия М , Гамбург ,0,3
4,Бавария , Аугсбург ,2,1
4,Байер , Дармштадт 98 ,0,1
4,Ганновер-96 , Боруссия Д ,2,4
4,Герта , Штутгарт ,2,1
4,Ингольштадт 04 , Вольфсбург ,0,0
4,Айнтрахт Ф , Кёльн ,6,2
4,Хоффенхайм , Вердер ,1,3
4,Шальке-04 , Майнц ,2,1
5,Майнц , Хоффенхайм ,3,1
5,Вольфсбург , Герта ,2,0
5,Гамбург , Айнтрахт Ф ,0,0
5,Вердер , Ингольштадт 04 ,0,1
5,Кёльн , Боруссия М ,1,0
5,Дармштадт 98 , Бавария ,0,3
5,Штутгарт , Шальке-04 ,0,1
5,Боруссия Д , Байер ,3,0
5,Аугсбург , Ганновер-96 ,2,0
6,Бавария , Вольфсбург ,5,1
6,Герта , Кёльн ,2,0
6,Ингольштадт 04 , Гамбург ,0,1
6,Дармштадт 98 , Вердер ,2,1
6,Шальке-04 , Айнтрахт Ф ,2,0
6,Байер , Майнц ,1,0
6,Боруссия М , Аугсбург ,4,2
6,Ганновер-96 , Штутгарт ,1,3
6,Хоффенхайм , Боруссия Д ,1,1
7,Кёльн , Ингольштадт 04 ,1,1
7,Вольфсбург , Ганновер-96 ,1,1
7,Штутгарт , Боруссия М ,1,3
7,Аугсбург , Хоффенхайм ,1,3
7,Вердер , Байер ,0,3
7,Майнц , Бавария ,0,3
7,Гамбург , Шальке-04 ,0,1
7,Айнтрахт Ф , Герта ,1,1
7,Боруссия Д , Дармштадт 98 ,2,2
8,Дармштадт 98 , Майнц ,2,3
8,Боруссия М , Вольфсбург ,2,0
8,Ганновер-96 , Вердер ,1,0
8,Герта , Гамбург ,3,0
8,Хоффенхайм , Штутгарт ,2,2
8,Ингольштадт 04 , Айнтрахт Ф ,2,0
8,Шальке-04 , Кёльн ,0,3
8,Бавария , Боруссия Д ,5,1
8,Байер , Аугсбург ,1,1
9,Майнц , Боруссия Д ,0,2
9,Шальке-04 , Герта ,2,1
9,Вольфсбург , Хоффенхайм ,4,2
9,Гамбург , Байер ,0,0
9,Аугсбург , Дармштадт 98 ,0,2
9,Вердер , Бавария ,0,1
9,Айнтрахт Ф , Боруссия М ,1,5
9,Кёльн , Ганновер-96 ,0,1
9,Штутгарт , Ингольштадт 04 ,1,0
10,Хоффенхайм , Гамбург ,0,1
10,Бавария , Кёльн ,4,0
10,Байер , Штутгарт ,4,3
10,Ганновер-96 , Айнтрахт Ф ,1,2
10,Майнц , Вердер ,1,3
10,Дармштадт 98 , Вольфсбург ,0,1
10,Ингольштадт 04 , Герта ,0,1
10,Боруссия Д , Аугсбург ,5,1
10,Боруссия М , Шальке-04 ,3,1
11,Айнтрахт Ф , Бавария ,-,- 
11,Шальке-04 , Ингольштадт 04 ,-,- 
11,Аугсбург , Майнц ,-,- 
11,Вердер , Боруссия Д ,-,- 
11,Кёльн , Хоффенхайм ,-,- 
11,Герта , Боруссия М ,-,- 
11,Вольфсбург , Байер ,-,- 
11,Штутгарт , Дармштадт 98 ,-,- 
11,Гамбург , Ганновер-96 ,-,- 
12,Ганновер-96 , Герта ,-,- 
12,Бавария , Штутгарт ,-,- 
12,Байер , Кёльн ,-,- 
12,Боруссия М , Ингольштадт 04 ,-,- 
12,Хоффенхайм , Айнтрахт Ф ,-,- 
12,Майнц , Вольфсбург ,-,- 
12,Дармштадт 98 , Гамбург ,-,- 
12,Боруссия Д , Шальке-04 ,-,- 
12,Аугсбург , Вердер ,-,- 
13,Гамбург , Боруссия Д ,-,- 
13,Боруссия М , Ганновер-96 ,-,- 
13,Вольфсбург , Вердер ,-,- 
13,Штутгарт , Аугсбург ,-,- 
13,Айнтрахт Ф , Байер ,-,- 
13,Кёльн , Майнц ,-,- 
13,Шальке-04 , Бавария ,-,- 
13,Герта , Хоффенхайм ,-,- 
13,Ингольштадт 04 , Дармштадт 98 ,-,- 
14,Дармштадт 98 , Кёльн ,-,- 
14,Бавария , Герта ,-,- 
14,Вердер , Гамбург ,-,- 
14,Ганновер-96 , Ингольштадт 04 ,-,- 
14,Хоффенхайм , Боруссия М ,-,- 
14,Майнц , Айнтрахт Ф ,-,- 
14,Боруссия Д , Штутгарт ,-,- 
14,Байер , Шальке-04 ,-,- 
14,Аугсбург , Вольфсбург ,-,- 
15,Шальке-04 , Ганновер-96 ,-,- 
15,Боруссия М , Бавария ,-,- 
15,Гамбург , Майнц ,-,- 
15,Кёльн , Аугсбург ,-,- 
15,Герта , Байер ,-,- 
15,Ингольштадт 04 , Хоффенхайм ,-,- 
15,Вольфсбург , Боруссия Д ,-,- 
15,Штутгарт , Вердер ,-,- 
15,Айнтрахт Ф , Дармштадт 98 ,-,- 
16,Бавария , Ингольштадт 04 ,-,- 
16,Боруссия Д , Айнтрахт Ф ,-,- 
16,Байер , Боруссия М ,-,- 
16,Вольфсбург , Гамбург ,-,- 
16,Аугсбург , Шальке-04 ,-,- 
16,Вердер , Кёльн ,-,- 
16,Хоффенхайм , Ганновер-96 ,-,- 
16,Майнц , Штутгарт ,-,- 
16,Дармштадт 98 , Герта ,-,- 
17,Шальке-04 , Хоффенхайм ,-,- 
17,Боруссия М , Дармштадт 98 ,-,- 
17,Гамбург , Аугсбург ,-,- 
17,Штутгарт , Вольфсбург ,-,- 
17,Айнтрахт Ф , Вердер ,-,- 
17,Кёльн , Боруссия Д ,-,- 
17,Ганновер-96 , Бавария ,-,- 
17,Герта , Майнц ,-,- 
17,Ингольштадт 04 , Байер ,-,- 
18,Шальке-04 , Вердер ,-,- 
18,Боруссия М , Боруссия Д ,-,- 
18,Гамбург , Бавария ,-,- 
18,Айнтрахт Ф , Вольфсбург ,-,- 
18,Кёльн , Штутгарт ,-,- 
18,Ганновер-96 , Дармштадт 98 ,-,- 
18,Герта , Аугсбург ,-,- 
18,Хоффенхайм , Байер ,-,- 
18,Ингольштадт 04 , Майнц ,-,- 
19,Бавария , Хоффенхайм ,-,- 
19,Боруссия Д , Ингольштадт 04 ,-,- 
19,Байер , Ганновер-96 ,-,- 
19,Вольфсбург , Кёльн ,-,- 
19,Штутгарт , Гамбург ,-,- 
19,Аугсбург , Айнтрахт Ф ,-,- 
19,Вердер , Герта ,-,- 
19,Майнц , Боруссия М ,-,- 
19,Дармштадт 98 , Шальке-04 ,-,- 
20,Шальке-04 , Вольфсбург ,-,- 
20,Байер , Бавария ,-,- 
20,Боруссия М , Вердер ,-,- 
20,Гамбург , Кёльн ,-,- 
20,Айнтрахт Ф , Штутгарт ,-,- 
20,Ганновер-96 , Майнц ,-,- 
20,Герта , Боруссия Д ,-,- 
20,Хоффенхайм , Дармштадт 98 ,-,- 
20,Ингольштадт 04 , Аугсбург ,-,- 
21,Боруссия Д , Ганновер-96 ,-,- 
21,Вольфсбург , Ингольштадт 04 ,-,- 
21,Гамбург , Боруссия М ,-,- 
21,Штутгарт , Герта ,-,- 
21,Аугсбург , Бавария ,-,- 
21,Вердер , Хоффенхайм ,-,- 
21,Кёльн , Айнтрахт Ф ,-,- 
21,Майнц , Шальке-04 ,-,- 
21,Дармштадт 98 , Байер ,-,- 
22,Бавария , Дармштадт 98 ,-,- 
22,Шальке-04 , Штутгарт ,-,- 
22,Байер , Боруссия Д ,-,- 
22,Боруссия М , Кёльн ,-,- 
22,Айнтрахт Ф , Гамбург ,-,- 
22,Ганновер-96 , Аугсбург ,-,- 
22,Герта , Вольфсбург ,-,- 
22,Хоффенхайм , Майнц ,-,- 
22,Ингольштадт 04 , Вердер ,-,- 
23,Боруссия Д , Хоффенхайм ,-,- 
23,Вольфсбург , Бавария ,-,- 
23,Гамбург , Ингольштадт 04 ,-,- 
23,Штутгарт , Ганновер-96 ,-,- 
23,Аугсбург , Боруссия М ,-,- 
23,Вердер , Дармштадт 98 ,-,- 
23,Айнтрахт Ф , Шальке-04 ,-,- 
23,Кёльн , Герта ,-,- 
23,Майнц , Байер ,-,- 
24,Бавария , Майнц ,-,- 
24,Шальке-04 , Гамбург ,-,- 
24,Байер , Вердер ,-,- 
24,Боруссия М , Штутгарт ,-,- 
24,Ганновер-96 , Вольфсбург ,-,- 
24,Герта , Айнтрахт Ф ,-,- 
24,Хоффенхайм , Аугсбург ,-,- 
