1,Верона , Милан ,2,1
1,Сампдория , Ювентус ,0,1
1,Интер , Дженоа ,2,0
1,Кальяри , Аталанта ,2,1
1,Лацио , Удинезе ,2,1
1,Ливорно , Рома ,0,2
1,Наполи , Болонья ,3,0
1,Парма , Кьево ,0,0
1,Торино , Сассуоло ,2,0
1,Фиорентина , Катания ,2,1
2,Кьево , Наполи ,2,4
2,Ювентус , Лацио ,4,1
2,Рома , Верона ,3,0
2,Аталанта , Торино ,2,0
2,Болонья , Сампдория ,2,2
2,Катания , Интер ,0,3
2,Дженоа , Фиорентина ,2,5
2,Милан , Кальяри ,3,1
2,Сассуоло , Ливорно ,1,4
2,Удинезе , Парма ,3,1
3,Интер , Ювентус ,1,1
3,Наполи , Аталанта ,2,0
3,Торино , Милан ,2,2
3,Фиорентина , Кальяри ,1,1
3,Верона , Сассуоло ,2,0
3,Лацио , Кьево ,3,0
3,Ливорно , Катания ,2,0
3,Удинезе , Болонья ,1,1
3,Сампдория , Дженоа ,0,3
3,Парма , Рома ,1,3
4,Кальяри , Сампдория ,2,2
4,Кьево , Удинезе ,2,1
4,Дженоа , Ливорно ,0,0
4,Сассуоло , Интер ,0,7
4,Аталанта , Фиорентина ,0,2
4,Болонья , Торино ,1,2
4,Катания , Парма ,0,0
4,Ювентус , Верона ,2,1
4,Рома , Лацио ,2,0
4,Милан , Наполи ,1,2
5,Удинезе , Дженоа ,1,0
5,Болонья , Милан ,3,3
5,Кьево , Ювентус ,1,2
5,Лацио , Катания ,3,1
5,Ливорно , Кальяри ,1,1
5,Наполи , Сассуоло ,1,1
5,Парма , Аталанта ,4,3
5,Сампдория , Рома ,0,2
5,Торино , Верона ,2,2
5,Интер , Фиорентина ,2,1
6,Дженоа , Наполи ,0,2
6,Милан , Сампдория ,1,0
6,Торино , Ювентус ,0,1
6,Аталанта , Удинезе ,2,0
6,Кальяри , Интер ,1,1
6,Катания , Кьево ,2,0
6,Верона , Ливорно ,2,1
6,Сассуоло , Лацио ,2,2
6,Рома , Болонья ,5,0
6,Фиорентина , Парма ,2,2
7,Кьево , Аталанта ,0,1
7,Интер , Рома ,0,3
7,Парма , Сассуоло ,3,1
7,Болонья , Верона ,1,4
7,Катания , Дженоа ,1,1
7,Наполи , Ливорно ,4,0
7,Сампдория , Торино ,2,2
7,Удинезе , Кальяри ,2,0
7,Ювентус , Милан ,3,2
7,Лацио , Фиорентина ,0,0
8,Рома , Наполи ,2,0
8,Кальяри , Катания ,2,1
8,Милан , Удинезе ,1,0
8,Аталанта , Лацио ,2,1
8,Фиорентина , Ювентус ,4,2
8,Дженоа , Кьево ,2,1
8,Верона , Парма ,3,2
8,Ливорно , Сампдория ,1,2
8,Сассуоло , Болонья ,2,1
8,Торино , Интер ,3,3
9,Сампдория , Аталанта ,1,0
9,Интер , Верона ,4,2
9,Наполи , Торино ,2,0
9,Болонья , Ливорно ,1,0
9,Катания , Сассуоло ,0,0
9,Кьево , Фиорентина ,1,2
9,Ювентус , Дженоа ,2,0
9,Парма , Милан ,3,2
9,Удинезе , Рома ,0,1
9,Лацио , Кальяри ,2,0
10,Аталанта , Интер ,1,1
10,Кальяри , Болонья ,0,3
10,Фиорентина , Наполи ,1,2
10,Дженоа , Парма ,1,0
10,Верона , Сампдория ,2,0
10,Ювентус , Катания ,4,0
10,Ливорно , Торино ,3,3
10,Милан , Лацио ,1,1
10,Сассуоло , Удинезе ,1,2
10,Рома , Кьево ,1,0
11,Парма , Ювентус ,0,1
11,Милан , Фиорентина ,0,2
11,Наполи , Катания ,2,1
11,Ливорно , Аталанта ,1,0
11,Верона , Кальяри ,2,1
11,Лацио , Дженоа ,0,2
11,Сампдория , Сассуоло ,3,4
11,Удинезе , Интер ,0,3
11,Торино , Рома ,1,1
11,Болонья , Кьево ,0,0
12,Катания , Удинезе ,1,0
12,Интер , Ливорно ,2,0
12,Дженоа , Верона ,2,0
12,Аталанта , Болонья ,2,1
12,Кальяри , Торино ,2,1
12,Кьево , Милан ,0,0
12,Парма , Лацио ,1,1
12,Рома , Сассуоло ,1,1
12,Фиорентина , Сампдория ,2,1
12,Ювентус , Наполи ,3,0
13,Верона , Кьево ,0,1
13,Милан , Дженоа ,1,1
13,Наполи , Парма ,0,1
13,Ливорно , Ювентус ,0,2
13,Сампдория , Лацио ,1,1
13,Сассуоло , Аталанта ,2,0
13,Торино , Катания ,4,1
13,Удинезе , Фиорентина ,1,0
13,Болонья , Интер ,1,1
13,Рома , Кальяри ,0,0
14,Парма , Болонья ,1,1
14,Дженоа , Торино ,1,1
14,Катания , Милан ,1,3
14,Аталанта , Рома ,1,1
14,Кальяри , Сассуоло ,2,2
14,Кьево , Ливорно ,3,0
14,Интер , Сампдория ,1,1
14,Ювентус , Удинезе ,1,0
14,Фиорентина , Верона ,4,3
14,Лацио , Наполи ,2,4
15,Болонья , Ювентус ,0,2
15,Ливорно , Милан ,2,2
15,Наполи , Удинезе ,3,3
15,Рома , Фиорентина ,2,1
15,Кальяри , Дженоа ,2,1
15,Верона , Аталанта ,2,1
15,Сампдория , Катания ,2,0
15,Сассуоло , Кьево ,0,1
15,Торино , Лацио ,1,0
15,Интер , Парма ,3,3
16,Катания , Верона ,0,0
16,Кьево , Сампдория ,0,1
16,Фиорентина , Болонья ,3,0
16,Дженоа , Аталанта ,1,1
16,Лацио , Ливорно ,2,0
16,Парма , Кальяри ,0,0
16,Удинезе , Торино ,0,2
16,Ювентус , Сассуоло ,4,0
16,Наполи , Интер ,4,2
16,Милан , Рома ,2,2
17,Ливорно , Удинезе ,1,2
17,Кальяри , Наполи ,1,1
17,Болонья , Дженоа ,1,0
17,Аталанта , Ювентус ,1,4
17,Верона , Лацио ,4,1
17,Рома , Катания ,4,0
17,Сампдория , Парма ,1,1
17,Сассуоло , Фиорентина ,0,1
17,Торино , Кьево ,4,1
17,Интер , Милан ,1,0
18,Кьево , Кальяри ,0,0
18,Фиорентина , Ливорно ,1,0
18,Ювентус , Рома ,3,0
18,Наполи , Сампдория ,2,0
18,Катания , Болонья ,2,0
