1,Реал Сосьедад , Хетафе ,2,0
1,Вальядолид , Атлетик Б ,1,2
1,Валенсия , Малага ,1,0
1,Барселона , Леванте ,7,0
1,Реал Мадрид , Бетис ,2,1
1,Осасуна , Гранада ,1,2
1,Севилья , Атлетико М ,1,3
1,Райо Вальекано , Эльче ,3,0
1,Сельта , Эспаньол ,2,2
1,Альмерия , Вильярреал ,2,3
2,Хетафе , Альмерия ,2,2
2,Атлетик Б , Осасуна ,2,0
2,Эльче , Реал Сосьедад ,1,1
2,Эспаньол , Валенсия ,3,1
2,Вильярреал , Вальядолид ,2,1
2,Атлетико М , Райо Вальекано ,5,0
2,Леванте , Севилья ,0,0
2,Малага , Барселона ,0,1
2,Бетис , Сельта ,1,2
2,Гранада , Реал Мадрид ,0,1
3,Альмерия , Эльче ,2,2
3,Райо Вальекано , Леванте ,1,2
3,Сельта , Гранада ,1,1
3,Вальядолид , Хетафе ,1,0
3,Осасуна , Вильярреал ,0,3
3,Реал Мадрид , Атлетик Б ,3,1
3,Эспаньол , Бетис ,0,0
3,Реал Сосьедад , Атлетико М ,1,2
3,Севилья , Малага ,2,2
3,Валенсия , Барселона ,2,3
4,Атлетико М , Альмерия ,4,2
4,Леванте , Реал Сосьедад ,0,0
4,Барселона , Севилья ,3,2
4,Вильярреал , Реал Мадрид ,2,2
4,Гранада , Эспаньол ,0,1
4,Хетафе , Осасуна ,2,1
4,Малага , Райо Вальекано ,5,0
4,Бетис , Валенсия ,3,1
4,Эльче , Вальядолид ,0,0
4,Атлетик Б , Сельта ,3,2
5,Осасуна , Эльче ,2,1
5,Реал Сосьедад , Малага ,0,0
5,Альмерия , Леванте ,2,2
5,Райо Вальекано , Барселона ,0,4
5,Вальядолид , Атлетико М ,0,2
5,Бетис , Гранада ,0,0
5,Сельта , Вильярреал ,0,0
5,Реал Мадрид , Хетафе ,4,1
5,Валенсия , Севилья ,3,1
5,Эспаньол , Атлетик Б ,3,2
6,Барселона , Реал Сосьедад ,4,1
6,Леванте , Вальядолид ,1,1
6,Малага , Альмерия ,2,0
6,Атлетико М , Осасуна ,2,1
6,Гранада , Валенсия ,0,1
6,Севилья , Райо Вальекано ,4,1
6,Эльче , Реал Мадрид ,1,2
6,Атлетик Б , Бетис ,2,1
6,Хетафе , Сельта ,2,0
6,Вильярреал , Эспаньол ,2,1
7,Вальядолид , Малага ,2,2
7,Валенсия , Райо Вальекано ,1,0
7,Альмерия , Барселона ,0,2
7,Реал Сосьедад , Севилья ,1,1
7,Реал Мадрид , Атлетико М ,0,1
7,Осасуна , Леванте ,0,1
7,Сельта , Эльче ,0,1
7,Эспаньол , Хетафе ,0,2
7,Бетис , Вильярреал ,1,0
7,Гранада , Атлетик Б ,2,0
8,Вильярреал , Гранада ,3,0
8,Малага , Осасуна ,0,1
8,Эльче , Эспаньол ,2,1
8,Райо Вальекано , Реал Сосьедад ,1,0
8,Леванте , Реал Мадрид ,2,3
8,Барселона , Вальядолид ,4,1
8,Атлетико М , Сельта ,2,1
8,Севилья , Альмерия ,2,1
8,Хетафе , Бетис ,3,1
8,Атлетик Б , Валенсия ,1,1
9,Реал Мадрид , Малага ,2,0
9,Валенсия , Реал Сосьедад ,1,2
9,Осасуна , Барселона ,0,0
9,Эспаньол , Атлетико М ,1,0
9,Гранада , Хетафе ,0,2
9,Альмерия , Райо Вальекано ,0,1
9,Бетис , Эльче ,1,2
9,Вальядолид , Севилья ,2,2
9,Сельта , Леванте ,0,1
9,Атлетик Б , Вильярреал ,2,0
10,Райо Вальекано , Вальядолид ,0,3
10,Малага , Сельта ,0,5
10,Барселона , Реал Мадрид ,2,1
10,Эльче , Гранада ,0,1
10,Леванте , Эспаньол ,3,0
10,Севилья , Осасуна ,2,1
10,Вильярреал , Валенсия ,4,1
10,Реал Сосьедад , Альмерия ,3,0
10,Атлетико М , Бетис ,5,0
10,Хетафе , Атлетик Б ,0,1
11,Эспаньол , Малага ,0,0
11,Сельта , Барселона ,0,3
11,Вальядолид , Реал Сосьедад ,2,2
11,Валенсия , Альмерия ,1,2
11,Реал Мадрид , Севилья ,7,3
11,Осасуна , Райо Вальекано ,3,1
11,Вильярреал , Хетафе ,0,2
11,Гранада , Атлетико М ,1,2
11,Атлетик Б , Эльче ,2,2
11,Бетис , Леванте ,0,0
12,Барселона , Эспаньол ,1,0
12,Реал Сосьедад , Осасуна ,5,0
12,Альмерия , Вальядолид ,1,0
12,Райо Вальекано , Реал Мадрид ,2,3
12,Севилья , Сельта ,0,1
12,Хетафе , Валенсия ,0,1
12,Атлетико М , Атлетик Б ,2,0
12,Леванте , Гранада ,0,1
12,Малага , Бетис ,3,2
12,Эльче , Вильярреал ,0,1
13,Осасуна , Альмерия ,0,1
13,Гранада , Малага ,3,1
13,Реал Мадрид , Реал Сосьедад ,5,1
13,Хетафе , Эльче ,1,1
13,Атлетик Б , Леванте ,2,1
13,Сельта , Райо Вальекано ,0,2
13,Эспаньол , Севилья ,1,3
13,Валенсия , Вальядолид ,2,2
13,Вильярреал , Атлетико М ,1,1
13,Бетис , Барселона ,1,4
14,Вальядолид , Осасуна ,0,1
14,Барселона , Гранада ,4,0
14,Реал Сосьедад , Сельта ,4,3
14,Альмерия , Реал Мадрид ,0,5
14,Атлетико М , Хетафе ,7,0
14,Леванте , Вильярреал ,0,3
14,Райо Вальекано , Эспаньол ,1,4
14,Эльче , Валенсия ,2,1
14,Севилья , Бетис ,4,0
14,Малага , Атлетик Б ,1,2
15,Хетафе , Леванте ,1,0
15,Вильярреал , Малага ,1,1
15,Эльче , Атлетико М ,0,2
15,Сельта , Альмерия ,3,1
15,Реал Мадрид , Вальядолид ,4,0
15,Эспаньол , Реал Сосьедад ,1,2
15,Бетис , Райо Вальекано ,2,2
15,Гранада , Севилья ,1,2
15,Валенсия , Осасуна ,3,0
15,Атлетик Б , Барселона ,1,0
16,Леванте , Эльче ,2,1
16,Осасуна , Реал Мадрид ,2,2
16,Райо Вальекано , Гранада ,0,2
16,Барселона , Вильярреал ,2,1
16,Малага , Хетафе ,1,0
16,Альмерия , Эспаньол ,0,0
16,Реал Сосьедад , Бетис ,5,1
16,Севилья , Атлетик Б ,1,1
16,Атлетико М , Валенсия ,3,0
16,Вальядолид , Сельта ,3,0
17,Эльче , Малага ,0,1
17,Вильярреал , Севилья ,1,2
17,Бетис , Альмерия ,0,1
17,Атлетико М , Леванте ,3,2
17,Гранада , Реал Сосьедад ,1,3
17,Эспаньол , Вальядолид ,4,2
17,Хетафе , Барселона ,2,5
17,Атлетик Б , Райо Вальекано ,2,1
17,Сельта , Осасуна ,1,1
17,Валенсия , Реал Мадрид ,2,3
18,Малага , Атлетико М ,0,1
18,Вальядолид , Бетис ,0,0
18,Валенсия , Леванте ,2,0
18,Альмерия , Гранада ,3,0
18,Севилья , Хетафе ,3,0
18,Барселона , Эльче ,4,0
18,Осасуна , Эспаньол ,1,0
18,Реал Сосьедад , Атлетик Б ,2,0
18,Реал Мадрид , Сельта ,3,0
18,Райо Вальекано , Вильярреал ,2,5
19,Гранада , Вальядолид ,4,0
19,Атлетик Б , Альмерия ,6,1
19,Сельта , Валенсия ,2,1
19,Атлетико М , Барселона ,0,0
19,Эльче , Севилья ,1,1
19,Хетафе , Райо Вальекано ,0,1
19,Бетис , Осасуна ,1,2
19,Эспаньол , Реал Мадрид ,0,1
19,Леванте , Малага ,1,0
19,Вильярреал , Реал Сосьедад ,5,1
20,Малага , Валенсия ,0,0
20,Бетис , Реал Мадрид ,0,5
20,Эльче , Райо Вальекано ,2,0
20,Гранада , Осасуна ,0,0
20,Эспаньол , Сельта ,1,0
20,Хетафе , Реал Сосьедад ,2,2
20,Вильярреал , Альмерия ,2,0
20,Леванте , Барселона ,1,1
20,Атлетико М , Севилья ,1,1
20,Атлетик Б , Вальядолид ,4,2
21,Сельта , Бетис ,4,2
21,Реал Мадрид , Гранада ,2,0
21,Вальядолид , Вильярреал ,1,0
21,Валенсия , Эспаньол ,2,2
21,Севилья , Леванте ,2,3
21,Альмерия , Хетафе ,1,0
21,Осасуна , Атлетик Б ,1,5
21,Райо Вальекано , Атлетико М ,2,4
21,Барселона , Малага ,3,0
21,Реал Сосьедад , Эльче ,4,0
22,Гранада , Сельта ,1,2
22,Барселона , Валенсия ,2,3
22,Леванте , Райо Вальекано ,0,0
22,Хетафе , Вальядолид ,0,0
22,Малага , Севилья ,3,2
22,Эльче , Альмерия ,1,0
22,Бетис , Эспаньол ,2,0
22,Атлетико М , Реал Сосьедад ,4,0
22,Атлетик Б , Реал Мадрид ,1,1
22,Вильярреал , Осасуна ,3,1
23,Эспаньол , Гранада ,1,0
23,Валенсия , Бетис ,5,0
23,Райо Вальекано , Малага ,4,1
23,Реал Мадрид , Вильярреал ,4,2
23,Альмерия , Атлетико М ,2,0
23,Осасуна , Хетафе ,2,0
23,Вальядолид , Эльче ,2,2
23,Реал Сосьедад , Леванте ,0,0
23,Севилья , Барселона ,1,4
23,Сельта , Атлетик Б ,0,0
24,Эльче , Осасуна ,0,0
24,Атлетико М , Вальядолид ,3,0
24,Леванте , Альмерия ,1,0
24,Барселона , Райо Вальекано ,6,0
24,Вильярреал , Сельта ,0,2
24,Гранада , Бетис ,1,0
24,Хетафе , Реал Мадрид ,0,3
24,Атлетик Б , Эспаньол ,1,2
24,Севилья , Валенсия ,0,0
24,Малага , Реал Сосьедад ,0,1
25,Вальядолид , Леванте ,1,1
25,Реал Мадрид , Эльче ,3,0
25,Сельта , Хетафе ,1,1
25,Реал Сосьедад , Барселона ,3,1
25,Альмерия , Малага ,0,0
25,Райо Вальекано , Севилья ,0,1
25,Бетис , Атлетик Б ,0,2
25,Валенсия , Гранада ,2,1
25,Осасуна , Атлетико М ,3,0
25,Эспаньол , Вильярреал ,1,2
26,Атлетик Б , Гранада ,4,0
26,Малага , Вальядолид ,1,1
26,Леванте , Осасуна ,2,0
26,Хетафе , Эспаньол ,0,0
26,Эльче , Сельта ,1,0
26,Вильярреал , Бетис ,1,1
26,Атлетико М , Реал Мадрид ,2,2
26,Севилья , Реал Сосьедад ,1,0
26,Барселона , Альмерия ,4,1
26,Райо Вальекано , Валенсия ,1,0
27,Вальядолид , Барселона ,1,0
27,Бетис , Хетафе ,2,0
27,Сельта , Атлетико М ,0,2
27,Гранада , Вильярреал ,2,0
27,Эспаньол , Эльче ,3,1
27,Альмерия , Севилья ,1,3
27,Реал Мадрид , Леванте ,3,0
27,Валенсия , Атлетик Б ,1,1
27,Осасуна , Малага ,0,2
27,Реал Сосьедад , Райо Вальекано ,2,3
28,Хетафе , Гранада ,3,3
28,Леванте , Сельта ,0,1
28,Райо Вальекано , Альмерия ,3,1
28,Малага , Реал Мадрид ,0,1
28,Атлетико М , Эспаньол ,1,0
28,Эльче , Бетис ,0,0
28,Барселона , Осасуна ,7,0
28,Севилья , Вальядолид ,4,1
28,Реал Сосьедад , Валенсия ,1,0
28,Вильярреал , Атлетик Б ,1,1
29,Сельта , Малага ,0,2
29,Гранада , Эльче ,1,0
29,Эспаньол , Леванте ,0,0
29,Вальядолид , Райо Вальекано ,1,1
29,Атлетик Б , Хетафе ,1,0
29,Осасуна , Севилья ,1,2
29,Бетис , Атлетико М ,0,2
29,Валенсия , Вильярреал ,2,1
29,Реал Мадрид , Барселона ,3,4
29,Альмерия , Реал Сосьедад ,4,3
30,Малага , Эспаньол ,1,2
30,Эльче , Атлетик Б ,0,0
30,Барселона , Сельта ,3,0
30,Райо Вальекано , Осасуна ,1,0
30,Атлетико М , Гранада ,1,0
30,Севилья , Реал Мадрид ,2,1
30,Хетафе , Вильярреал ,0,1
30,Реал Сосьедад , Вальядолид ,1,0
30,Леванте , Бетис ,1,3
30,Альмерия , Валенсия ,2,2
31,Эспаньол , Барселона ,0,1
31,Сельта , Севилья ,1,0
31,Атлетик Б , Атлетико М ,1,2
31,Реал Мадрид , Райо Вальекано ,5,0
31,Вальядолид , Альмерия ,1,0
31,Осасуна , Реал Сосьедад ,1,1
31,Вильярреал , Эльче ,1,1
31,Валенсия , Хетафе ,1,3
31,Гранада , Леванте ,0,2
31,Бетис , Малага ,1,2
32,Альмерия , Осасуна ,1,2
32,Атлетико М , Вильярреал ,1,0
32,Барселона , Бетис ,3,1
32,Реал Сосьедад , Реал Мадрид ,0,4
32,Райо Вальекано , Сельта ,3,0
32,Малага , Гранада ,4,1
32,Эльче , Хетафе ,1,0
32,Севилья , Эспаньол ,4,1
32,Вальядолид , Валенсия ,0,0
32,Леванте , Атлетик Б ,1,2
33,Осасуна , Вальядолид ,0,0
33,Сельта , Реал Сосьедад ,2,2
33,Вильярреал , Леванте ,1,0
33,Гранада , Барселона ,1,0
33,Реал Мадрид , Альмерия ,4,0
33,Бетис , Севилья ,0,2
33,Валенсия , Эльче ,2,1
33,Хетафе , Атлетико М ,0,2
33,Эспаньол , Райо Вальекано ,2,2
33,Атлетик Б , Малага ,3,0
34,Атлетико М , Эльче ,2,0
34,Осасуна , Валенсия ,1,1
34,Леванте , Хетафе ,0,0
34,Реал Сосьедад , Эспаньол ,2,1
34,Альмерия , Сельта ,2,4
34,Райо Вальекано , Бетис ,3,1
34,Севилья , Гранада ,4,0
34,Барселона , Атлетик Б ,2,1
34,Малага , Вильярреал ,2,0
34,Вальядолид , Реал Мадрид ,1,1
35,Эльче , Леванте ,1,1
35,Гранада , Райо Вальекано ,0,3
35,Хетафе , Малага ,1,0
35,Реал Мадрид , Осасуна ,4,0
35,Бетис , Реал Сосьедад ,0,1
35,Эспаньол , Альмерия ,1,2
35,Валенсия , Атлетико М ,0,1
35,Атлетик Б , Севилья ,3,1
35,Вильярреал , Барселона ,2,3
35,Сельта , Вальядолид ,4,1
36,Райо Вальекано , Атлетик Б ,0,3
36,Барселона , Хетафе ,2,2
36,Малага , Эльче ,0,1
36,Осасуна , Сельта ,0,2
36,Вальядолид , Эспаньол ,1,0
36,Альмерия , Бетис ,3,2
36,Леванте , Атлетико М ,2,0
36,Севилья , Вильярреал ,0,0
36,Реал Мадрид , Валенсия ,2,2
36,Реал Сосьедад , Гранада ,1,1
37,Вильярреал , Райо Вальекано ,4,0
37,Леванте , Валенсия ,2,0
37,Атлетик Б , Реал Сосьедад ,1,1
37,Атлетико М , Малага ,1,1
37,Эльче , Барселона ,0,0
37,Хетафе , Севилья ,1,0
37,Гранада , Альмерия ,0,2
37,Бетис , Вальядолид ,4,3
37,Эспаньол , Осасуна ,1,1
37,Сельта , Реал Мадрид ,2,0
38,Малага , Леванте ,1,0
38,Реал Мадрид , Эспаньол ,3,1
38,Барселона , Атлетико М ,1,1
38,Валенсия , Сельта ,2,1
38,Реал Сосьедад , Вильярреал ,1,2
38,Райо Вальекано , Хетафе ,1,2
38,Альмерия , Атлетик Б ,0,0
38,Вальядолид , Гранада ,0,1
38,Осасуна , Бетис ,2,1
38,Севилья , Эльче ,3,1
