"02.09.2015, 12:30 ",Сахалинские Акулы , Амурские Тигры ,6,0,
"04.09.2015, 12:30 ",Сахалинские Акулы , Амурские Тигры ,2,5,
"05.09.2015, 11:00 ",Толпар , Снежные Барсы ,6,0,
"05.09.2015, 13:00 ",Чайка , Белые Медведи ,6,3,
"05.09.2015, 13:00 ",ХК Рига , Красная Армия ,2,3,  Б 
"05.09.2015, 14:00 ",Олимпия , Авто ,1,5,
"05.09.2015, 14:00 ",Алмаз , Русские Витязи ,6,1,
"05.09.2015, 14:00 ",Локо , ХК МВД ,3,2,
"05.09.2015, 16:00 ",Ладья , Омские Ястребы ,8,4,
"05.09.2015, 16:00 ",Атланты , Россия U18 ,0,5,
"05.09.2015, 17:00 ",Динамо-Раубичи , МХК Спартак ,2,9,
"06.09.2015, 11:00 ",Стальные Лисы , Тюменский Легион ,5,2,
"06.09.2015, 15:00 ",Сарматы , Мамонты Югры ,3,0,
"07.09.2015, 16:30 ",Толпар , Омские Ястребы ,4,3,  ОТ 
"07.09.2015, 17:00 ",Чайка , Авто ,5,2,
"07.09.2015, 17:30 ",Ладья , Снежные Барсы ,0,5,
"07.09.2015, 18:30 ",Олимпия , Белые Медведи ,1,5,
"07.09.2015, 18:30 ",Алмаз , ХК МВД ,1,2,  Б 
"07.09.2015, 18:30 ",Динамо СПб , Россия U18 ,2,1,
"07.09.2015, 18:30 ",Динамо-Раубичи , Красная Армия ,3,6,
"07.09.2015, 18:30 ",ХК Рига , МХК Спартак ,0,2,
"08.09.2015, 15:00 ",Стальные Лисы , Мамонты Югры ,5,2,
"08.09.2015, 17:00 ",Сарматы , Тюменский Легион ,4,2,
"08.09.2015, 19:30 ",Локо , Русские Витязи ,6,1,
"09.09.2015, 14:00 ",СКА-Серебряные Львы , Амурские Тигры ,6,1,
"09.09.2015, 19:00 ",СКА-1946 , Сахалинские Акулы ,2,3,
"10.09.2015, 18:30 ",Алмаз , Россия U18 ,0,2,
"10.09.2015, 18:30 ",Динамо СПб , Красная Армия ,2,1,
"10.09.2015, 19:30 ",Атланты , МХК Спартак ,2,3,
"11.09.2015, 14:00 ",СКА-Серебряные Львы , Сахалинские Акулы ,1,3,
"11.09.2015, 15:00 ",Стальные Лисы , Белые Медведи ,4,1,
"11.09.2015, 17:00 ",Сарматы , Авто ,1,3,
"11.09.2015, 17:00 ",Чайка , Кузнецкие Медведи ,2,1,
