"08.10.2015, 02:00 ",Торонто Мэйпл Лифс , Монреаль Канадиенс ,1,3,
"08.10.2015, 03:00 ",Чикаго Блэкхоукс , Нью-Йорк Рейнджерс ,2,3,
"08.10.2015, 05:00 ",Калгари Флэймз , Ванкувер Кэнакс ,1,5,
"08.10.2015, 05:30 ",Лос-Анджелес Кингз , Сан-Хосе Шаркс ,1,5,
"09.10.2015, 02:00 ",Бостон Брюинз , Виннипег Джетс ,2,6,
"09.10.2015, 02:00 ",Баффало Сэйбрз , Оттава Сенаторз ,1,3,
"09.10.2015, 02:30 ",Тампа-Бэй Лайтнинг , Филадельфия Флайерз ,3,2,  ОТ 
"09.10.2015, 03:00 ",Сент-Луис Блюз , Эдмонтон Ойлерз ,3,1,
"09.10.2015, 03:00 ",Нэшвилл Предаторз , Каролина Харрикейнз ,2,1,
"09.10.2015, 03:30 ",Даллас Старз , Питтсбург Пингвинз ,3,0,
"09.10.2015, 04:00 ",Колорадо Эвеланш , Миннесота Уайлд ,4,5,
"10.10.2015, 02:00 ",Нью-Джерси Дэвилз , Виннипег Джетс ,1,3,
"10.10.2015, 02:00 ",Коламбус Блю Джекетс , Нью-Йорк Рейнджерс ,2,4,
"10.10.2015, 02:30 ",Детройт Ред Уингз , Торонто Мэйпл Лифс ,4,0,
"10.10.2015, 02:30 ",Нью-Йорк Айлендерс , Чикаго Блэкхоукс ,2,3,  ОТ 
"10.10.2015, 05:30 ",Лос-Анджелес Кингз , Аризона Койотс ,1,4,
"10.10.2015, 20:00 ",Баффало Сэйбрз , Тампа-Бэй Лайтнинг ,1,4,
"11.10.2015, 02:00 ",Бостон Брюинз , Монреаль Канадиенс ,2,4,
"11.10.2015, 02:00 ",Торонто Мэйпл Лифс , Оттава Сенаторз ,4,5,  Б 
"11.10.2015, 02:00 ",Флорида Пантерз , Филадельфия Флайерз ,7,1,
"11.10.2015, 02:00 ",Нью-Йорк Рейнджерс , Коламбус Блю Джекетс ,5,2,
"11.10.2015, 02:00 ",Вашингтон Кэпиталз , Нью-Джерси Дэвилз ,5,3,
"11.10.2015, 02:00 ",Каролина Харрикейнз , Детройт Ред Уингз ,3,4,
"11.10.2015, 02:00 ",Нэшвилл Предаторз , Эдмонтон Ойлерз ,2,0,
"11.10.2015, 03:00 ",Миннесота Уайлд , Сент-Луис Блюз ,3,2,
"11.10.2015, 03:30 ",Чикаго Блэкхоукс , Нью-Йорк Айлендерс ,4,1,
"11.10.2015, 04:00 ",Колорадо Эвеланш , Даллас Старз ,6,3,
"11.10.2015, 05:00 ",Ванкувер Кэнакс , Калгари Флэймз ,2,3,  ОТ 
"11.10.2015, 05:00 ",Аризона Койотс , Питтсбург Пингвинз ,2,1,
"11.10.2015, 05:30 ",Сан-Хосе Шаркс , Анахайм Дакс ,2,0,
"12.10.2015, 02:00 ",Оттава Сенаторз , Монреаль Канадиенс ,1,3,
"12.10.2015, 20:00 ",Бостон Брюинз , Тампа-Бэй Лайтнинг ,3,6,
"12.10.2015, 20:00 ",Нью-Йорк Айлендерс , Виннипег Джетс ,4,2,
"12.10.2015, 22:00 ",Баффало Сэйбрз , Коламбус Блю Джекетс ,4,2,
"13.10.2015, 02:00 ",Филадельфия Флайерз , Флорида Пантерз ,1,0,
