"08.09.2014, 17:00 ",Сарыарка , Рубин ,3,2,
"09.09.2014, 17:00 ",Торос , ТХК ,1,2,  Б 
"09.09.2014, 18:30 ",ХК Липецк , ХК Саров ,4,0,
"09.09.2014, 18:30 ",Ижсталь , Кубань ,5,1,
"09.09.2014, 19:00 ",Динамо , ХК Рязань ,2,4,
"10.09.2014, 14:00 ",Ермак , Ариада ,0,3,
"10.09.2014, 16:30 ",Казцинк-Торпедо , Нефтяник ,3,1,
"10.09.2014, 16:30 ",Южный Урал , Рубин ,6,5,  Б 
"10.09.2014, 17:00 ",Сарыарка , Спутник ,6,4,
"11.09.2014, 17:00 ",Молот-Прикамье , Кубань ,4,1,
"11.09.2014, 17:00 ",Торос , СКА-Карелия ,2,1,
"11.09.2014, 18:30 ",ХК Липецк , ХК Рязань ,1,3,
"11.09.2014, 18:30 ",Ижсталь , ТХК ,3,4,  Б 
"11.09.2014, 19:00 ",Динамо , Дизель ,1,3,
"11.09.2014, 19:00 ",Буран , ХК Саров ,2,3,
"12.09.2014, 14:00 ",Ермак , Нефтяник ,0,3,
"12.09.2014, 15:00 ",Сокол , Ариада ,2,4,
"12.09.2014, 16:30 ",Челмет , Рубин ,0,1,
"12.09.2014, 16:30 ",Казцинк-Торпедо , Барс ,3,1,
"12.09.2014, 16:30 ",Южный Урал , Спутник ,1,4,
"12.09.2014, 17:00 ",Сарыарка , Зауралье ,3,2,
"13.09.2014, 15:00 ",Торос , Кубань ,5,4,
"13.09.2014, 15:00 ",Молот-Прикамье , ТХК ,5,1,
"13.09.2014, 17:00 ",ХК Липецк , Дизель ,4,3,  ОТ 
"13.09.2014, 17:00 ",Ижсталь , СКА-Карелия ,3,2,
"13.09.2014, 17:00 ",Буран , ХК Рязань ,3,2,  Б 
"13.09.2014, 17:00 ",Динамо , ХК Саров ,2,1,
"14.09.2014, 12:00 ",Ермак , Барс ,6,3,
"14.09.2014, 13:00 ",Сокол , Нефтяник ,4,3,  Б 
"14.09.2014, 15:00 ",Казцинк-Торпедо , Ариада ,3,2,
"14.09.2014, 15:00 ",Челмет , Спутник ,3,0,
